,Player,Pos,BasePos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Paul Arizin*,SF,SF,30.0,PHW,70.0,0.0,2799.0,632.0,1466.0,0.431,0.0,0.0,0.0,632.0,1466.0,0.431,0.431,587.0,722.0,0.813,0.0,0.0,637.0,119.0,0.0,0.0,0.0,264.0,1851.0
1,Elgin Baylor*,SF,SF,24.0,MNL,70.0,0.0,2855.0,605.0,1482.0,0.408,0.0,0.0,0.0,605.0,1482.0,0.408,0.408,532.0,685.0,0.777,0.0,0.0,1050.0,287.0,0.0,0.0,0.0,270.0,1742.0
2,Ernie Beck,SG,SG,27.0,PHW,70.0,0.0,1017.0,163.0,418.0,0.39,0.0,0.0,0.0,163.0,418.0,0.39,0.39,43.0,65.0,0.662,0.0,0.0,176.0,89.0,0.0,0.0,0.0,124.0,369.0
3,Al Bianchi,PG,PG,26.0,SYR,72.0,0.0,1779.0,285.0,756.0,0.377,0.0,0.0,0.0,285.0,756.0,0.377,0.377,149.0,206.0,0.723,0.0,0.0,199.0,159.0,0.0,0.0,0.0,260.0,719.0
4,Jerry Bird,F,F,23.0,NYK,11.0,0.0,45.0,12.0,32.0,0.375,0.0,0.0,0.0,12.0,32.0,0.375,0.375,1.0,1.0,1.0,0.0,0.0,12.0,4.0,0.0,0.0,0.0,7.0,25.0
5,Bucky Bockhorn,SG,SG,25.0,CIN,71.0,0.0,2251.0,294.0,771.0,0.381,0.0,0.0,0.0,294.0,771.0,0.381,0.381,138.0,196.0,0.704,0.0,0.0,460.0,206.0,0.0,0.0,0.0,215.0,726.0
6,Carl Braun*,PG,PG,31.0,NYK,72.0,0.0,1959.0,287.0,684.0,0.42,0.0,0.0,0.0,287.0,684.0,0.42,0.42,180.0,218.0,0.826,0.0,0.0,251.0,349.0,0.0,0.0,0.0,178.0,754.0
7,Pete Brennan,F,F,22.0,NYK,16.0,0.0,136.0,13.0,43.0,0.302,0.0,0.0,0.0,13.0,43.0,0.302,0.302,14.0,25.0,0.56,0.0,0.0,31.0,6.0,0.0,0.0,0.0,15.0,40.0
8,Barney Cable,PF,PF,23.0,DET,31.0,0.0,271.0,43.0,126.0,0.341,0.0,0.0,0.0,43.0,126.0,0.341,0.341,23.0,29.0,0.793,0.0,0.0,88.0,12.0,0.0,0.0,0.0,30.0,109.0
9,Gene Conley,PF,PF,28.0,BOS,50.0,0.0,663.0,86.0,262.0,0.328,0.0,0.0,0.0,86.0,262.0,0.328,0.328,37.0,64.0,0.578,0.0,0.0,276.0,19.0,0.0,0.0,0.0,117.0,209.0
10,Ed Conlin,SG,SG,25.0,TOT,72.0,0.0,1955.0,329.0,891.0,0.369,0.0,0.0,0.0,329.0,891.0,0.369,0.369,197.0,274.0,0.719,0.0,0.0,394.0,132.0,0.0,0.0,0.0,188.0,855.0
11,Ed Conlin,F-G,F,25.0,SYR,57.0,0.0,1601.0,261.0,716.0,0.365,0.0,0.0,0.0,261.0,716.0,0.365,0.365,156.0,211.0,0.739,0.0,0.0,303.0,115.0,0.0,0.0,0.0,156.0,678.0
12,Ed Conlin,SG,SG,25.0,DET,15.0,0.0,354.0,68.0,175.0,0.389,0.0,0.0,0.0,68.0,175.0,0.389,0.389,41.0,63.0,0.651,0.0,0.0,91.0,17.0,0.0,0.0,0.0,32.0,177.0
13,Larry Costello,PG,PG,27.0,SYR,70.0,0.0,2750.0,414.0,948.0,0.437,0.0,0.0,0.0,414.0,948.0,0.437,0.437,280.0,349.0,0.802,0.0,0.0,365.0,379.0,0.0,0.0,0.0,263.0,1108.0
14,Bob Cousy*,PG,PG,30.0,BOS,65.0,0.0,2403.0,484.0,1260.0,0.384,0.0,0.0,0.0,484.0,1260.0,0.384,0.384,329.0,385.0,0.855,0.0,0.0,359.0,557.0,0.0,0.0,0.0,135.0,1297.0
15,Archie Dees,PF,PF,22.0,CIN,68.0,0.0,1252.0,200.0,562.0,0.356,0.0,0.0,0.0,200.0,562.0,0.356,0.356,159.0,204.0,0.779,0.0,0.0,339.0,56.0,0.0,0.0,0.0,114.0,559.0
16,George Dempsey,PG,PG,29.0,TOT,57.0,0.0,694.0,92.0,215.0,0.428,0.0,0.0,0.0,92.0,215.0,0.428,0.428,81.0,106.0,0.764,0.0,0.0,160.0,68.0,0.0,0.0,0.0,95.0,265.0
