,Player,Pos,BasePos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
0,Henry Akin,PF,PF,22.0,NYK,50.0,453.0,8.5,0.39,0.0,0.161,0.0,0.0,0.0,7.4,0.0,0.0,0.0,0.0,0.0,-0.9,0.2,-0.7,-0.073,0.0,0.0,0.0,0.0
1,Al Attles*,PG,PG,30.0,SFW,69.0,1764.0,10.2,0.48,0.0,0.323,0.0,0.0,0.0,17.9,0.0,0.0,0.0,0.0,0.0,0.9,2.6,3.5,0.096,0.0,0.0,0.0,0.0
2,Johnny Austin,SG,SG,22.0,BAL,4.0,61.0,5.7,0.396,0.0,0.727,0.0,0.0,0.0,7.7,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,-0.1,-0.043,0.0,0.0,0.0,0.0
3,Jim Barnes,PF,PF,25.0,LAL,80.0,1398.0,11.0,0.485,0.0,0.376,0.0,0.0,0.0,4.1,0.0,0.0,0.0,0.0,0.0,0.9,1.2,2.1,0.071,0.0,0.0,0.0,0.0
4,Dick Barnett,SG,SG,30.0,NYK,67.0,1969.0,15.6,0.528,0.0,0.311,0.0,0.0,0.0,11.6,0.0,0.0,0.0,0.0,0.0,4.2,0.5,4.7,0.114,0.0,0.0,0.0,0.0
5,Jim Barnett,SG,SG,22.0,BOS,48.0,383.0,10.4,0.415,0.0,0.294,0.0,0.0,0.0,14.4,0.0,0.0,0.0,0.0,0.0,-0.5,0.5,0.0,0.003,0.0,0.0,0.0,0.0
6,John Barnhill,PG,PG,28.0,BAL,53.0,1214.0,10.6,0.447,0.0,0.23,0.0,0.0,0.0,14.3,0.0,0.0,0.0,0.0,0.0,-0.1,0.8,0.7,0.026,0.0,0.0,0.0,0.0
7,Rick Barry*,SF,SF,22.0,SFW,78.0,3175.0,24.2,0.531,0.0,0.38,0.0,0.0,0.0,13.6,0.0,0.0,0.0,0.0,0.0,10.1,4.3,14.4,0.218,0.0,0.0,0.0,0.0
8,Elgin Baylor*,SF,SF,32.0,LAL,70.0,2706.0,20.2,0.491,0.0,0.326,0.0,0.0,0.0,11.3,0.0,0.0,0.0,0.0,0.0,3.5,2.7,6.2,0.109,0.0,0.0,0.0,0.0
9,Zelmo Beaty*,C,C,27.0,STL,48.0,1661.0,16.5,0.528,0.0,0.375,0.0,0.0,0.0,5.1,0.0,0.0,0.0,0.0,0.0,3.1,1.4,4.5,0.131,0.0,0.0,0.0,0.0
10,Walt Bellamy*,C,C,27.0,NYK,79.0,3010.0,18.4,0.56,0.0,0.535,0.0,0.0,0.0,9.2,0.0,0.0,0.0,0.0,0.0,7.4,1.4,8.8,0.14,0.0,0.0,0.0,0.0
11,Dave Bing*,PG,PG,23.0,DET,80.0,2762.0,16.5,0.475,0.0,0.243,0.0,0.0,0.0,18.1,0.0,0.0,0.0,0.0,0.0,2.0,3.2,5.3,0.092,0.0,0.0,0.0,0.0
12,John Block,PF,PF,22.0,LAL,22.0,118.0,15.1,0.478,0.0,0.654,0.0,0.0,0.0,5.3,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.079,0.0,0.0,0.0,0.0
13,Bob Boozer,PF,PF,29.0,CHI,80.0,2451.0,18.4,0.549,0.0,0.418,0.0,0.0,0.0,5.3,0.0,0.0,0.0,0.0,0.0,6.6,2.9,9.4,0.184,0.0,0.0,0.0,0.0
14,Nate Bowman,C,C,23.0,CHI,9.0,65.0,9.8,0.449,0.0,0.381,0.0,0.0,0.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.067,0.0,0.0,0.0,0.0
15,Bill Bridges,PF,PF,27.0,STL,79.0,3130.0,16.8,0.514,0.0,0.473,0.0,0.0,0.0,9.5,0.0,0.0,0.0,0.0,0.0,4.3,3.3,7.6,0.117,0.0,0.0,0.0,0.0
16,Em Bryant,PG,PG,28.0,NYK,63.0,1593.0,10.0,0.435,0.0,0.198,0.0,0.0,0.0,17.4,0.0,0.0,0.0,0.0,0.0,-0.5,0.6,0.1,0.003,0.0,0.0,0.0,0.0
