,Player,Pos,BasePos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
0,Alaa Abdelnaby,PF,PF,23.0,POR,71.0,934.0,13.5,0.533,0.0,0.28,9.5,20.9,15.2,4.7,1.3,1.1,14.0,20.6,0.0,0.6,1.5,2.1,0.11,-2.3,-0.4,-2.6,-0.1
1,Mahmoud Abdul-Rauf,PG,PG,22.0,DEN,81.0,1538.0,12.6,0.469,0.111,0.128,1.5,6.8,4.0,21.0,1.4,0.2,11.6,26.7,0.0,-0.2,0.8,0.6,0.018,-1.2,-1.9,-3.1,-0.4
2,Mark Acres,C,C,29.0,ORL,68.0,926.0,10.1,0.576,0.02,0.444,11.4,19.2,15.2,3.2,1.3,1.0,15.5,9.6,0.0,1.1,0.8,1.9,0.097,-2.7,-0.2,-2.9,-0.2
3,Michael Adams,PG,PG,29.0,WSB,78.0,2795.0,17.1,0.506,0.313,0.292,2.2,10.1,6.1,31.5,2.5,0.2,13.2,24.2,0.0,2.6,2.6,5.3,0.09,2.1,-0.3,1.8,2.6
4,Rafael Addison,SF,SF,27.0,NJN,76.0,1175.0,10.9,0.477,0.113,0.176,5.7,9.3,7.4,8.1,1.2,1.4,9.0,17.5,0.0,0.8,0.7,1.5,0.063,-1.8,-0.9,-2.7,-0.2
5,Mark Aguirre,SF,SF,32.0,DET,75.0,1582.0,13.7,0.479,0.09,0.292,4.8,12.0,8.4,13.4,1.7,0.4,10.6,27.6,0.0,0.1,2.0,2.2,0.066,-1.7,0.1,-1.6,0.1
6,Danny Ainge,SG,SG,32.0,POR,81.0,1595.0,15.4,0.534,0.34,0.194,2.7,7.4,5.1,18.4,2.2,0.5,8.7,20.5,0.0,3.1,2.0,5.2,0.155,1.1,0.8,1.9,1.6
7,Victor Alexander,C,C,22.0,GSW,80.0,1350.0,13.9,0.561,0.002,0.325,8.7,18.3,13.6,3.1,1.5,2.7,14.8,18.3,0.0,1.1,1.4,2.5,0.09,-1.6,-0.4,-2.0,0.0
8,Greg Anderson,PF,PF,27.0,DEN,82.0,2793.0,12.6,0.486,0.005,0.314,12.3,24.7,18.2,4.1,1.5,1.4,17.1,17.1,0.0,-0.6,3.6,3.0,0.052,-2.4,-1.1,-3.4,-1.0
9,Kenny Anderson,PG,PG,21.0,NJN,64.0,1086.0,12.8,0.43,0.027,0.204,3.6,9.0,6.2,26.5,3.0,0.5,15.6,22.9,0.0,-0.6,1.1,0.5,0.022,-1.7,-0.1,-1.8,0.1
10,Nick Anderson,SG,SG,24.0,ORL,60.0,2203.0,16.4,0.509,0.082,0.291,4.8,14.9,9.7,12.4,2.2,0.9,9.7,24.5,0.0,1.6,2.0,3.6,0.078,1.1,0.0,1.2,1.8
11,Ron Anderson,SF,SF,33.0,PHI,82.0,2432.0,14.1,0.52,0.126,0.162,4.6,8.5,6.5,9.0,1.8,0.3,9.2,21.5,0.0,2.2,1.3,3.5,0.07,-0.2,-1.1,-1.4,0.4
12,Willie Anderson,SG,SG,25.0,SAS,57.0,1889.0,13.8,0.499,0.082,0.201,3.6,13.6,8.7,23.2,1.4,1.7,15.8,19.8,0.0,0.7,2.6,3.3,0.083,-0.3,1.2,0.9,1.4
13,Michael Ansley,SF,SF,24.0,TOT,10.0,45.0,9.0,0.509,0.0,0.333,5.1,9.9,7.5,6.8,0.0,0.0,12.7,22.5,0.0,0.0,0.0,0.0,0.013,-3.7,-2.9,-6.6,-0.1
14,Michael Ansley,SF,SF,24.0,PHI,8.0,32.0,9.5,0.55,0.0,0.545,7.2,7.1,7.2,9.6,0.0,0.0,18.0,22.8,0.0,0.0,0.0,0.0,0.028,-3.7,-3.0,-6.8,0.0
