,Player,Pos,BasePos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
0,Jay Arnette,PG,PG,25.0,CIN,48.0,501.0,8.4,0.419,0.0,0.276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3,0.4,0.1,0.01,0.0,0.0,0.0,0.0
1,Al Attles*,PG,PG,27.0,SFW,70.0,1883.0,12.6,0.501,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,2.8,5.3,0.136,0.0,0.0,0.0,0.0
2,Dick Barnett,SG,SG,27.0,LAL,78.0,2620.0,15.7,0.513,0.0,0.379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3,1.2,6.5,0.119,0.0,0.0,0.0,0.0
3,John Barnhill,SG,SG,25.0,STL,74.0,1367.0,10.1,0.437,0.0,0.228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,1.2,1.0,0.034,0.0,0.0,0.0,0.0
4,Elgin Baylor*,SF,SF,29.0,LAL,78.0,3164.0,21.1,0.487,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7,2.5,7.2,0.109,0.0,0.0,0.0,0.0
5,Zelmo Beaty*,C,C,24.0,STL,59.0,1922.0,14.0,0.505,0.0,0.417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.4,4.8,0.121,0.0,0.0,0.0,0.0
6,Walt Bellamy*,C,C,24.0,BAL,80.0,3394.0,23.3,0.555,0.0,0.521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.4,2.9,14.4,0.203,0.0,0.0,0.0,0.0
7,Al Bianchi,PG,PG,31.0,PHI,78.0,1437.0,8.9,0.418,0.0,0.206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1,0.8,-0.4,-0.012,0.0,0.0,0.0,0.0
8,Bucky Bockhorn,SG,SG,30.0,CIN,70.0,1670.0,9.3,0.451,0.0,0.215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.2,1.5,0.042,0.0,0.0,0.0,0.0
9,Bob Boozer,SF,SF,26.0,TOT,81.0,2379.0,14.4,0.479,0.0,0.343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.7,2.8,0.056,0.0,0.0,0.0,0.0
10,Bob Boozer,SF,SF,26.0,CIN,32.0,727.0,12.8,0.456,0.0,0.356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.6,0.7,0.049,0.0,0.0,0.0,0.0
11,Bob Boozer,SF,SF,26.0,NYK,49.0,1652.0,15.2,0.489,0.0,0.337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.1,2.0,0.059,0.0,0.0,0.0,0.0
12,Bill Bridges,PF,PF,24.0,STL,80.0,1949.0,13.1,0.441,0.0,0.332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,2.8,2.6,0.064,0.0,0.0,0.0,0.0
13,Dave Budd,SF,SF,25.0,NYK,73.0,1031.0,11.3,0.489,0.0,0.387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.1,0.9,0.041,0.0,0.0,0.0,0.0
14,Donnie Butcher,PG,PG,27.0,TOT,78.0,1971.0,10.0,0.454,0.0,0.505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.7,1.2,0.03,0.0,0.0,0.0,0.0
15,Donnie Butcher,G,G,27.0,NYK,26.0,418.0,9.3,0.403,0.0,0.574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3,0.0,-0.2,-0.027,0.0,0.0,0.0,0.0
16,Donnie Butcher,PG,PG,27.0,DET,52.0,1553.0,10.2,0.47,0.0,0.485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.7,1.5,0.045,0.0,0.0,0.0,0.0
17,Al Butler,PG,PG,25.0,NYK,76.0,1379.0,13.0,0.471,0.0,0.304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,1.1,0.038,0.0,0.0,0.0,0.0
