,Player,Pos,BasePos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Paul Arizin*,SF,SF,29.0,PHW,68.0,0.0,2377.0,483.0,1229.0,0.393,0.0,0.0,0.0,483.0,1229.0,0.393,0.393,440.0,544.0,0.809,0.0,0.0,503.0,135.0,0.0,0.0,0.0,235.0,1406.0
1,Dick Atha,SG,SG,26.0,DET,18.0,0.0,160.0,17.0,47.0,0.362,0.0,0.0,0.0,17.0,47.0,0.362,0.362,10.0,12.0,0.833,0.0,0.0,24.0,19.0,0.0,0.0,0.0,24.0,44.0
2,Ernie Beck,SG,SG,26.0,PHW,71.0,0.0,1974.0,272.0,683.0,0.398,0.0,0.0,0.0,272.0,683.0,0.398,0.398,170.0,203.0,0.837,0.0,0.0,307.0,190.0,0.0,0.0,0.0,173.0,714.0
3,Al Bianchi,SG,SG,25.0,SYR,69.0,0.0,1421.0,215.0,625.0,0.344,0.0,0.0,0.0,215.0,625.0,0.344,0.344,140.0,205.0,0.683,0.0,0.0,221.0,114.0,0.0,0.0,0.0,188.0,570.0
4,Doug Bolstorff,G,G,26.0,DET,3.0,0.0,21.0,2.0,5.0,0.4,0.0,0.0,0.0,2.0,5.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0
5,Carl Braun*,PG,PG,30.0,NYK,71.0,0.0,2475.0,426.0,1018.0,0.418,0.0,0.0,0.0,426.0,1018.0,0.418,0.418,321.0,378.0,0.849,0.0,0.0,330.0,393.0,0.0,0.0,0.0,183.0,1173.0
6,George Brown,F,F,22.0,MNL,1.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
7,Bob Burrow,C,C,23.0,MNL,14.0,0.0,171.0,22.0,70.0,0.314,0.0,0.0,0.0,22.0,70.0,0.314,0.314,11.0,33.0,0.333,0.0,0.0,64.0,6.0,0.0,0.0,0.0,15.0,55.0
8,Nat Clifton*,PF,PF,35.0,DET,68.0,0.0,1435.0,217.0,597.0,0.363,0.0,0.0,0.0,217.0,597.0,0.363,0.363,91.0,146.0,0.623,0.0,0.0,403.0,76.0,0.0,0.0,0.0,202.0,525.0
9,Jack Coleman,PF,PF,33.0,STL,72.0,0.0,1506.0,231.0,560.0,0.413,0.0,0.0,0.0,231.0,560.0,0.413,0.413,84.0,131.0,0.641,0.0,0.0,485.0,117.0,0.0,0.0,0.0,169.0,546.0
10,Ed Conlin,SF,SF,24.0,SYR,60.0,0.0,1871.0,343.0,877.0,0.391,0.0,0.0,0.0,343.0,877.0,0.391,0.391,215.0,270.0,0.796,0.0,0.0,436.0,133.0,0.0,0.0,0.0,168.0,901.0
11,Larry Costello,PG,PG,26.0,SYR,72.0,0.0,2746.0,378.0,888.0,0.426,0.0,0.0,0.0,378.0,888.0,0.426,0.426,320.0,378.0,0.847,0.0,0.0,378.0,317.0,0.0,0.0,0.0,246.0,1076.0
12,Bob Cousy*,PG,PG,29.0,BOS,65.0,0.0,2222.0,445.0,1262.0,0.353,0.0,0.0,0.0,445.0,1262.0,0.353,0.353,277.0,326.0,0.85,0.0,0.0,322.0,463.0,0.0,0.0,0.0,136.0,1167.0
13,Walt Davis,PF,PF,27.0,TOT,61.0,0.0,663.0,85.0,244.0,0.348,0.0,0.0,0.0,85.0,244.0,0.348,0.348,61.0,82.0,0.744,0.0,0.0,174.0,29.0,0.0,0.0,0.0,143.0,231.0
14,Walt Davis,PF,PF,27.0,PHW,35.0,0.0,376.0,44.0,129.0,0.341,0.0,0.0,0.0,44.0,129.0,0.341,0.341,16.0,24.0,0.667,0.0,0.0,88.0,18.0,0.0,0.0,0.0,81.0,104.0
15,Walt Davis,PF,PF,27.0,STL,26.0,0.0,287.0,41.0,115.0,0.357,0.0,0.0,0.0,41.0,115.0,0.357,0.357,45.0,58.0,0.776,0.0,0.0,86.0,11.0,0.0,0.0,0.0,62.0,127.0
16,George Dempsey,PG,PG,28.0,PHW,67.0,0.0,1048.0,112.0,311.0,0.36,0.0,0.0,0.0,112.0,311.0,0.36,0.36,70.0,105.0,0.667,0.0,0.0,214.0,128.0,0.0,0.0,0.0,113.0,294.0
17,Corky Devlin,SG,SG,26.0,MNL,70.0,0.0,1248.0,170.0,489.0,0.348,0.0,0.0,0.0,170.0,489.0,0.348,0.348,133.0,172.0,0.773,0.0,0.0,132.0,167.0,0.0,0.0,0.0,104.0,473.0
18,Dick Duckett,PG,PG,24.0,CIN,34.0,0.0,424.0,54.0,158.0,0.342,0.0,0.0,0.0,54.0,158.0,0.342,0.342,24.0,27.0,0.889,0.0,0.0,56.0,47.0,0.0,0.0,0.0,60.0,132.0
19,Walter Dukes,C,C,27.0,DET,72.0,0.0,2184.0,278.0,796.0,0.349,0.0,0.0,0.0,278.0,796.0,0.349,0.349,247.0,366.0,0.675,0.0,0.0,954.0,52.0,0.0,0.0,0.0,311.0,803.0
20,Pat Dunn,SG,SG,26.0,PHW,28.0,0.0,206.0,28.0,90.0,0.311,0.0,0.0,0.0,28.0,90.0,0.311,0.311,14.0,17.0,0.824,0.0,0.0,31.0,28.0,0.0,0.0,0.0,20.0,70.0
21,Bill Ebben,G,G,22.0,DET,8.0,0.0,50.0,6.0,28.0,0.214,0.0,0.0,0.0,6.0,28.0,0.214,0.214,3.0,4.0,0.75,0.0,0.0,8.0,4.0,0.0,0.0,0.0,5.0,15.0
23,Bo Erias,SF,SF,25.0,MNL,18.0,0.0,401.0,59.0,170.0,0.347,0.0,0.0,0.0,59.0,170.0,0.347,0.347,30.0,47.0,0.638,0.0,0.0,83.0,26.0,0.0,0.0,0.0,52.0,148.0
24,Ray Felix,C,C,27.0,NYK,72.0,0.0,1709.0,304.0,688.0,0.442,0.0,0.0,0.0,304.0,688.0,0.442,0.442,271.0,389.0,0.697,0.0,0.0,747.0,52.0,0.0,0.0,0.0,283.0,879.0
25,Ed Fleming,SF,SF,24.0,MNL,72.0,0.0,1686.0,226.0,655.0,0.345,0.0,0.0,0.0,226.0,655.0,0.345,0.345,181.0,255.0,0.71,0.0,0.0,492.0,139.0,0.0,0.0,0.0,222.0,633.0
26,Larry Foust,C,C,29.0,MNL,72.0,0.0,2200.0,391.0,982.0,0.398,0.0,0.0,0.0,391.0,982.0,0.398,0.398,428.0,566.0,0.756,0.0,0.0,876.0,108.0,0.0,0.0,0.0,299.0,1210.0
27,Larry Friend,SG,SG,22.0,NYK,44.0,0.0,569.0,74.0,226.0,0.327,0.0,0.0,0.0,74.0,226.0,0.327,0.327,27.0,41.0,0.659,0.0,0.0,106.0,47.0,0.0,0.0,0.0,54.0,175.0
28,Harry Gallatin*,PF,PF,30.0,DET,72.0,0.0,1990.0,340.0,898.0,0.379,0.0,0.0,0.0,340.0,898.0,0.379,0.379,392.0,498.0,0.787,0.0,0.0,749.0,86.0,0.0,0.0,0.0,217.0,1072.0
29,Dick Garmaker,SG,SG,25.0,MNL,68.0,0.0,2216.0,390.0,988.0,0.395,0.0,0.0,0.0,390.0,988.0,0.395,0.395,314.0,411.0,0.764,0.0,0.0,365.0,183.0,0.0,0.0,0.0,190.0,1094.0
