,Player,Pos,BasePos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
0,Kareem Abdul-Jabbar*,C,C,31.0,LAL,80.0,3157.0,25.5,0.612,0.0,0.352,7.6,26.7,17.6,18.9,1.1,5.0,15.3,23.3,0.0,8.8,5.6,14.4,0.219,4.6,3.0,7.6,7.7
1,Tom Abernethy,PF,PF,24.0,GSW,70.0,1219.0,13.6,0.55,0.0,0.275,6.5,12.6,9.5,8.4,1.5,0.6,7.7,13.8,0.0,2.3,1.3,3.7,0.144,0.2,0.7,0.9,0.9
2,Alvan Adams,C,C,24.0,PHO,77.0,2364.0,20.4,0.57,0.0,0.269,10.5,22.4,16.6,20.8,2.1,1.4,18.9,24.1,0.0,3.9,3.7,7.6,0.154,2.3,1.2,3.4,3.2
3,Lucius Allen,PG,PG,31.0,KCK,31.0,413.0,8.7,0.416,0.0,0.19,3.6,8.6,6.1,13.6,2.3,0.8,13.7,20.3,0.0,-0.4,0.5,0.1,0.007,-3.7,0.4,-3.3,-0.1
4,Kim Anderson,SF,SF,23.0,POR,21.0,224.0,3.0,0.353,0.0,0.364,8.3,14.1,11.2,8.5,0.8,1.3,19.8,19.6,0.0,-0.6,0.2,-0.4,-0.078,-6.1,-1.3,-7.5,-0.4
5,Tiny Archibald*,PG,PG,30.0,BOS,69.0,1662.0,13.1,0.537,0.0,0.536,1.7,5.3,3.4,26.3,1.5,0.2,21.8,21.3,0.0,1.0,0.6,1.6,0.046,-0.5,-2.1,-2.6,-0.3
6,Tate Armstrong,SG,SG,23.0,CHI,26.0,259.0,6.5,0.436,0.0,0.186,3.0,5.5,4.2,15.5,1.8,0.0,21.7,14.9,0.0,-0.2,0.2,-0.1,-0.012,-3.9,-0.3,-4.2,-0.2
7,Dennis Awtrey,C,C,30.0,TOT,63.0,746.0,6.7,0.49,0.0,0.523,6.0,15.7,10.8,11.1,1.0,0.9,28.3,9.6,0.0,-0.1,0.9,0.7,0.046,-3.5,1.2,-2.3,-0.1
8,Dennis Awtrey,C,C,30.0,BOS,23.0,247.0,5.4,0.473,0.0,0.455,5.8,15.4,10.6,9.8,0.5,1.3,28.5,11.7,0.0,-0.2,0.1,0.0,-0.006,-4.1,0.0,-4.1,-0.1
9,Dennis Awtrey,C,C,30.0,SEA,40.0,499.0,7.3,0.501,0.0,0.571,6.1,15.8,11.0,11.8,1.2,0.7,28.2,8.6,0.0,0.0,0.7,0.8,0.073,-3.2,1.8,-1.4,0.1
