,Player,Pos,BasePos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
0,Quincy Acy,PF,PF,22.0,TOR,29.0,342.0,15.9,0.632,0.027,0.507,10.3,16.6,13.4,5.2,2.0,3.5,15.6,14.7,0.0,0.7,0.4,1.1,0.157,-1.0,1.0,0.1,0.2
1,Jeff Adrien,PF,PF,26.0,CHA,52.0,713.0,13.4,0.493,0.012,0.595,10.6,21.2,15.7,8.3,1.3,3.1,13.1,15.6,0.0,0.5,0.4,1.0,0.064,-2.1,-0.9,-3.0,-0.2
2,Arron Afflalo,SF,SF,27.0,ORL,64.0,2307.0,13.0,0.527,0.265,0.246,1.4,10.3,5.8,14.6,0.9,0.4,12.1,22.5,0.0,1.5,0.5,2.0,0.042,-1.1,-1.8,-2.9,-0.5
3,Josh Akognon,PG,PG,26.0,DAL,3.0,9.0,15.3,0.625,0.5,0.0,0.0,12.1,6.2,19.4,0.0,0.0,0.0,20.3,0.0,0.0,0.0,0.0,0.196,-3.1,0.1,-3.0,0.0
4,Cole Aldrich,C,C,24.0,TOT,45.0,388.0,11.1,0.563,0.0,0.25,8.7,26.7,17.7,3.4,0.7,4.6,20.6,12.7,0.0,0.1,0.4,0.6,0.07,-3.5,0.6,-2.9,-0.1
5,Cole Aldrich,C,C,24.0,HOU,30.0,213.0,7.3,0.532,0.0,0.209,6.5,23.7,15.2,4.1,0.7,3.2,23.0,12.5,0.0,-0.1,0.3,0.2,0.038,-5.6,0.6,-5.0,-0.2
6,Cole Aldrich,C,C,24.0,SAC,15.0,175.0,15.7,0.598,0.0,0.297,11.5,30.4,20.7,2.6,0.6,6.3,17.7,12.9,0.0,0.2,0.2,0.4,0.109,-1.0,0.5,-0.5,0.1
7,LaMarcus Aldridge,PF,PF,27.0,POR,74.0,2790.0,20.4,0.53,0.011,0.264,7.2,20.9,14.0,13.0,1.2,2.5,8.9,26.5,0.0,4.8,2.3,7.2,0.124,1.7,-0.4,1.3,2.3
8,Lavoy Allen,C,C,23.0,PHI,79.0,1669.0,11.5,0.474,0.002,0.132,10.5,16.5,13.4,6.7,0.8,2.6,10.3,14.8,0.0,0.9,1.6,2.5,0.072,-3.0,-0.3,-3.3,-0.6
9,Ray Allen*,SG,SG,37.0,MIA,79.0,2035.0,14.7,0.599,0.51,0.243,2.6,10.1,6.6,10.2,1.7,0.6,12.5,19.3,0.0,3.4,1.9,5.4,0.126,1.1,-0.8,0.3,1.2
