,Player,Pos,BasePos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Kareem Abdul-Jabbar*,C,C,31.0,LAL,80.0,0.0,3157.0,777.0,1347.0,0.577,0.0,0.0,0.0,777.0,1347.0,0.577,0.577,349.0,474.0,0.736,207.0,818.0,1025.0,431.0,76.0,316.0,282.0,230.0,1903.0
1,Tom Abernethy,PF,PF,24.0,GSW,70.0,0.0,1219.0,176.0,342.0,0.515,0.0,0.0,0.0,176.0,342.0,0.515,0.515,70.0,94.0,0.745,74.0,142.0,216.0,79.0,39.0,13.0,32.0,133.0,422.0
2,Alvan Adams,C,C,24.0,PHO,77.0,0.0,2364.0,569.0,1073.0,0.53,0.0,0.0,0.0,569.0,1073.0,0.53,0.53,231.0,289.0,0.799,220.0,485.0,705.0,360.0,110.0,63.0,279.0,246.0,1369.0
3,Lucius Allen,PG,PG,31.0,KCK,31.0,0.0,413.0,69.0,174.0,0.397,0.0,0.0,0.0,69.0,174.0,0.397,0.397,19.0,33.0,0.576,14.0,32.0,46.0,44.0,21.0,6.0,30.0,52.0,157.0
4,Kim Anderson,SF,SF,23.0,POR,21.0,0.0,224.0,24.0,77.0,0.312,0.0,0.0,0.0,24.0,77.0,0.312,0.312,15.0,28.0,0.536,17.0,28.0,45.0,15.0,4.0,5.0,22.0,42.0,63.0
5,Tiny Archibald*,PG,PG,30.0,BOS,69.0,0.0,1662.0,259.0,573.0,0.452,0.0,0.0,0.0,259.0,573.0,0.452,0.452,242.0,307.0,0.788,25.0,78.0,103.0,324.0,55.0,6.0,197.0,132.0,760.0
6,Tate Armstrong,SG,SG,23.0,CHI,26.0,0.0,259.0,28.0,70.0,0.4,0.0,0.0,0.0,28.0,70.0,0.4,0.4,10.0,13.0,0.769,7.0,13.0,20.0,31.0,10.0,0.0,21.0,22.0,66.0
7,Dennis Awtrey,C,C,30.0,TOT,63.0,0.0,746.0,44.0,107.0,0.411,0.0,0.0,0.0,44.0,107.0,0.411,0.411,41.0,56.0,0.732,42.0,109.0,151.0,69.0,16.0,13.0,52.0,106.0,129.0
8,Dennis Awtrey,C,C,30.0,BOS,23.0,0.0,247.0,17.0,44.0,0.386,0.0,0.0,0.0,17.0,44.0,0.386,0.386,16.0,20.0,0.8,13.0,34.0,47.0,20.0,3.0,6.0,21.0,37.0,50.0
9,Dennis Awtrey,C,C,30.0,SEA,40.0,0.0,499.0,27.0,63.0,0.429,0.0,0.0,0.0,27.0,63.0,0.429,0.429,25.0,36.0,0.694,29.0,75.0,104.0,49.0,13.0,7.0,31.0,69.0,79.0
