,Player,Pos,BasePos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
0,Kareem Abdul-Jabbar*,C,C,34.0,LAL,76.0,2677.0,23.4,0.608,0.002,0.34,7.3,19.1,13.4,11.9,1.1,4.1,13.3,25.6,0.0,6.9,3.9,10.7,0.192,3.8,1.2,5.0,4.7
1,Alvan Adams,C,C,27.0,PHO,79.0,2393.0,18.6,0.529,0.001,0.227,6.6,20.2,13.6,22.1,2.3,1.9,14.8,22.8,0.0,2.5,4.7,7.2,0.144,1.4,2.2,3.6,3.4
2,Mark Aguirre,SF,SF,22.0,DAL,51.0,1468.0,17.3,0.514,0.087,0.301,6.7,12.9,9.7,18.6,1.2,0.9,12.7,29.8,0.0,1.0,0.8,1.9,0.061,2.3,-1.6,0.7,1.0
3,Danny Ainge,SG,SG,22.0,BOS,53.0,564.0,10.1,0.439,0.077,0.294,5.0,5.9,5.5,19.7,3.1,0.3,17.5,21.5,0.0,-0.3,0.8,0.5,0.042,-3.7,1.0,-2.7,-0.1
4,Tiny Archibald*,PG,PG,33.0,BOS,68.0,2167.0,14.3,0.542,0.025,0.485,1.3,4.5,2.9,31.9,1.1,0.1,18.4,17.9,0.0,3.4,1.8,5.2,0.115,1.4,-1.3,0.1,1.1
5,Dennis Awtrey,C,C,33.0,POR,10.0,121.0,1.6,0.396,0.0,0.6,6.5,6.4,6.5,7.5,0.4,0.9,24.0,8.5,0.0,-0.1,0.0,0.0,-0.013,-4.8,-0.3,-5.1,-0.1
6,Carl Bailey,C,C,23.0,POR,1.0,7.0,-6.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.7,17.6,0.0,0.0,0.0,0.0,-0.268,-5.0,-0.1,-5.1,0.0
7,James Bailey,PF,PF,24.0,TOT,77.0,1468.0,13.3,0.546,0.0,0.444,9.7,20.3,15.0,6.3,1.3,3.3,18.7,20.3,0.0,0.2,2.7,2.9,0.094,-3.0,1.0,-2.0,0.0
8,James Bailey,PF,PF,24.0,SEA,10.0,180.0,8.7,0.473,0.0,0.169,10.6,18.0,14.5,10.2,0.8,2.1,21.4,20.5,0.0,-0.2,0.3,0.1,0.016,-4.9,0.3,-4.7,-0.2
9,James Bailey,PF,PF,24.0,NJN,67.0,1288.0,14.0,0.556,0.0,0.484,9.5,20.7,15.0,5.7,1.4,3.5,18.4,20.3,0.0,0.4,2.4,2.8,0.104,-2.7,1.1,-1.6,0.1
10,Greg Ballard,SF,SF,27.0,WSB,79.0,2946.0,17.9,0.519,0.017,0.217,5.1,18.1,11.7,13.1,2.2,0.4,7.7,22.0,0.0,4.1,5.3,9.4,0.154,1.5,1.7,3.2,3.9
11,Gene Banks,SF,SF,22.0,SAS,80.0,1700.0,14.7,0.515,0.012,0.325,9.9,16.0,13.0,11.5,1.5,0.5,12.5,19.9,0.0,1.9,1.6,3.5,0.099,0.0,-0.7,-0.7,0.6
12,Mike Bantom,SF,SF,30.0,TOT,82.0,2016.0,12.7,0.505,0.008,0.375,9.7,14.4,12.1,8.1,1.5,1.7,15.2,20.2,0.0,0.2,2.7,2.9,0.069,-2.0,-0.3,-2.3,-0.1
13,Mike Bantom,SF,SF,30.0,IND,39.0,1037.0,12.6,0.484,0.007,0.377,8.9,13.6,11.2,9.8,1.8,1.3,15.2,22.4,0.0,-0.3,1.4,1.0,0.048,-2.3,-0.2,-2.5,-0.1
14,Mike Bantom,SF,SF,30.0,PHI,43.0,979.0,12.7,0.533,0.01,0.373,10.5,15.3,13.0,6.3,1.2,2.2,15.2,17.9,0.0,0.6,1.3,1.9,0.092,-1.7,-0.4,-2.1,0.0
15,Billy Ray Bates,SG,SG,25.0,POR,75.0,1229.0,17.8,0.53,0.059,0.305,4.9,5.0,4.9,13.9,1.6,0.2,10.6,29.4,0.0,1.8,0.6,2.4,0.094,1.5,-2.0,-0.5,0.5
16,Mel Bennett,PF,PF,27.0,CLE,3.0,23.0,-2.7,0.377,0.0,1.5,4.6,10.5,7.4,0.0,2.1,0.0,37.6,19.1,0.0,-0.1,0.0,-0.1,-0.27,-5.0,-0.4,-5.5,-0.1
17,Kent Benson,C,C,27.0,DET,75.0,2467.0,14.4,0.539,0.014,0.197,9.4,19.9,14.5,8.8,1.2,2.2,15.5,16.3,0.0,2.2,3.0,5.2,0.101,0.0,0.4,0.4,1.5
18,Larry Bird*,PF,PF,25.0,BOS,77.0,2923.0,22.6,0.557,0.037,0.269,7.7,23.4,15.8,22.5,2.3,1.2,13.8,25.2,0.0,6.8,5.7,12.5,0.205,4.4,2.3,6.6,6.4
19,Otis Birdsong,SG,SG,26.0,NJN,37.0,1025.0,13.3,0.489,0.021,0.265,3.3,7.5,5.3,18.2,1.4,0.3,10.7,23.4,0.0,0.5,1.1,1.6,0.074,-0.5,-0.7,-1.2,0.2
