,Player,Pos,BasePos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
25,Gilbert Arenas,PG,PG,29.0,WAS,21.0,726.0,14.0,0.505,0.439,0.203,0.9,10.4,5.5,27.5,2.1,1.3,16.5,26.2,0.0,0.0,0.4,0.4,0.025,0.4,-1.2,-0.8,0.2
26,Gilbert Arenas,PG,PG,29.0,ORL,49.0,1070.0,8.6,0.444,0.45,0.213,1.8,11.0,6.5,23.8,2.2,0.7,19.3,23.7,0.0,-1.6,1.7,0.2,0.007,-3.9,0.3,-3.6,-0.4
27,Trevor Ariza,SF,SF,25.0,NOH,75.0,2600.0,11.3,0.487,0.356,0.259,2.8,16.4,9.5,10.0,2.5,1.0,12.2,17.7,0.0,-0.4,3.8,3.4,0.062,-1.7,1.3,-0.4,1.0
29,Hilton Armstrong,C,C,26.0,TOT,53.0,488.0,8.8,0.508,0.053,0.434,9.5,21.6,15.4,4.2,1.9,3.3,23.6,10.9,0.0,-0.1,0.6,0.5,0.045,-4.7,1.0,-3.7,-0.2
30,Hilton Armstrong,C,C,26.0,WAS,41.0,412.0,8.6,0.519,0.047,0.359,10.4,21.5,15.8,3.5,1.9,3.0,25.2,10.6,0.0,-0.1,0.4,0.4,0.043,-5.0,0.9,-4.2,-0.2
31,Hilton Armstrong,C,C,26.0,ATL,12.0,76.0,10.1,0.457,0.083,0.833,4.8,22.0,13.5,7.8,2.1,5.0,15.5,12.1,0.0,-0.1,0.1,0.1,0.054,-3.2,2.0,-1.2,0.0
32,Carlos Arroyo,PG,PG,31.0,TOT,64.0,1185.0,9.0,0.528,0.253,0.172,2.2,7.9,5.2,15.8,0.9,0.1,17.0,14.0,0.0,0.5,1.1,1.7,0.068,-2.1,-0.2,-2.3,-0.1
33,Carlos Arroyo,PG,PG,31.0,MIA,49.0,995.0,9.5,0.541,0.269,0.147,1.6,7.5,4.8,15.3,0.7,0.1,14.5,13.9,0.0,0.8,0.9,1.6,0.078,-1.7,-0.5,-2.2,0.0
34,Carlos Arroyo,PG,PG,31.0,BOS,15.0,190.0,6.7,0.447,0.143,0.343,4.8,9.8,7.4,18.6,2.0,0.0,29.7,14.5,0.0,-0.2,0.3,0.1,0.016,-4.1,1.0,-3.0,-0.1
35,Darrell Arthur,PF,PF,22.0,MEM,80.0,1609.0,15.7,0.534,0.01,0.215,8.5,17.0,12.7,5.4,1.7,3.2,11.4,21.6,0.0,1.5,2.2,3.8,0.113,-1.8,0.2,-1.6,0.2
36,Omer Asik,C,C,24.0,CHI,82.0,989.0,11.8,0.559,0.0,1.028,13.7,22.3,18.1,4.7,1.1,4.3,23.8,12.5,0.0,0.5,2.2,2.7,0.13,-3.6,1.8,-1.8,0.1
37,D.J. Augustin,PG,PG,23.0,CHA,82.0,2757.0,15.9,0.541,0.348,0.31,1.7,8.3,4.9,31.1,1.0,0.1,12.5,21.2,0.0,4.9,1.3,6.2,0.108,1.7,-1.6,0.1,1.5
38,Luke Babbitt,SF,SF,21.0,POR,24.0,137.0,1.0,0.305,0.291,0.164,5.1,22.4,13.4,6.9,0.8,1.2,11.9,22.8,0.0,-0.6,0.1,-0.4,-0.143,-8.3,-2.5,-10.8,-0.3
39,Renaldo Balkman,SF,SF,26.0,TOT,8.0,62.0,9.3,0.542,0.154,0.308,3.7,9.1,6.5,4.7,3.2,2.4,6.3,11.3,0.0,0.1,0.1,0.1,0.114,-5.0,0.9,-4.1,0.0
40,Renaldo Balkman,SF,SF,26.0,DEN,5.0,44.0,12.8,0.604,0.0,0.444,2.7,7.6,5.2,6.6,3.4,3.4,0.0,10.9,0.0,0.1,0.1,0.2,0.182,-3.6,2.1,-1.5,0.0
41,Renaldo Balkman,SF,SF,26.0,NYK,3.0,18.0,0.7,0.375,0.5,0.0,6.3,12.8,9.5,0.0,2.8,0.0,20.0,12.3,0.0,0.0,0.0,0.0,-0.05,-8.6,-1.9,-10.5,0.0
42,Marcus Banks,PG,PG,29.0,TOR,3.0,22.0,6.8,0.543,0.0,4.0,0.0,5.5,2.7,17.2,2.3,0.0,26.6,15.3,0.0,0.0,0.0,0.0,0.011,-6.6,0.1,-6.5,0.0
43,Leandro Barbosa,SG,SG,28.0,TOR,58.0,1395.0,15.3,0.539,0.326,0.21,1.2,7.4,4.2,14.6,1.9,0.3,10.5,25.6,0.0,1.4,0.1,1.5,0.052,0.4,-1.7,-1.3,0.2
44,J.J. Barea,PG,PG,26.0,DAL,81.0,1669.0,14.8,0.535,0.291,0.242,2.1,8.8,5.6,31.2,0.9,0.0,15.9,23.9,0.0,1.9,1.4,3.2,0.093,0.5,-1.0,-0.5,0.6
45,Andrea Bargnani,C,C,25.0,TOR,66.0,2353.0,16.4,0.533,0.19,0.298,3.6,13.9,8.6,8.8,0.7,1.5,10.3,28.2,0.0,2.2,0.3,2.5,0.052,1.2,-2.6,-1.4,0.4
46,Matt Barnes,SF,SF,30.0,LAL,53.0,1020.0,14.6,0.569,0.384,0.276,8.4,16.7,12.7,10.5,2.0,1.6,15.6,16.6,0.0,1.4,1.6,3.0,0.142,-0.5,1.0,0.6,0.7
47,Earl Barron,C,C,29.0,TOT,21.0,305.0,6.2,0.361,0.0,0.242,12.1,17.2,14.6,5.8,1.4,1.5,12.7,18.9,0.0,-0.6,0.3,-0.2,-0.039,-6.3,-1.9,-8.1,-0.5
48,Earl Barron,C,C,29.0,PHO,12.0,183.0,1.5,0.301,0.0,0.392,10.1,15.2,12.6,3.0,1.7,1.6,15.5,17.5,0.0,-0.5,0.1,-0.4,-0.106,-9.1,-2.4,-11.5,-0.4
49,Earl Barron,C,C,29.0,MIL,7.0,85.0,17.3,0.475,0.0,0.054,16.0,14.1,15.1,9.2,1.3,1.9,5.0,22.0,0.0,0.1,0.1,0.2,0.13,0.6,-0.6,0.0,0.0
50,Earl Barron,C,C,29.0,POR,2.0,37.0,3.8,0.295,0.0,0.182,12.7,34.6,23.1,12.2,0.0,0.0,20.2,18.8,0.0,-0.1,0.0,-0.1,-0.093,-8.0,-2.3,-10.4,-0.1
51,Brandon Bass,PF,PF,25.0,ORL,76.0,1980.0,15.9,0.571,0.003,0.361,8.1,16.7,12.5,5.0,0.7,2.0,11.5,19.8,0.0,3.2,3.1,6.3,0.153,-0.3,0.5,0.2,1.1
52,Tony Battie,C,C,34.0,PHI,38.0,377.0,9.5,0.489,0.031,0.146,5.2,25.1,15.1,4.8,0.7,3.0,10.5,13.9,0.0,0.0,0.6,0.6,0.075,-4.1,0.8,-3.3,-0.1
53,Shane Battier,SF,SF,32.0,TOT,82.0,2375.0,12.3,0.567,0.525,0.183,4.4,13.7,9.0,11.1,1.5,2.4,12.6,11.7,0.0,2.9,2.2,5.1,0.103,0.6,0.9,1.4,2.0
54,Shane Battier,SF,SF,32.0,HOU,59.0,1818.0,12.9,0.577,0.551,0.186,3.6,13.9,8.8,12.1,1.5,2.7,12.5,12.3,0.0,2.3,1.7,4.0,0.105,0.8,1.1,1.9,1.8
55,Shane Battier,SF,SF,32.0,MEM,23.0,557.0,10.6,0.53,0.416,0.168,6.8,13.0,9.9,7.9,1.5,1.5,12.9,10.1,0.0,0.5,0.6,1.1,0.097,-0.3,0.2,-0.1,0.3
56,Nicolas Batum,SF,SF,22.0,POR,80.0,2522.0,14.8,0.563,0.424,0.203,5.1,12.8,8.8,8.1,1.5,1.6,8.6,17.8,0.0,4.4,2.3,6.6,0.126,1.1,0.0,1.1,2.0
57,Jerryd Bayless,PG,PG,22.0,TOT,71.0,1496.0,14.1,0.536,0.282,0.398,2.0,11.3,6.6,27.6,1.3,0.3,17.3,22.1,0.0,1.4,0.3,1.6,0.053,0.1,-1.9,-1.8,0.1
58,Jerryd Bayless,PG,PG,22.0,NOH,11.0,149.0,7.2,0.443,0.286,0.347,1.6,10.7,6.1,29.9,0.7,0.6,23.1,23.5,0.0,-0.3,0.1,-0.2,-0.05,-4.8,-2.5,-7.3,-0.2
59,Jerryd Bayless,PG,PG,22.0,TOR,60.0,1347.0,14.9,0.545,0.282,0.404,2.1,11.4,6.6,27.4,1.4,0.2,16.6,22.0,0.0,1.7,0.1,1.8,0.064,0.6,-1.8,-1.2,0.3
60,Michael Beasley,SF,SF,22.0,MIN,73.0,2361.0,15.5,0.51,0.132,0.234,5.4,14.1,9.6,12.3,1.1,1.7,12.4,28.3,0.0,0.7,1.0,1.7,0.035,0.0,-1.8,-1.8,0.1
61,Rodrigue Beaubois,PG,PG,22.0,DAL,28.0,496.0,11.4,0.5,0.372,0.135,1.7,10.2,6.1,21.9,2.1,1.2,16.6,26.7,0.0,-0.4,0.7,0.2,0.022,-3.2,0.5,-2.7,-0.1
63,Marco Belinelli,SG,SG,24.0,NOH,80.0,1957.0,12.1,0.56,0.469,0.181,1.1,8.4,4.7,8.0,1.1,0.3,9.4,20.0,0.0,1.9,1.5,3.4,0.084,0.2,-0.8,-0.6,0.7
64,Charlie Bell,SG,SG,31.0,GSW,19.0,171.0,4.7,0.357,0.488,0.093,3.9,8.1,6.0,10.1,1.8,0.4,11.8,13.1,0.0,-0.2,0.0,-0.1,-0.04,-4.2,-0.8,-5.0,-0.1
65,Raja Bell,SG,SG,34.0,UTA,68.0,2097.0,8.2,0.528,0.413,0.218,1.8,8.4,5.1,8.3,1.4,0.5,11.0,12.6,0.0,1.2,0.5,1.7,0.04,-2.4,-0.7,-3.1,-0.6
66,Mike Bibby,PG,PG,32.0,TOT,80.0,2285.0,10.9,0.57,0.604,0.108,0.9,9.2,5.1,17.9,1.2,0.3,14.3,14.6,0.0,2.2,1.8,4.0,0.085,-0.6,-0.4,-0.9,0.6
67,Mike Bibby,PG,PG,32.0,ATL,56.0,1674.0,11.7,0.57,0.58,0.104,1.1,9.1,5.1,18.9,1.2,0.3,12.8,15.0,0.0,1.9,1.2,3.1,0.089,-0.3,-0.3,-0.6,0.6
68,Mike Bibby,PG,PG,32.0,WAS,2.0,29.0,1.1,0.111,0.444,0.0,0.0,12.2,5.9,37.8,1.8,0.0,10.0,15.2,0.0,-0.1,0.0,-0.1,-0.161,-8.4,-0.7,-9.1,-0.1
69,Mike Bibby,PG,PG,32.0,MIA,22.0,582.0,9.0,0.601,0.698,0.127,0.4,9.1,5.0,14.1,1.0,0.4,19.4,13.3,0.0,0.4,0.6,1.0,0.084,-1.0,-0.5,-1.5,0.1
70,Andris Biedrins,C,C,24.0,GSW,59.0,1397.0,12.1,0.526,0.0,0.117,11.5,23.3,17.3,6.0,1.9,2.8,16.9,10.6,0.0,1.1,1.5,2.6,0.088,-2.5,0.2,-2.3,-0.1
71,Chauncey Billups,PG,PG,34.0,TOT,72.0,2310.0,18.7,0.617,0.457,0.528,1.3,8.1,4.7,25.8,1.5,0.5,15.3,22.3,0.0,6.6,1.4,8.0,0.166,3.7,-1.2,2.6,2.7
72,Chauncey Billups,PG,PG,34.0,DEN,51.0,1646.0,18.6,0.634,0.444,0.535,0.9,7.7,4.4,25.1,1.6,0.6,16.3,21.4,0.0,4.7,1.1,5.8,0.171,3.8,-0.9,2.9,2.1
73,Chauncey Billups,PG,PG,34.0,NYK,21.0,664.0,19.1,0.582,0.484,0.512,2.2,9.0,5.6,27.4,1.4,0.2,13.2,24.3,0.0,1.9,0.2,2.1,0.155,3.4,-1.8,1.6,0.6
74,DeJuan Blair,PF,PF,21.0,SAS,81.0,1734.0,17.1,0.524,0.003,0.235,14.8,22.9,18.9,7.1,2.8,1.7,14.9,20.1,0.0,1.5,3.2,4.8,0.132,-1.2,0.7,-0.5,0.7
75,Steve Blake,PG,PG,30.0,LAL,79.0,1581.0,7.5,0.5,0.631,0.098,1.4,9.5,5.6,15.0,1.3,0.1,18.6,11.3,0.0,0.3,1.5,1.8,0.055,-2.6,0.2,-2.3,-0.1
76,Andray Blatche,PF,PF,24.0,WAS,64.0,2172.0,16.9,0.497,0.019,0.296,9.3,18.7,13.8,11.7,2.3,1.8,13.7,25.5,0.0,0.3,2.1,2.4,0.053,-0.3,-0.5,-0.9,0.6
77,Eric Bledsoe,PG,PG,21.0,LAC,81.0,1841.0,10.8,0.499,0.239,0.274,4.4,9.8,7.1,24.2,2.6,1.1,26.3,17.9,0.0,-1.3,1.6,0.3,0.008,-2.4,0.2,-2.2,-0.1
78,Keith Bogans,SG,SG,30.0,CHI,82.0,1461.0,9.0,0.559,0.772,0.104,1.6,10.1,5.9,10.1,1.4,0.5,11.3,11.4,0.0,1.4,2.2,3.6,0.118,-1.5,1.4,-0.2,0.7
79,Andrew Bogut,C,C,26.0,MIL,65.0,2297.0,16.7,0.496,0.005,0.292,9.8,27.1,18.3,10.4,1.1,5.8,13.0,19.6,0.0,0.3,5.1,5.4,0.112,-1.0,2.4,1.3,1.9
80,Matt Bonner,PF,PF,30.0,SAS,66.0,1432.0,13.5,0.617,0.62,0.116,5.0,14.2,9.7,6.2,0.9,1.0,6.5,13.4,0.0,3.0,1.4,4.4,0.147,1.7,0.2,1.9,1.4
81,Trevor Booker,PF,PF,23.0,WAS,65.0,1063.0,15.3,0.582,0.004,0.399,10.2,17.0,13.5,5.2,1.4,3.0,11.3,13.9,0.0,1.8,0.8,2.6,0.119,-0.6,-0.3,-0.9,0.3
82,Carlos Boozer,C,C,29.0,CHI,59.0,1882.0,18.8,0.542,0.0,0.289,8.3,26.3,17.6,14.3,1.3,0.7,13.5,26.9,0.0,1.9,3.9,5.8,0.149,0.2,0.8,1.0,1.4
83,Chris Bosh,PF,PF,26.0,MIA,77.0,2795.0,19.4,0.569,0.024,0.446,6.4,20.0,13.6,8.9,1.1,1.4,9.8,23.5,0.0,6.1,4.3,10.3,0.177,1.4,-0.2,1.3,2.3
84,Earl Boykins,PG,PG,34.0,MIL,57.0,862.0,17.6,0.526,0.202,0.233,2.0,5.6,3.7,30.9,2.4,0.3,11.8,23.9,0.0,1.1,1.1,2.3,0.125,2.1,0.4,2.4,1.0
85,Craig Brackins,PF,PF,23.0,PHI,3.0,33.0,0.1,0.25,0.313,0.0,7.0,7.0,7.0,4.6,1.6,0.0,0.0,22.3,0.0,-0.1,0.0,-0.1,-0.154,-8.4,-4.1,-12.5,-0.1
86,Avery Bradley,PG,PG,20.0,BOS,31.0,162.0,2.2,0.36,0.075,0.179,3.2,9.3,6.5,11.9,3.0,0.0,18.1,26.1,0.0,-0.8,0.3,-0.5,-0.139,-10.8,-0.3,-11.1,-0.4
87,Elton Brand,PF,PF,31.0,PHI,81.0,2809.0,18.5,0.553,0.001,0.278,9.7,18.0,13.9,7.1,1.7,2.9,8.4,19.7,0.0,5.1,4.4,9.4,0.161,0.7,0.6,1.3,2.4
89,Corey Brewer,SF-SG,SF,24.0,TOT,69.0,1510.0,11.0,0.482,0.23,0.393,4.2,8.9,6.5,9.1,3.3,0.8,13.2,18.8,0.0,-0.1,1.3,1.1,0.036,-3.5,1.2,-2.3,-0.1
90,Corey Brewer,SF,SF,24.0,MIN,56.0,1362.0,10.3,0.471,0.227,0.391,3.6,9.0,6.2,8.6,3.3,0.8,13.1,18.4,0.0,-0.4,1.0,0.6,0.023,-3.8,1.0,-2.8,-0.3
91,Corey Brewer,SG,SG,24.0,DAL,13.0,148.0,17.6,0.573,0.255,0.412,9.9,8.4,9.1,13.3,3.9,1.0,14.2,22.2,0.0,0.3,0.3,0.5,0.163,-0.8,2.6,1.8,0.1
92,Ronnie Brewer,SG,SG,25.0,CHI,81.0,1781.0,13.8,0.518,0.063,0.311,3.7,13.2,8.6,12.1,3.2,0.9,10.2,13.9,0.0,1.7,3.8,5.4,0.147,-1.3,3.7,2.4,2.0
93,Jon Brockman,C,C,23.0,MIL,63.0,677.0,9.6,0.567,0.0,0.628,12.4,19.4,15.8,4.2,1.1,0.3,16.7,10.0,0.0,0.8,1.0,1.9,0.132,-4.1,0.2,-3.9,-0.3
94,Aaron Brooks,PG,PG,26.0,TOT,59.0,1284.0,13.1,0.489,0.402,0.239,1.8,5.2,3.5,28.9,1.3,0.2,13.2,25.9,0.0,0.7,0.4,1.1,0.04,-0.3,-2.7,-3.0,-0.3
