,Player,Pos,BasePos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
0,Zaid Abdul-Aziz,C,C,24.0,SEA,61.0,1276.0,16.1,0.489,0.0,0.315,0.0,0.0,16.8,4.6,0.0,0.0,0.0,0.0,0.0,1.0,0.8,1.8,0.067,0.0,0.0,0.0,0.0
1,Kareem Abdul-Jabbar*,C,C,23.0,MIL,82.0,3288.0,29.0,0.606,0.0,0.37,0.0,0.0,18.9,12.2,0.0,0.0,0.0,0.0,0.0,17.0,5.3,22.3,0.326,0.0,0.0,0.0,0.0
2,Don Adams,SF,SF,23.0,SDR,82.0,2374.0,10.8,0.446,0.0,0.222,0.0,0.0,10.7,9.9,0.0,0.0,0.0,0.0,0.0,-0.9,3.8,2.9,0.059,0.0,0.0,0.0,0.0
3,Rick Adelman,PG,PG,24.0,POR,81.0,2303.0,13.4,0.484,0.0,0.412,0.0,0.0,5.3,21.2,0.0,0.0,0.0,0.0,0.0,1.5,1.9,3.4,0.071,0.0,0.0,0.0,0.0
4,Lucius Allen,PG,PG,23.0,MIL,61.0,1162.0,12.2,0.485,0.0,0.276,0.0,0.0,6.2,16.3,0.0,0.0,0.0,0.0,0.0,0.7,1.2,1.9,0.078,0.0,0.0,0.0,0.0
5,Cliff Anderson,SG,SG,26.0,TOT,28.0,198.0,12.8,0.455,0.0,1.031,0.0,0.0,11.5,13.4,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.022,0.0,0.0,0.0,0.0
6,Cliff Anderson,SG,SG,26.0,CLE,23.0,171.0,13.2,0.463,0.0,1.017,0.0,0.0,10.4,12.9,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.022,0.0,0.0,0.0,0.0
7,Cliff Anderson,SG,SG,26.0,PHI,5.0,27.0,10.1,0.385,0.0,1.167,0.0,0.0,18.3,16.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021,0.0,0.0,0.0,0.0
8,Tiny Archibald*,PG,PG,22.0,CIN,82.0,2867.0,14.0,0.507,0.0,0.405,0.0,0.0,3.8,19.9,0.0,0.0,0.0,0.0,0.0,3.4,1.7,5.1,0.085,0.0,0.0,0.0,0.0
9,Bob Arnzen,SF,SF,23.0,CIN,55.0,594.0,14.5,0.502,0.0,0.188,0.0,0.0,11.5,5.4,0.0,0.0,0.0,0.0,0.0,0.6,0.4,1.0,0.082,0.0,0.0,0.0,0.0
10,Al Attles*,PG,PG,34.0,SFW,34.0,321.0,8.6,0.472,0.0,0.759,0.0,0.0,5.5,22.4,0.0,0.0,0.0,0.0,0.0,0.1,0.3,0.4,0.057,0.0,0.0,0.0,0.0
11,Dennis Awtrey,C,C,22.0,PHI,70.0,1292.0,13.5,0.514,0.0,0.373,0.0,0.0,14.9,9.1,0.0,0.0,0.0,0.0,0.0,1.4,1.7,3.1,0.114,0.0,0.0,0.0,0.0
12,Jim Barnes,PF,PF,29.0,BAL,11.0,100.0,10.5,0.563,0.0,0.393,0.0,0.0,7.1,10.3,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.3,0.145,0.0,0.0,0.0,0.0
13,Dick Barnett,SG,SG,34.0,NYK,82.0,2843.0,12.3,0.487,0.0,0.235,0.0,0.0,3.8,10.8,0.0,0.0,0.0,0.0,0.0,2.0,3.5,5.5,0.093,0.0,0.0,0.0,0.0
14,Jim Barnett,SG,SG,26.0,POR,78.0,2371.0,17.0,0.495,0.0,0.313,0.0,0.0,6.9,19.3,0.0,0.0,0.0,0.0,0.0,2.7,2.0,4.7,0.094,0.0,0.0,0.0,0.0
15,Moe Barr,G,G,26.0,CIN,31.0,145.0,11.9,0.45,0.0,0.21,0.0,0.0,6.2,24.5,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.029,0.0,0.0,0.0,0.0
16,Johnny Baum,SF,SF,24.0,CHI,62.0,543.0,13.4,0.449,0.0,0.198,0.0,0.0,10.9,8.8,0.0,0.0,0.0,0.0,0.0,-0.3,0.7,0.4,0.036,0.0,0.0,0.0,0.0
17,Elgin Baylor*,SF,SF,36.0,LAL,2.0,57.0,9.0,0.462,0.0,0.316,0.0,0.0,8.6,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032,0.0,0.0,0.0,0.0
18,Walt Bellamy*,C,C,31.0,ATL,82.0,2908.0,16.5,0.535,0.0,0.633,0.0,0.0,16.5,10.3,0.0,0.0,0.0,0.0,0.0,4.6,1.6,6.2,0.102,0.0,0.0,0.0,0.0
19,Dave Bing*,PG,PG,27.0,DET,82.0,3065.0,22.5,0.54,0.0,0.451,0.0,0.0,5.7,21.7,0.0,0.0,0.0,0.0,0.0,9.3,2.4,11.7,0.183,0.0,0.0,0.0,0.0
20,Tom Black,C,C,29.0,TOT,71.0,873.0,9.6,0.44,0.0,0.292,0.0,0.0,13.6,6.4,0.0,0.0,0.0,0.0,0.0,-0.4,0.5,0.1,0.008,0.0,0.0,0.0,0.0
21,Tom Black,C,C,29.0,SEA,55.0,773.0,10.2,0.455,0.0,0.272,0.0,0.0,13.3,6.9,0.0,0.0,0.0,0.0,0.0,-0.1,0.4,0.3,0.021,0.0,0.0,0.0,0.0
22,Tom Black,C,C,29.0,CIN,16.0,100.0,4.3,0.328,0.0,0.455,0.0,0.0,15.3,2.3,0.0,0.0,0.0,0.0,0.0,-0.3,0.1,-0.2,-0.098,0.0,0.0,0.0,0.0
23,John Block,PF,PF,26.0,SDR,73.0,1464.0,15.2,0.499,0.0,0.462,0.0,0.0,13.2,9.2,0.0,0.0,0.0,0.0,0.0,1.5,2.6,4.1,0.133,0.0,0.0,0.0,0.0
25,Tom Boerwinkle,C,C,25.0,CHI,82.0,2370.0,20.4,0.526,0.0,0.315,0.0,0.0,22.6,23.1,0.0,0.0,0.0,0.0,0.0,3.4,5.6,9.0,0.182,0.0,0.0,0.0,0.0
26,Bob Boozer,PF,PF,33.0,MIL,80.0,1775.0,13.1,0.502,0.0,0.281,0.0,0.0,11.6,8.6,0.0,0.0,0.0,0.0,0.0,1.7,2.1,3.7,0.101,0.0,0.0,0.0,0.0
27,Nate Bowman,C,C,27.0,BUF,44.0,483.0,10.0,0.413,0.0,0.257,0.0,0.0,16.3,11.4,0.0,0.0,0.0,0.0,0.0,-0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0
28,Bill Bradley*,SF,SF,27.0,NYK,78.0,2300.0,13.3,0.49,0.0,0.192,0.0,0.0,5.2,16.5,0.0,0.0,0.0,0.0,0.0,1.8,3.6,5.4,0.114,0.0,0.0,0.0,0.0
29,Bill Bridges,PF,PF,31.0,ATL,82.0,3140.0,13.8,0.498,0.0,0.396,0.0,0.0,17.7,9.6,0.0,0.0,0.0,0.0,0.0,2.1,1.8,3.9,0.059,0.0,0.0,0.0,0.0
30,Em Bryant,PG,PG,32.0,BUF,73.0,2137.0,11.6,0.47,0.0,0.297,0.0,0.0,5.6,22.6,0.0,0.0,0.0,0.0,0.0,0.7,1.4,2.1,0.047,0.0,0.0,0.0,0.0
31,Fred Carter,SG,SG,25.0,BAL,77.0,1707.0,12.3,0.446,0.0,0.225,0.0,0.0,6.5,13.2,0.0,0.0,0.0,0.0,0.0,-0.7,2.0,1.3,0.036,0.0,0.0,0.0,0.0
32,Wilt Chamberlain*,C,C,34.0,LAL,82.0,3630.0,20.3,0.558,0.0,0.546,0.0,0.0,18.4,12.7,0.0,0.0,0.0,0.0,0.0,8.2,4.5,12.6,0.167,0.0,0.0,0.0,0.0
33,Jerry Chambers,SF,SF,27.0,ATL,65.0,1168.0,13.7,0.496,0.0,0.255,0.0,0.0,9.5,7.3,0.0,0.0,0.0,0.0,0.0,1.1,0.4,1.5,0.062,0.0,0.0,0.0,0.0
34,Don Chaney,SG,SG,24.0,BOS,81.0,2289.0,13.0,0.515,0.0,0.409,0.0,0.0,8.7,12.7,0.0,0.0,0.0,0.0,0.0,2.7,3.2,5.9,0.124,0.0,0.0,0.0,0.0
35,Len Chappell,PF,PF,30.0,TOT,48.0,537.0,13.4,0.511,0.0,0.442,0.0,0.0,12.8,4.2,0.0,0.0,0.0,0.0,0.0,0.6,0.2,0.9,0.076,0.0,0.0,0.0,0.0
36,Len Chappell,F-C,F,30.0,CLE,6.0,86.0,11.4,0.464,0.0,0.368,0.0,0.0,10.1,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014,0.0,0.0,0.0,0.0
37,Len Chappell,PF,PF,30.0,ATL,42.0,451.0,13.8,0.522,0.0,0.46,0.0,0.0,13.3,4.7,0.0,0.0,0.0,0.0,0.0,0.6,0.2,0.8,0.088,0.0,0.0,0.0,0.0
38,Bob Christian,C,C,24.0,ATL,54.0,524.0,9.4,0.483,0.0,0.504,0.0,0.0,15.3,7.1,0.0,0.0,0.0,0.0,0.0,0.2,0.3,0.5,0.042,0.0,0.0,0.0,0.0
39,Archie Clark,PG,PG,29.0,PHI,82.0,3245.0,17.7,0.556,0.0,0.402,0.0,0.0,5.4,19.1,0.0,0.0,0.0,0.0,0.0,8.3,3.1,11.4,0.169,0.0,0.0,0.0,0.0
40,Barry Clemens,SF,SF,27.0,SEA,78.0,1286.0,12.2,0.501,0.0,0.217,0.0,0.0,8.7,9.7,0.0,0.0,0.0,0.0,0.0,1.2,0.6,1.8,0.068,0.0,0.0,0.0,0.0
41,Jimmy Collins,SG,SG,24.0,CHI,55.0,478.0,13.0,0.468,0.0,0.21,0.0,0.0,5.3,18.4,0.0,0.0,0.0,0.0,0.0,0.1,0.5,0.6,0.064,0.0,0.0,0.0,0.0
42,Joe Cooke,SG,SG,22.0,CLE,73.0,725.0,10.4,0.431,0.0,0.173,0.0,0.0,7.6,19.6,0.0,0.0,0.0,0.0,0.0,-0.6,0.2,-0.4,-0.025,0.0,0.0,0.0,0.0
43,Mel Counts,C,C,29.0,PHO,80.0,1669.0,15.8,0.496,0.0,0.248,0.0,0.0,13.8,12.2,0.0,0.0,0.0,0.0,0.0,1.7,2.5,4.2,0.121,0.0,0.0,0.0,0.0
44,Dave Cowens*,C,C,22.0,BOS,81.0,3076.0,15.4,0.468,0.0,0.286,0.0,0.0,17.0,9.5,0.0,0.0,0.0,0.0,0.0,0.6,5.8,6.4,0.1,0.0,0.0,0.0,0.0
45,Freddie Crawford,SG,SG,29.0,TOT,51.0,652.0,10.2,0.413,0.0,0.349,0.0,0.0,7.2,16.4,0.0,0.0,0.0,0.0,0.0,-0.8,0.6,-0.3,-0.019,0.0,0.0,0.0,0.0
