,Player,Pos,BasePos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
104,Bevo Nordmann,C,C,25.0,BOS,3.0,0.0,25.0,3.0,5.0,0.6,0.0,0.0,0.0,3.0,5.0,0.6,0.6,0.0,0.0,0.0,0.0,0.0,8.0,3.0,0.0,0.0,0.0,5.0,6.0
105,Don Ohl,SG,SG,28.0,BAL,77.0,0.0,2821.0,568.0,1297.0,0.438,0.0,0.0,0.0,568.0,1297.0,0.438,0.438,284.0,388.0,0.732,0.0,0.0,336.0,250.0,0.0,0.0,0.0,274.0,1420.0
106,Bud Olsen,PF,PF,24.0,CIN,79.0,0.0,1372.0,224.0,512.0,0.438,0.0,0.0,0.0,224.0,512.0,0.438,0.438,144.0,195.0,0.738,0.0,0.0,333.0,84.0,0.0,0.0,0.0,203.0,592.0
107,Bob Pettit*,PF,PF,32.0,STL,50.0,0.0,1754.0,396.0,923.0,0.429,0.0,0.0,0.0,396.0,923.0,0.429,0.429,332.0,405.0,0.82,0.0,0.0,621.0,128.0,0.0,0.0,0.0,167.0,1124.0
108,Gary Phillips,SG,SG,25.0,SFW,73.0,0.0,1541.0,198.0,553.0,0.358,0.0,0.0,0.0,198.0,553.0,0.358,0.358,120.0,199.0,0.603,0.0,0.0,189.0,148.0,0.0,0.0,0.0,184.0,516.0
109,Hub Reed,C,C,28.0,DET,62.0,0.0,753.0,84.0,221.0,0.38,0.0,0.0,0.0,84.0,221.0,0.38,0.38,40.0,58.0,0.69,0.0,0.0,206.0,38.0,0.0,0.0,0.0,136.0,208.0
110,Willis Reed*,C,C,22.0,NYK,80.0,0.0,3042.0,629.0,1457.0,0.432,0.0,0.0,0.0,629.0,1457.0,0.432,0.432,302.0,407.0,0.742,0.0,0.0,1175.0,133.0,0.0,0.0,0.0,339.0,1560.0
111,Oscar Robertson*,PG,PG,26.0,CIN,75.0,0.0,3421.0,807.0,1681.0,0.48,0.0,0.0,0.0,807.0,1681.0,0.48,0.48,665.0,793.0,0.839,0.0,0.0,674.0,861.0,0.0,0.0,0.0,205.0,2279.0
112,Guy Rodgers*,SG,SG,29.0,SFW,79.0,0.0,2699.0,465.0,1225.0,0.38,0.0,0.0,0.0,465.0,1225.0,0.38,0.38,223.0,325.0,0.686,0.0,0.0,323.0,565.0,0.0,0.0,0.0,256.0,1153.0
113,John Rudometkin,SF,SF,24.0,TOT,23.0,0.0,376.0,52.0,154.0,0.338,0.0,0.0,0.0,52.0,154.0,0.338,0.338,34.0,50.0,0.68,0.0,0.0,99.0,16.0,0.0,0.0,0.0,54.0,138.0
114,John Rudometkin,SF,SF,24.0,NYK,1.0,0.0,22.0,3.0,8.0,0.375,0.0,0.0,0.0,3.0,8.0,0.375,0.375,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,5.0,6.0
115,John Rudometkin,SF,SF,24.0,SFW,22.0,0.0,354.0,49.0,146.0,0.336,0.0,0.0,0.0,49.0,146.0,0.336,0.336,34.0,50.0,0.68,0.0,0.0,92.0,16.0,0.0,0.0,0.0,49.0,132.0
116,Bill Russell*,C,C,30.0,BOS,78.0,0.0,3466.0,429.0,980.0,0.438,0.0,0.0,0.0,429.0,980.0,0.438,0.438,244.0,426.0,0.573,0.0,0.0,1878.0,410.0,0.0,0.0,0.0,204.0,1102.0
117,Tom Sanders*,PF,PF,26.0,BOS,80.0,0.0,2459.0,374.0,871.0,0.429,0.0,0.0,0.0,374.0,871.0,0.429,0.429,193.0,259.0,0.745,0.0,0.0,661.0,92.0,0.0,0.0,0.0,318.0,941.0
118,Ray Scott,PF,PF,26.0,DET,66.0,0.0,2167.0,402.0,1092.0,0.368,0.0,0.0,0.0,402.0,1092.0,0.368,0.368,220.0,314.0,0.701,0.0,0.0,634.0,239.0,0.0,0.0,0.0,209.0,1024.0
119,Larry Siegfried,SG,SG,25.0,BOS,72.0,0.0,996.0,173.0,417.0,0.415,0.0,0.0,0.0,173.0,417.0,0.415,0.415,109.0,140.0,0.779,0.0,0.0,134.0,119.0,0.0,0.0,0.0,108.0,455.0
120,Paul Silas,PF,PF,21.0,STL,79.0,0.0,1243.0,140.0,375.0,0.373,0.0,0.0,0.0,140.0,375.0,0.373,0.373,83.0,164.0,0.506,0.0,0.0,576.0,48.0,0.0,0.0,0.0,161.0,363.0
121,Adrian Smith,SG,SG,28.0,CIN,80.0,0.0,2745.0,463.0,1016.0,0.456,0.0,0.0,0.0,463.0,1016.0,0.456,0.456,284.0,342.0,0.83,0.0,0.0,220.0,240.0,0.0,0.0,0.0,199.0,1210.0
123,Tom Thacker,PG,PG,25.0,CIN,55.0,0.0,470.0,56.0,168.0,0.333,0.0,0.0,0.0,56.0,168.0,0.333,0.333,23.0,47.0,0.489,0.0,0.0,127.0,41.0,0.0,0.0,0.0,64.0,135.0
124,John Thompson*,PF,PF,23.0,BOS,64.0,0.0,699.0,84.0,209.0,0.402,0.0,0.0,0.0,84.0,209.0,0.402,0.402,62.0,105.0,0.59,0.0,0.0,230.0,16.0,0.0,0.0,0.0,141.0,230.0
125,Rod Thorn*,SG,SG,23.0,DET,74.0,0.0,1770.0,320.0,750.0,0.427,0.0,0.0,0.0,320.0,750.0,0.427,0.427,176.0,243.0,0.724,0.0,0.0,266.0,161.0,0.0,0.0,0.0,122.0,816.0
126,Nate Thurmond*,PF,PF,23.0,SFW,77.0,0.0,3173.0,519.0,1240.0,0.419,0.0,0.0,0.0,519.0,1240.0,0.419,0.419,235.0,357.0,0.658,0.0,0.0,1395.0,157.0,0.0,0.0,0.0,232.0,1273.0
127,John Tresvant,PF,PF,25.0,STL,4.0,0.0,35.0,4.0,11.0,0.364,0.0,0.0,0.0,4.0,11.0,0.364,0.364,6.0,9.0,0.667,0.0,0.0,18.0,6.0,0.0,0.0,0.0,9.0,14.0
128,Jack Twyman*,SF,SF,30.0,CIN,80.0,0.0,2236.0,479.0,1081.0,0.443,0.0,0.0,0.0,479.0,1081.0,0.443,0.443,198.0,239.0,0.828,0.0,0.0,383.0,137.0,0.0,0.0,0.0,239.0,1156.0
129,Chico Vaughn,SG,SG,24.0,STL,75.0,0.0,1965.0,344.0,811.0,0.424,0.0,0.0,0.0,344.0,811.0,0.424,0.424,182.0,242.0,0.752,0.0,0.0,173.0,157.0,0.0,0.0,0.0,192.0,870.0
130,Chet Walker*,SF,SF,24.0,PHI,79.0,0.0,2187.0,377.0,936.0,0.403,0.0,0.0,0.0,377.0,936.0,0.403,0.403,288.0,388.0,0.742,0.0,0.0,528.0,132.0,0.0,0.0,0.0,200.0,1042.0
131,Gerry Ward,SG,SG,23.0,BOS,3.0,0.0,30.0,2.0,18.0,0.111,0.0,0.0,0.0,2.0,18.0,0.111,0.111,1.0,1.0,1.0,0.0,0.0,5.0,6.0,0.0,0.0,0.0,6.0,5.0
