b'Date',b'href',b'Start (ET)',b'Visitor/Neutral',b'PTS',b'Home/Neutral',b'PTS',b'\xc2\xa0',b'\xc2\xa0',b'Attend.',b'Notes'
"Fri, Oct 31, 1986",/boxscores/198610310BOS.html,,Washington Bullets,102,Boston Celtics,120,Box Score,,"14,890",
"Fri, Oct 31, 1986",/boxscores/198610310DAL.html,,Utah Jazz,77,Dallas Mavericks,103,Box Score,,"16,692",
"Fri, Oct 31, 1986",/boxscores/198610310DEN.html,,San Antonio Spurs,104,Denver Nuggets,134,Box Score,,"14,835",
"Fri, Oct 31, 1986",/boxscores/198610310DET.html,,Milwaukee Bucks,120,Detroit Pistons,104,Box Score,,"20,541",
"Fri, Oct 31, 1986",/boxscores/198610310PHI.html,,Indiana Pacers,104,Philadelphia 76ers,108,Box Score,,"10,247",
"Fri, Oct 31, 1986",/boxscores/198610310PHO.html,,Golden State Warriors,123,Phoenix Suns,127,Box Score,,"11,615",
"Fri, Oct 31, 1986",/boxscores/198610310POR.html,,Seattle SuperSonics,127,Portland Trail Blazers,110,Box Score,,"12,666",
"Fri, Oct 31, 1986",/boxscores/198610310SAC.html,,Los Angeles Clippers,106,Sacramento Kings,107,Box Score,,"10,333",
"Fri, Oct 31, 1986",/boxscores/198610310NJN.html,7:55p,New York Knicks,97,New Jersey Nets,108,Box Score,,"17,684",
"Sat, Nov 1, 1986",/boxscores/198611010ATL.html,,New Jersey Nets,111,Atlanta Hawks,131,Box Score,,"13,650",
"Sat, Nov 1, 1986",/boxscores/198611010CLE.html,,Washington Bullets,106,Cleveland Cavaliers,113,Box Score,,"14,254",
"Sat, Nov 1, 1986",/boxscores/198611010GSW.html,,Denver Nuggets,109,Golden State Warriors,131,Box Score,,"10,584",
"Sat, Nov 1, 1986",/boxscores/198611010HOU.html,,Los Angeles Lakers,102,Houston Rockets,112,Box Score,,"16,016",
"Sat, Nov 1, 1986",/boxscores/198611010IND.html,,Detroit Pistons,89,Indiana Pacers,92,Box Score,,"16,912",
"Sat, Nov 1, 1986",/boxscores/198611010LAC.html,,Phoenix Suns,111,Los Angeles Clippers,117,Box Score,,"7,805",
"Sat, Nov 1, 1986",/boxscores/198611010MIL.html,,Boston Celtics,105,Milwaukee Bucks,111,Box Score,,"11,052",
"Sat, Nov 1, 1986",/boxscores/198611010NYK.html,,Chicago Bulls,108,New York Knicks,103,Box Score,,"19,325",
"Sat, Nov 1, 1986",/boxscores/198611010SAS.html,,Dallas Mavericks,105,San Antonio Spurs,108,Box Score,,"13,340",
"Sat, Nov 1, 1986",/boxscores/198611010SEA.html,,Sacramento Kings,103,Seattle SuperSonics,114,Box Score,,"6,296",
"Sat, Nov 1, 1986",/boxscores/198611010UTA.html,,Portland Trail Blazers,110,Utah Jazz,119,Box Score,,"11,013",
"Sun, Nov 2, 1986",/boxscores/198611020CLE.html,,Chicago Bulls,94,Cleveland Cavaliers,89,Box Score,,"17,540",
"Sun, Nov 2, 1986",/boxscores/198611020PHI.html,,Atlanta Hawks,122,Philadelphia 76ers,113,Box Score,,"11,468",
"Mon, Nov 3, 1986",/boxscores/198611030GSW.html,,New York Knicks,95,Golden State Warriors,104,Box Score,,"9,016",
"Tue, Nov 4, 1986",/boxscores/198611040ATL.html,,Milwaukee Bucks,98,Atlanta Hawks,107,Box Score,,"10,762",
"Tue, Nov 4, 1986",/boxscores/198611040CHI.html,,San Antonio Spurs,104,Chicago Bulls,111,Box Score,,"12,282",
"Tue, Nov 4, 1986",/boxscores/198611040DAL.html,,Los Angeles Clippers,86,Dallas Mavericks,118,Box Score,,"16,421",
"Tue, Nov 4, 1986",/boxscores/198611040DEN.html,,New York Knicks,103,Denver Nuggets,118,Box Score,,"11,383",
"Tue, Nov 4, 1986",/boxscores/198611040IND.html,,Philadelphia 76ers,121,Indiana Pacers,125,Box Score,2OT,"13,887",
"Tue, Nov 4, 1986",/boxscores/198611040PHO.html,,Portland Trail Blazers,120,Phoenix Suns,126,Box Score,,"11,624",
"Tue, Nov 4, 1986",/boxscores/198611040SAC.html,,Houston Rockets,100,Sacramento Kings,84,Box Score,,"10,333",
