b'Date',b'href',b'Visitor/Neutral',b'PTS',b'Home/Neutral',b'PTS',b'\xc2\xa0',b'\xc2\xa0',b'Attend.',b'Notes'
"Thu, Nov 11, 1965",/boxscores/196511110BOS.html,St. Louis Hawks,83,Boston Celtics,87,Box Score,,,
"Thu, Nov 11, 1965",/boxscores/196511110PHI.html,San Francisco Warriors,101,Philadelphia 76ers,109,Box Score,,,"at Boston, MA"
"Fri, Nov 12, 1965",/boxscores/196511120DET.html,San Francisco Warriors,103,Detroit Pistons,102,Box Score,,,
"Fri, Nov 12, 1965",/boxscores/196511120LAL.html,New York Knicks,106,Los Angeles Lakers,107,Box Score,,,"at Minneapolis, MN"
"Fri, Nov 12, 1965",/boxscores/196511120PHI.html,Boston Celtics,114,Philadelphia 76ers,123,Box Score,,,
"Sat, Nov 13, 1965",/boxscores/196511130BOS.html,Detroit Pistons,93,Boston Celtics,122,Box Score,,,
"Sat, Nov 13, 1965",/boxscores/196511130CIN.html,Baltimore Bullets,132,Cincinnati Royals,135,Box Score,,,
"Sat, Nov 13, 1965",/boxscores/196511130NYK.html,Philadelphia 76ers,127,New York Knicks,119,Box Score,,,
"Sat, Nov 13, 1965",/boxscores/196511130STL.html,San Francisco Warriors,113,St. Louis Hawks,138,Box Score,,,
"Sun, Nov 14, 1965",/boxscores/196511140LAL.html,Baltimore Bullets,114,Los Angeles Lakers,129,Box Score,,,
"Mon, Nov 15, 1965",/boxscores/196511150BAL.html,San Francisco Warriors,123,Baltimore Bullets,112,Box Score,,,"at San Jose, CA"
"Tue, Nov 16, 1965",/boxscores/196511160SFW.html,Boston Celtics,108,San Francisco Warriors,105,Box Score,,,
"Tue, Nov 16, 1965",/boxscores/196511160NYK.html,Detroit Pistons,95,New York Knicks,120,Box Score,,,
"Tue, Nov 16, 1965",/boxscores/196511160PHI.html,St. Louis Hawks,98,Philadelphia 76ers,107,Box Score,,,"at New York, NY"
"Wed, Nov 17, 1965",/boxscores/196511170CIN.html,Philadelphia 76ers,115,Cincinnati Royals,131,Box Score,,,
"Wed, Nov 17, 1965",/boxscores/196511170LAL.html,Boston Celtics,115,Los Angeles Lakers,125,Box Score,,,
"Thu, Nov 18, 1965",/boxscores/196511180BAL.html,New York Knicks,104,Baltimore Bullets,120,Box Score,,,
"Fri, Nov 19, 1965",/boxscores/196511190BOS.html,Cincinnati Royals,103,Boston Celtics,129,Box Score,,,
"Fri, Nov 19, 1965",/boxscores/196511190DET.html,New York Knicks,116,Detroit Pistons,109,Box Score,,,
"Fri, Nov 19, 1965",/boxscores/196511190LAL.html,San Francisco Warriors,124,Los Angeles Lakers,135,Box Score,,,
"Fri, Nov 19, 1965",/boxscores/196511190PHI.html,Baltimore Bullets,134,Philadelphia 76ers,124,Box Score,,,
"Sat, Nov 20, 1965",/boxscores/196511200LAL.html,San Francisco Warriors,117,Los Angeles Lakers,133,Box Score,,,"at Las Vegas, NV"
"Sat, Nov 20, 1965",/boxscores/196511200STL.html,Detroit Pistons,101,St. Louis Hawks,110,Box Score,,,
"Sat, Nov 20, 1965",/boxscores/196511200NYK.html,Boston Celtics,122,New York Knicks,108,Box Score,,,
"Sat, Nov 20, 1965",/boxscores/196511200BAL.html,Philadelphia 76ers,112,Baltimore Bullets,117,Box Score,,,
"Sun, Nov 21, 1965",/boxscores/196511210BAL.html,Cincinnati Royals,120,Baltimore Bullets,114,Box Score,,,"at Indianapolis, IN"
"Sun, Nov 21, 1965",/boxscores/196511210LAL.html,Philadelphia 76ers,110,Los Angeles Lakers,104,Box Score,,,
"Mon, Nov 22, 1965",/boxscores/196511220SFW.html,St. Louis Hawks,108,San Francisco Warriors,112,Box Score,,,"at Memphis, TN"
"Tue, Nov 23, 1965",/boxscores/196511230CIN.html,Detroit Pistons,118,Cincinnati Royals,115,Box Score,,,"at New York, NY"
"Tue, Nov 23, 1965",/boxscores/196511230NYK.html,San Francisco Warriors,134,New York Knicks,125,Box Score,,,
"Wed, Nov 24, 1965",/boxscores/196511240BOS.html,New York Knicks,110,Boston Celtics,125,Box Score,,,
"Wed, Nov 24, 1965",/boxscores/196511240LAL.html,Philadelphia 76ers,124,Los Angeles Lakers,127,Box Score,,,
