b'Date',b'href',b'Start (ET)',b'Visitor/Neutral',b'PTS',b'Home/Neutral',b'PTS',b'\xc2\xa0',b'\xc2\xa0',b'Attend.',b'Notes'
"Sat, Nov 4, 2000",/boxscores/200011040SEA.html,10:00p,Portland Trail Blazers,97,Seattle SuperSonics,90,Box Score,,"17,072",
"Sat, Nov 4, 2000",/boxscores/200011040GSW.html,10:30p,San Antonio Spurs,117,Golden State Warriors,105,Box Score,,"16,121",
"Sat, Nov 4, 2000",/boxscores/200011040LAC.html,10:30p,Houston Rockets,74,Los Angeles Clippers,77,Box Score,,"10,797",
"Sun, Nov 5, 2000",/boxscores/200011050PHO.html,8:00p,Houston Rockets,99,Phoenix Suns,104,Box Score,,"16,735",
"Sun, Nov 5, 2000",/boxscores/200011050LAL.html,9:30p,Los Angeles Clippers,103,Los Angeles Lakers,108,Box Score,,"18,997",
"Mon, Nov 6, 2000",/boxscores/200011060ORL.html,7:30p,Seattle SuperSonics,99,Orlando Magic,110,Box Score,,"12,460",
"Mon, Nov 6, 2000",/boxscores/200011060DEN.html,9:00p,Dallas Mavericks,108,Denver Nuggets,96,Box Score,,"11,190",
"Mon, Nov 6, 2000",/boxscores/200011060UTA.html,9:00p,Minnesota Timberwolves,92,Utah Jazz,98,Box Score,,"19,911",
"Mon, Nov 6, 2000",/boxscores/200011060VAN.html,10:00p,Atlanta Hawks,87,Vancouver Grizzlies,97,Box Score,,"11,639",
"Mon, Nov 6, 2000",/boxscores/200011060SAC.html,10:30p,Portland Trail Blazers,75,Sacramento Kings,79,Box Score,,"17,317",
"Tue, Nov 7, 2000",/boxscores/200011070TOR.html,7:00p,Boston Celtics,75,Toronto Raptors,105,Box Score,,"17,379",
"Tue, Nov 7, 2000",/boxscores/200011070MIL.html,8:00p,New York Knicks,103,Milwaukee Bucks,89,Box Score,,"14,246",
"Tue, Nov 7, 2000",/boxscores/200011070CHI.html,8:30p,Washington Wizards,88,Chicago Bulls,83,Box Score,,"21,312",
"Tue, Nov 7, 2000",/boxscores/200011070HOU.html,8:30p,Los Angeles Lakers,74,Houston Rockets,84,Box Score,,"14,473",
"Tue, Nov 7, 2000",/boxscores/200011070PHO.html,9:00p,San Antonio Spurs,81,Phoenix Suns,100,Box Score,,"16,683",
"Tue, Nov 7, 2000",/boxscores/200011070POR.html,10:00p,Atlanta Hawks,88,Portland Trail Blazers,97,Box Score,,"19,980",
"Wed, Nov 8, 2000",/boxscores/200011080IND.html,7:00p,Milwaukee Bucks,97,Indiana Pacers,108,Box Score,,"17,684",
"Wed, Nov 8, 2000",/boxscores/200011080PHI.html,7:00p,Detroit Pistons,94,Philadelphia 76ers,103,Box Score,,"15,986",
"Wed, Nov 8, 2000",/boxscores/200011080WAS.html,7:00p,New Jersey Nets,102,Washington Wizards,86,Box Score,,"11,532",
"Wed, Nov 8, 2000",/boxscores/200011080MIA.html,7:30p,Seattle SuperSonics,81,Miami Heat,87,Box Score,,"15,083",
