,Tm,W,L,W/L%,GB,PS/G,PA/G,SRS
0,Boston Celtics,56.0,26.0,0.683,—,111.5,105.7,5.22
1,Philadelphia 76ers,44.0,38.0,0.537,12.0,105.4,105.6,-0.39
2,New York Knicks,39.0,43.0,0.476,17.0,103.1,103.3,-0.43
3,Washington Bullets,30.0,52.0,0.366,26.0,101.4,106.4,-4.84
4,New Jersey Nets,26.0,56.0,0.317,30.0,102.9,107.5,-4.53
5,Miami Heat,24.0,58.0,0.293,32.0,101.8,107.8,-5.91
6,Chicago Bulls,61.0,21.0,0.744,—,110.0,101.0,8.57
7,Detroit Pistons,50.0,32.0,0.61,11.0,100.1,96.8,3.08
8,Milwaukee Bucks,48.0,34.0,0.585,13.0,106.4,104.0,2.33
9,Atlanta Hawks,43.0,39.0,0.524,18.0,109.8,109.0,0.72
10,Indiana Pacers,41.0,41.0,0.5,20.0,111.7,112.1,-0.37
11,Cleveland Cavaliers,33.0,49.0,0.402,28.0,101.7,104.2,-2.33
12,Charlotte Hornets,26.0,56.0,0.317,35.0,102.8,108.0,-4.95
13,San Antonio Spurs,55.0,27.0,0.671,—,107.1,102.6,4.3
14,Utah Jazz,54.0,28.0,0.659,1.0,104.0,100.7,3.18
15,Houston Rockets,52.0,30.0,0.634,3.0,106.7,103.2,3.27
16,Orlando Magic,31.0,51.0,0.378,24.0,105.9,109.9,-3.79
17,Minnesota Timberwolves,29.0,53.0,0.354,26.0,99.6,103.5,-3.75
18,Dallas Mavericks,28.0,54.0,0.341,27.0,99.9,104.5,-4.27
19,Denver Nuggets,20.0,62.0,0.244,35.0,119.9,130.8,-10.31
20,Portland Trail Blazers,63.0,19.0,0.768,—,114.7,106.0,8.47
21,Los Angeles Lakers,58.0,24.0,0.707,5.0,106.3,99.6,6.73
22,Phoenix Suns,55.0,27.0,0.671,8.0,114.0,107.5,6.49
23,Golden State Warriors,44.0,38.0,0.537,19.0,116.6,115.0,1.72
24,Seattle SuperSonics,41.0,41.0,0.5,22.0,106.6,105.4,1.31
25,Los Angeles Clippers,31.0,51.0,0.378,32.0,103.5,107.0,-3.16
26,Sacramento Kings,25.0,57.0,0.305,38.0,96.7,103.5,-6.27
