,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Alaa Abdelnaby,PF,22.0,POR,43.0,0.0,290.0,6.8,14.4,0.474,0.0,0.0,0.0,6.8,14.4,0.474,3.1,5.5,0.568,3.4,7.7,11.0,1.5,0.5,1.5,2.7,4.8,16.8
1,Mahmoud Abdul-Rauf,PG,21.0,DEN,67.0,19.0,1505.0,10.0,24.1,0.413,0.6,2.4,0.24,9.4,21.7,0.432,2.0,2.3,0.857,0.8,2.1,2.9,4.9,1.3,0.1,2.6,3.6,22.5
2,Mark Acres,C,28.0,ORL,68.0,0.0,1313.0,3.0,5.9,0.509,0.0,0.1,0.333,3.0,5.8,0.512,1.8,2.8,0.653,3.8,6.0,9.8,0.7,0.7,0.7,1.2,6.0,7.8
3,Michael Adams,PG,28.0,DEN,66.0,66.0,2346.0,8.6,21.8,0.394,2.6,8.7,0.296,6.0,13.2,0.459,7.1,8.1,0.879,0.9,3.0,3.9,10.6,2.3,0.1,3.7,2.5,26.9
4,Mark Aguirre,SF,31.0,DET,78.0,13.0,2006.0,7.5,16.3,0.462,0.4,1.4,0.308,7.1,14.9,0.477,4.3,5.7,0.757,2.4,4.3,6.7,2.5,0.8,0.4,2.3,3.8,19.8
5,Danny Ainge,SG,31.0,POR,80.0,0.0,1710.0,7.1,15.0,0.472,2.1,5.3,0.406,4.9,9.7,0.508,2.4,2.9,0.826,0.9,3.4,4.3,6.0,1.3,0.3,2.1,4.1,18.7
6,Mark Alarie,PF,27.0,WSB,42.0,1.0,587.0,6.1,13.8,0.44,0.3,1.3,0.238,5.8,12.5,0.461,2.5,2.9,0.854,2.5,4.7,7.2,2.8,0.9,0.5,2.5,5.4,15.0
7,Steve Alford,PG,26.0,DAL,34.0,0.0,236.0,9.0,17.8,0.504,1.1,3.5,0.304,7.9,14.3,0.553,4.0,4.7,0.839,1.5,2.1,3.7,3.4,1.2,0.2,2.4,1.7,23.0
8,Greg Anderson,PF,26.0,TOT,68.0,2.0,924.0,4.5,10.5,0.43,0.0,0.0,0.0,4.5,10.5,0.431,2.3,4.5,0.522,3.8,8.6,12.4,0.6,1.4,1.8,3.3,5.5,11.4
9,Greg Anderson,PF,26.0,MIL,26.0,0.0,247.0,3.9,10.6,0.37,0.0,0.1,0.0,3.9,10.5,0.375,2.3,4.1,0.571,3.8,7.1,10.9,0.4,1.2,1.3,3.2,4.2,10.2
10,Greg Anderson,PF,26.0,NJN,1.0,0.0,18.0,8.0,8.0,1.0,0.0,0.0,0.0,8.0,8.0,1.0,0.0,0.0,0.0,8.0,4.0,12.0,2.0,4.0,0.0,2.0,8.0,16.0
