,Tm,W,L,W/L%,GB,PS/G,PA/G,SRS
0,New York Knicks,52.0,30.0,0.634,—,110.1,105.0,5.05
1,Philadelphia 76ers,47.0,35.0,0.573,5.0,114.8,113.3,1.81
2,Boston Celtics,44.0,38.0,0.537,8.0,117.2,115.1,2.3
3,Buffalo Braves,22.0,60.0,0.268,30.0,105.5,112.1,-8.02
4,Baltimore Bullets,42.0,40.0,0.512,—,112.9,112.3,0.91
5,Atlanta Hawks,36.0,46.0,0.439,6.0,114.0,115.8,-1.3
6,Cincinnati Royals,33.0,49.0,0.402,9.0,116.0,119.2,-2.96
7,Cleveland Cavaliers,15.0,67.0,0.183,27.0,102.1,113.3,-12.04
8,Milwaukee Bucks,66.0,16.0,0.805,—,118.4,106.2,11.92
9,Chicago Bulls,51.0,31.0,0.622,15.0,110.6,105.4,5.47
10,Phoenix Suns,48.0,34.0,0.585,18.0,113.8,111.9,2.33
11,Detroit Pistons,45.0,37.0,0.549,21.0,110.1,110.9,-0.33
12,Los Angeles Lakers,48.0,34.0,0.585,—,114.8,111.7,3.27
13,San Francisco Warriors,41.0,41.0,0.5,7.0,107.1,108.5,-0.83
14,San Diego Rockets,40.0,42.0,0.488,8.0,113.2,113.4,0.21
15,Seattle SuperSonics,38.0,44.0,0.463,10.0,115.0,117.0,-1.53
16,Portland Trail Blazers,29.0,53.0,0.354,19.0,115.5,120.0,-6.2
