,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Kareem Abdul-Jabbar*,C,36.0,LAL,80.0,80.0,2622.0,9.8,17.0,0.578,0.0,0.0,0.0,9.8,17.0,0.579,3.9,5.4,0.723,2.3,5.7,8.1,2.9,0.8,2.0,3.0,2.9,23.6
1,Alvan Adams,C,29.0,PHO,70.0,13.0,1452.0,6.7,14.4,0.462,0.0,0.1,0.0,6.7,14.3,0.465,3.3,4.0,0.825,2.9,5.0,7.9,5.4,1.8,0.8,2.9,4.8,16.6
2,Mark Aguirre,SF,24.0,DAL,79.0,79.0,2900.0,11.5,21.9,0.524,0.2,0.7,0.268,11.3,21.2,0.532,5.8,7.7,0.749,2.0,3.8,5.8,4.4,1.0,0.3,3.5,3.1,28.9
3,Danny Ainge,SG,24.0,BOS,71.0,3.0,1154.0,5.2,11.3,0.46,0.2,0.7,0.273,5.0,10.6,0.472,1.4,1.7,0.821,0.9,2.7,3.6,5.1,1.3,0.1,2.2,4.5,12.0
4,J.J. Anderson,SF,23.0,UTA,48.0,0.0,311.0,6.4,15.0,0.423,0.0,0.3,0.0,6.4,14.7,0.433,1.4,3.4,0.414,4.4,2.9,7.3,2.5,1.7,1.0,2.3,3.2,14.1
5,Richard Anderson,PF,23.0,DEN,78.0,17.0,1380.0,7.1,16.6,0.426,0.1,0.5,0.158,7.0,16.1,0.435,3.0,3.9,0.773,3.5,7.0,10.6,5.0,1.2,0.7,2.8,4.8,17.3
6,Tiny Archibald*,PG,35.0,MIL,46.0,46.0,1038.0,4.7,9.7,0.487,0.1,0.6,0.222,4.6,9.1,0.506,2.2,3.5,0.634,0.6,2.1,2.6,5.5,1.1,0.0,2.7,2.7,11.8
7,Ken Austin,SF,22.0,DET,7.0,0.0,28.0,7.7,16.7,0.462,0.0,0.0,0.0,7.7,16.7,0.462,0.0,0.0,0.0,2.6,1.3,3.9,1.3,1.3,1.3,3.9,9.0,15.4
8,John Bagley,PG,23.0,CLE,76.0,19.0,1712.0,5.4,12.8,0.423,0.0,0.4,0.118,5.4,12.4,0.432,3.3,4.2,0.793,1.0,2.3,3.3,7.0,1.6,0.1,3.6,2.4,14.2
9,James Bailey,PF,26.0,HOU,73.0,0.0,1174.0,7.8,15.9,0.491,0.0,0.0,0.0,7.8,15.8,0.492,4.2,5.9,0.719,3.2,5.8,9.0,2.4,1.0,1.2,3.1,6.0,19.8
10,Thurl Bailey,PF,22.0,UTA,81.0,54.0,2009.0,5.4,10.6,0.512,0.0,0.0,0.0,5.4,10.6,0.512,1.6,2.1,0.752,2.1,6.3,8.3,2.3,0.7,2.2,1.9,3.5,12.4
11,Greg Ballard,SF,29.0,WSB,82.0,82.0,2701.0,6.8,14.1,0.481,0.0,0.2,0.133,6.8,13.9,0.486,2.2,2.8,0.798,1.9,4.6,6.5,3.9,1.3,0.5,1.9,2.9,15.8
12,Gene Banks,PF,24.0,SAS,80.0,66.0,2600.0,5.9,10.3,0.568,0.0,0.1,0.167,5.9,10.3,0.571,2.8,3.7,0.741,2.8,5.2,8.1,3.5,1.5,0.3,2.3,3.5,14.5
13,Dave Batton,C,27.0,SAS,4.0,0.0,31.0,5.8,11.6,0.5,0.0,0.0,0.0,5.8,11.6,0.5,0.0,0.0,0.0,1.2,3.5,4.6,3.5,0.0,3.5,4.6,5.8,11.6
14,Kent Benson,C,29.0,DET,82.0,58.0,1734.0,5.1,9.4,0.55,0.0,0.0,0.0,5.1,9.3,0.551,1.7,2.1,0.822,2.4,6.1,8.5,2.7,1.5,1.1,1.6,4.8,12.0
15,Larry Bird*,PF,27.0,BOS,79.0,77.0,3028.0,9.0,18.3,0.492,0.2,0.9,0.247,8.8,17.5,0.504,4.4,5.0,0.888,2.2,7.3,9.5,6.2,1.7,0.8,2.8,2.3,22.7
16,Otis Birdsong,SG,28.0,NJN,69.0,57.0,2168.0,9.7,19.0,0.508,0.1,0.3,0.25,9.6,18.7,0.513,3.2,5.3,0.608,1.2,1.6,2.8,4.4,1.4,0.3,2.8,3.0,22.7
17,Rolando Blackman,SG,24.0,DAL,81.0,81.0,3025.0,8.6,15.7,0.546,0.0,0.1,0.091,8.6,15.6,0.55,4.4,5.5,0.812,1.5,3.0,4.4,3.4,0.7,0.4,2.0,1.5,21.6
18,Tom Boswell,PF,30.0,UTA,38.0,0.0,261.0,3.9,7.2,0.538,0.1,0.1,1.0,3.7,7.0,0.529,2.2,2.9,0.762,3.9,5.0,8.8,2.2,1.2,0.0,1.8,8.0,10.1
19,Charles Bradley,SG,24.0,SEA,8.0,0.0,39.0,2.8,6.5,0.429,0.0,0.0,0.0,2.8,6.5,0.429,4.6,6.5,0.714,0.0,2.8,2.8,4.6,0.0,0.9,7.4,5.5,10.2
21,Mike Bratz,PG,28.0,GSW,82.0,0.0,1428.0,5.4,13.1,0.409,0.4,1.3,0.294,5.0,11.8,0.421,3.0,3.5,0.876,1.0,2.6,3.6,6.4,2.1,0.2,2.7,3.9,14.1
22,Randy Breuer,C,23.0,MIL,57.0,8.0,472.0,5.2,13.5,0.384,0.0,0.0,0.0,5.2,13.5,0.384,2.4,3.5,0.696,3.7,4.7,8.3,1.3,0.8,2.9,2.7,7.5,12.8
23,Ron Brewer,SG,28.0,TOT,53.0,8.0,992.0,6.5,14.6,0.444,0.1,0.5,0.214,6.4,14.1,0.452,1.9,2.4,0.776,0.8,1.5,2.3,1.8,0.9,0.8,1.5,2.3,15.0
24,Ron Brewer,SG,28.0,GSW,13.0,3.0,210.0,4.6,9.9,0.466,0.0,0.2,0.0,4.6,9.8,0.474,1.9,2.9,0.647,0.9,1.4,2.2,1.0,1.0,0.9,1.2,1.7,11.1
25,Ron Brewer,SG,28.0,SAS,40.0,5.0,782.0,7.0,15.9,0.441,0.1,0.6,0.231,6.9,15.3,0.449,1.9,2.3,0.82,0.8,1.5,2.3,2.0,0.8,0.7,1.5,2.5,16.0
26,Junior Bridgeman,SF,30.0,MIL,81.0,10.0,2431.0,7.5,16.2,0.465,0.1,0.5,0.194,7.4,15.7,0.473,2.9,3.6,0.807,1.2,3.7,4.9,3.9,0.8,0.2,2.2,3.3,18.1
27,Michael Brooks,SF,25.0,SDC,47.0,30.0,1405.0,5.5,11.4,0.479,0.0,0.1,0.0,5.5,11.3,0.484,2.7,3.9,0.689,3.6,5.1,8.8,2.3,1.3,0.4,2.0,3.2,13.6
28,Fred Brown,SG,35.0,SEA,71.0,1.0,1129.0,8.2,16.1,0.51,0.3,1.1,0.265,7.9,15.1,0.528,2.5,2.7,0.895,0.4,1.5,2.0,6.2,1.6,0.1,2.2,2.7,19.2
29,Rickey Brown,C,25.0,ATL,68.0,3.0,785.0,4.3,9.2,0.468,0.0,0.0,0.0,4.3,9.2,0.468,2.2,3.0,0.738,3.1,5.2,8.3,1.3,0.8,1.1,2.4,7.4,10.8
30,Wallace Bryant,C,24.0,CHI,29.0,0.0,317.0,5.9,15.1,0.391,0.0,0.0,0.0,5.9,15.1,0.391,1.6,3.7,0.424,4.2,4.9,9.1,1.5,1.0,1.2,1.8,5.5,13.4
