,Tm,W,L,W/L%,GB,PS/G,PA/G,SRS
0,Boston Celtics,67.0,15.0,0.817,—,114.1,104.7,9.06
1,Philadelphia 76ers,54.0,28.0,0.659,13.0,110.4,108.0,2.46
2,Washington Bullets,39.0,43.0,0.476,28.0,103.0,104.8,-1.28
3,New Jersey Nets,39.0,43.0,0.476,28.0,109.1,111.1,-1.39
4,New York Knicks,23.0,59.0,0.28,44.0,98.7,104.3,-4.82
5,Milwaukee Bucks,57.0,25.0,0.695,—,114.5,105.5,8.69
6,Atlanta Hawks,50.0,32.0,0.61,7.0,108.6,106.2,2.59
7,Detroit Pistons,46.0,36.0,0.561,11.0,114.2,113.0,1.44
8,Chicago Bulls,30.0,52.0,0.366,27.0,109.3,113.1,-3.12
9,Cleveland Cavaliers,29.0,53.0,0.354,28.0,107.8,110.6,-2.19
10,Indiana Pacers,26.0,56.0,0.317,31.0,103.9,107.2,-2.66
11,Houston Rockets,51.0,31.0,0.622,—,114.4,111.8,2.1
12,Denver Nuggets,47.0,35.0,0.573,4.0,114.8,113.5,0.89
13,Dallas Mavericks,44.0,38.0,0.537,7.0,115.3,114.2,0.7
14,Utah Jazz,42.0,40.0,0.512,9.0,108.2,108.5,-0.67
15,Sacramento Kings,37.0,45.0,0.451,14.0,108.8,111.9,-3.19
16,San Antonio Spurs,35.0,47.0,0.427,16.0,111.2,113.1,-2.06
17,Los Angeles Lakers,62.0,20.0,0.756,—,117.3,109.5,6.84
18,Portland Trail Blazers,40.0,42.0,0.488,22.0,115.1,114.0,0.61
19,Phoenix Suns,32.0,50.0,0.39,30.0,110.0,113.0,-3.16
20,Los Angeles Clippers,32.0,50.0,0.39,30.0,108.6,115.5,-6.83
21,Seattle SuperSonics,31.0,51.0,0.378,31.0,104.4,104.5,-0.47
22,Golden State Warriors,30.0,52.0,0.366,32.0,113.4,116.9,-3.59
