,Tm,W,L,W/L%,GB,PS/G,PA/G,SRS
0,New York Knicks,60.0,22.0,0.732,—,115.0,105.9,8.42
1,Milwaukee Bucks,56.0,26.0,0.683,4.0,118.8,114.2,4.25
2,Baltimore Bullets,50.0,32.0,0.61,10.0,120.7,118.6,1.94
3,Philadelphia 76ers,42.0,40.0,0.512,18.0,121.9,118.5,3.32
4,Cincinnati Royals,36.0,46.0,0.439,24.0,117.3,120.2,-2.55
5,Boston Celtics,34.0,48.0,0.415,26.0,114.9,116.8,-1.6
6,Detroit Pistons,31.0,51.0,0.378,29.0,112.8,116.1,-2.94
7,Atlanta Hawks,48.0,34.0,0.585,—,117.6,117.2,0.31
8,Los Angeles Lakers,46.0,36.0,0.561,2.0,113.7,111.8,1.76
9,Chicago Bulls,39.0,43.0,0.476,9.0,114.9,116.7,-1.71
10,Phoenix Suns,39.0,43.0,0.476,9.0,119.3,121.1,-1.66
11,Seattle SuperSonics,36.0,46.0,0.439,12.0,116.9,119.5,-2.43
12,San Francisco Warriors,30.0,52.0,0.366,18.0,111.1,115.6,-4.15
13,San Diego Rockets,27.0,55.0,0.329,21.0,118.7,121.8,-2.95
