,Tm,W,L,W/L%,GB,PS/G,PA/G,SRS
0,Boston Celtics,50.0,32.0,0.61,—,99.2,95.6,3.37
1,Toronto Raptors,40.0,42.0,0.488,10.0,104.1,105.9,-1.83
2,New York Knicks,29.0,53.0,0.354,21.0,102.1,105.9,-4.01
3,Philadelphia 76ers,27.0,55.0,0.329,23.0,97.7,101.6,-3.93
4,New Jersey Nets,12.0,70.0,0.146,38.0,92.4,101.5,-8.93
5,Cleveland Cavaliers,61.0,21.0,0.744,—,102.1,95.6,6.17
6,Milwaukee Bucks,46.0,36.0,0.561,15.0,97.7,96.0,1.37
7,Chicago Bulls,41.0,41.0,0.5,20.0,97.5,99.1,-1.64
8,Indiana Pacers,32.0,50.0,0.39,29.0,100.8,103.8,-3.11
9,Detroit Pistons,27.0,55.0,0.329,34.0,94.0,99.1,-5.02
10,Orlando Magic,59.0,23.0,0.72,—,102.8,95.3,7.12
11,Atlanta Hawks,53.0,29.0,0.646,6.0,101.7,97.0,4.44
12,Miami Heat,47.0,35.0,0.573,12.0,96.5,94.2,1.99
13,Charlotte Bobcats,44.0,38.0,0.537,15.0,95.3,93.8,1.3
14,Washington Wizards,26.0,56.0,0.317,33.0,96.2,101.0,-4.72
15,Denver Nuggets,53.0,29.0,0.646,—,106.5,102.4,4.15
16,Utah Jazz,53.0,29.0,0.646,—,104.2,98.9,5.33
17,Portland Trail Blazers,50.0,32.0,0.61,3.0,98.1,94.8,3.18
18,Oklahoma City Thunder,50.0,32.0,0.61,3.0,101.5,98.0,3.55
19,Minnesota Timberwolves,15.0,67.0,0.183,38.0,98.2,107.8,-9.06
20,Los Angeles Lakers,57.0,25.0,0.695,—,101.7,97.0,4.78
21,Phoenix Suns,54.0,28.0,0.659,3.0,110.2,105.3,4.67
22,Los Angeles Clippers,29.0,53.0,0.354,28.0,95.7,102.1,-6.01
23,Golden State Warriors,26.0,56.0,0.317,31.0,108.8,112.4,-3.28
24,Sacramento Kings,25.0,57.0,0.305,32.0,100.0,104.4,-4.06
25,Dallas Mavericks,55.0,27.0,0.671,—,102.0,99.3,2.66
26,San Antonio Spurs,50.0,32.0,0.61,5.0,101.4,96.3,5.07
27,Houston Rockets,42.0,40.0,0.512,13.0,102.4,102.7,-0.02
28,Memphis Grizzlies,40.0,42.0,0.488,15.0,102.5,104.0,-1.39
29,New Orleans Hornets,37.0,45.0,0.451,18.0,100.2,102.7,-2.27
