,Season,Lg,Age,Ht,Wt,G,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,Pace,eFG%,TOV%,ORB%,FT/FGA,ORtg
13,2007-08,NBA,26.8,6-7,220.0,1230.0,40.1,87.7,7.1,19.5,20.3,26.8,12.0,33.1,45.2,23.4,7.8,5.1,15.2,22.6,107.5,0.457,0.362,0.755,92.4,0.497,13.2,26.7,0.231,107.5
14,2006-07,NBA,26.6,6-7,219.0,1230.0,39.4,85.9,6.5,18.3,21.1,28.1,12.0,32.3,44.3,22.9,7.8,5.0,16.3,24.0,106.5,0.458,0.358,0.752,91.9,0.496,14.2,27.1,0.246,106.5
15,2005-06,NBA,26.5,6-7,220.0,1230.0,39.2,86.5,6.3,17.5,21.5,28.8,12.2,32.6,44.8,22.6,7.8,5.1,15.8,24.9,106.2,0.454,0.358,0.745,90.5,0.49,13.7,27.3,0.248,106.2
16,2004-05,NBA,26.9,6-7,220.0,1230.0,39.2,87.7,6.1,17.2,21.5,28.4,13.1,32.6,45.7,23.2,8.2,5.3,15.8,24.7,106.1,0.447,0.356,0.756,90.9,0.482,13.6,28.7,0.245,106.1
17,2003-04,NBA,27.0,6-7,219.0,1189.0,38.6,88.0,5.7,16.4,20.1,26.7,13.3,33.2,46.5,23.5,8.7,5.6,16.5,23.6,102.9,0.439,0.347,0.752,90.1,0.471,14.2,28.6,0.228,102.9
18,2002-03,NBA,27.2,6-7,219.0,1189.0,38.9,88.1,5.6,16.0,20.2,26.6,13.1,33.0,46.1,23.4,8.7,5.5,16.3,23.7,103.6,0.442,0.349,0.758,91.0,0.474,14.0,28.5,0.229,103.6
19,2001-02,NBA,27.4,6-7,218.0,1189.0,39.6,89.0,5.7,16.1,19.6,26.1,13.4,33.0,46.4,24.0,8.5,5.7,15.8,23.2,104.5,0.445,0.354,0.752,90.7,0.477,13.6,28.9,0.221,104.5
20,2000-01,NBA,27.7,6-7,216.0,1189.0,38.8,87.6,5.3,14.9,20.2,27.0,13.0,33.1,46.1,23.7,8.5,5.7,16.4,24.3,103.0,0.443,0.354,0.748,91.3,0.473,14.1,28.2,0.231,103.0
23,1999-00,NBA,27.8,6-7,216.0,1189.0,39.3,87.6,5.2,14.6,20.2,27.0,13.3,32.6,45.8,23.9,8.5,5.5,16.5,24.9,104.1,0.449,0.353,0.75,93.1,0.478,14.2,28.9,0.231,104.1
24,1998-99,NBA,27.9,6-7,215.0,725.0,38.1,87.3,5.0,14.7,21.0,28.8,14.0,32.4,46.5,23.1,9.3,5.5,17.1,24.8,102.2,0.437,0.339,0.728,88.9,0.466,14.6,30.2,0.24,102.2
25,1997-98,NBA,27.7,6-7,214.0,1189.0,39.5,87.6,4.8,14.0,21.3,28.9,14.3,31.3,45.7,24.2,9.2,5.6,17.0,24.6,105.0,0.45,0.346,0.737,90.3,0.478,14.5,31.4,0.243,105.0
26,1996-97,NBA,27.7,6-7,213.0,1189.0,39.7,87.3,6.7,18.5,20.6,27.9,13.9,31.3,45.2,24.3,9.0,5.4,17.2,24.3,106.7,0.455,0.36,0.738,90.1,0.493,14.8,30.8,0.236,106.7
27,1995-96,NBA,27.5,6-7,213.0,1189.0,40.1,86.7,6.4,17.4,21.1,28.6,13.7,31.0,44.6,24.5,8.6,5.5,17.1,24.9,107.6,0.462,0.367,0.74,91.8,0.499,14.7,30.6,0.243,107.6
28,1994-95,NBA,27.2,6-7,212.0,1107.0,40.6,87.0,5.9,16.3,21.3,28.9,13.9,30.4,44.4,24.9,8.8,5.5,17.0,25.1,108.3,0.466,0.359,0.737,92.9,0.5,14.6,31.4,0.245,108.3
29,1993-94,NBA,27.2,6-7,211.0,1107.0,41.2,88.4,3.5,10.4,20.5,27.9,14.5,30.5,45.0,25.5,9.3,5.5,16.7,23.2,106.3,0.466,0.333,0.734,95.1,0.485,14.3,32.2,0.232,106.3
30,1992-93,NBA,27.1,6-7,210.0,1107.0,41.7,88.2,3.1,9.2,21.5,28.4,14.2,30.1,44.3,25.4,8.8,5.4,16.3,23.8,108.0,0.473,0.336,0.754,96.8,0.491,14.0,32.0,0.243,108.0
31,1991-92,NBA,27.2,6-7,208.0,1107.0,42.4,89.7,2.6,7.8,20.8,27.4,14.7,30.1,44.9,25.1,8.9,5.7,16.0,22.8,108.2,0.472,0.331,0.759,96.6,0.487,13.6,32.9,0.232,108.2
32,1990-91,NBA,27.2,6-7,209.0,1107.0,42.0,88.5,2.3,7.2,21.6,28.3,14.2,29.7,43.9,25.1,8.7,5.3,16.3,23.5,107.9,0.474,0.32,0.765,97.8,0.487,13.9,32.3,0.245,107.9
33,1989-90,NBA,27.1,6-7,208.0,1107.0,42.0,88.1,2.2,6.7,22.0,28.8,14.0,29.6,43.6,25.1,8.6,5.1,16.2,23.5,108.1,0.476,0.331,0.764,98.3,0.489,13.9,32.1,0.25,108.1
34,1988-89,NBA,26.9,6-7,208.0,1025.0,41.9,87.8,2.1,6.5,21.8,28.4,14.3,29.0,43.4,25.2,9.0,5.3,17.0,23.4,107.8,0.477,0.323,0.768,100.6,0.489,14.5,33.0,0.249,107.8
35,1987-88,NBA,26.9,6-7,209.0,943.0,42.1,87.6,1.6,5.0,22.3,29.1,14.2,29.1,43.3,25.7,8.5,5.4,16.7,24.1,108.0,0.48,0.316,0.766,99.6,0.489,14.3,32.8,0.254,108.0
