b'Date',b'href',b'Start (ET)',b'Visitor/Neutral',b'PTS',b'Home/Neutral',b'PTS',b'\xc2\xa0',b'\xc2\xa0',b'Attend.',b'Notes'
"Fri, Nov 5, 1982",/boxscores/198211050MIL.html,,San Diego Clippers,99,Milwaukee Bucks,130,Box Score,,"10,685",
"Fri, Nov 5, 1982",/boxscores/198211050SEA.html,,New York Knicks,103,Seattle SuperSonics,112,Box Score,,"14,665",
"Sat, Nov 6, 1982",/boxscores/198211060ATL.html,,Detroit Pistons,93,Atlanta Hawks,95,Box Score,,"8,008",
"Sat, Nov 6, 1982",/boxscores/198211060CHI.html,,San Diego Clippers,124,Chicago Bulls,129,Box Score,,"11,162",
"Sat, Nov 6, 1982",/boxscores/198211060DAL.html,,Phoenix Suns,112,Dallas Mavericks,100,Box Score,,"12,780",
"Sat, Nov 6, 1982",/boxscores/198211060DEN.html,,Golden State Warriors,118,Denver Nuggets,127,Box Score,,"12,929",
"Sat, Nov 6, 1982",/boxscores/198211060PHI.html,,Boston Celtics,115,Philadelphia 76ers,119,Box Score,2OT,"18,482",
"Sat, Nov 6, 1982",/boxscores/198211060POR.html,,New York Knicks,102,Portland Trail Blazers,110,Box Score,,"12,666",
"Sat, Nov 6, 1982",/boxscores/198211060UTA.html,,Los Angeles Lakers,104,Utah Jazz,101,Box Score,,"11,869",
"Sat, Nov 6, 1982",/boxscores/198211060WSB.html,,Indiana Pacers,115,Washington Bullets,119,Box Score,OT,"7,821",
"Sun, Nov 7, 1982",/boxscores/198211070LAL.html,,Portland Trail Blazers,89,Los Angeles Lakers,103,Box Score,,"13,526",
"Sun, Nov 7, 1982",/boxscores/198211070MIL.html,,Seattle SuperSonics,102,Milwaukee Bucks,90,Box Score,,"10,975",
"Sun, Nov 7, 1982",/boxscores/198211070SAS.html,,Phoenix Suns,100,San Antonio Spurs,101,Box Score,,"9,448",
"Sun, Nov 7, 1982",/boxscores/198211070NJN.html,7:16p,Boston Celtics,102,New Jersey Nets,100,Box Score,,"15,550",
"Tue, Nov 9, 1982",/boxscores/198211090CHI.html,,Seattle SuperSonics,112,Chicago Bulls,111,Box Score,,"9,122",
"Tue, Nov 9, 1982",/boxscores/198211090DEN.html,,Atlanta Hawks,106,Denver Nuggets,105,Box Score,,"10,551",
"Tue, Nov 9, 1982",/boxscores/198211090HOU.html,,Phoenix Suns,119,Houston Rockets,91,Box Score,,"7,563",
"Tue, Nov 9, 1982",/boxscores/198211090IND.html,,San Diego Clippers,95,Indiana Pacers,100,Box Score,,"3,402",
"Tue, Nov 9, 1982",/boxscores/198211090LAL.html,,Kansas City Kings,117,Los Angeles Lakers,139,Box Score,,"12,402",
"Tue, Nov 9, 1982",/boxscores/198211090NYK.html,,New Jersey Nets,84,New York Knicks,82,Box Score,,"14,128",
"Tue, Nov 9, 1982",/boxscores/198211090POR.html,,Golden State Warriors,96,Portland Trail Blazers,111,Box Score,,"12,666",
"Tue, Nov 9, 1982",/boxscores/198211090SAS.html,,Utah Jazz,104,San Antonio Spurs,118,Box Score,,"10,780",
"Tue, Nov 9, 1982",/boxscores/198211090WSB.html,,Detroit Pistons,108,Washington Bullets,105,Box Score,,"6,595",
"Wed, Nov 10, 1982",/boxscores/198211100BOS.html,,Milwaukee Bucks,105,Boston Celtics,101,Box Score,,"15,320",
"Wed, Nov 10, 1982",/boxscores/198211100DAL.html,,Seattle SuperSonics,94,Dallas Mavericks,91,Box Score,,"9,813",
"Wed, Nov 10, 1982",/boxscores/198211100DET.html,,Indiana Pacers,91,Detroit Pistons,115,Box Score,,"5,178",
"Wed, Nov 10, 1982",/boxscores/198211100GSW.html,,Cleveland Cavaliers,132,Golden State Warriors,120,Box Score,OT,"6,509",
"Wed, Nov 10, 1982",/boxscores/198211100PHI.html,,Chicago Bulls,108,Philadelphia 76ers,145,Box Score,,"13,056",
"Wed, Nov 10, 1982",/boxscores/198211100PHO.html,,Kansas City Kings,100,Phoenix Suns,106,Box Score,,"10,148",
"Wed, Nov 10, 1982",/boxscores/198211100UTA.html,,Denver Nuggets,119,Utah Jazz,125,Box Score,,"8,314",
"Wed, Nov 10, 1982",/boxscores/198211100NJN.html,7:42p,New York Knicks,90,New Jersey Nets,99,Box Score,,"14,076",
"Thu, Nov 11, 1982",/boxscores/198211110POR.html,,Houston Rockets,90,Portland Trail Blazers,111,Box Score,,"12,666",
"Thu, Nov 11, 1982",/boxscores/198211110SDC.html,,San Antonio Spurs,105,San Diego Clippers,109,Box Score,,"4,157",
"Fri, Nov 12, 1982",/boxscores/198211120BOS.html,,Dallas Mavericks,110,Boston Celtics,118,Box Score,,"15,320",
"Fri, Nov 12, 1982",/boxscores/198211120CHI.html,,New Jersey Nets,105,Chicago Bulls,113,Box Score,,"5,828",
"Fri, Nov 12, 1982",/boxscores/198211120DEN.html,,Portland Trail Blazers,128,Denver Nuggets,111,Box Score,,"13,639",
"Fri, Nov 12, 1982",/boxscores/198211120DET.html,,Milwaukee Bucks,100,Detroit Pistons,111,Box Score,,"17,147",
"Fri, Nov 12, 1982",/boxscores/198211120LAL.html,,Houston Rockets,96,Los Angeles Lakers,127,Box Score,,"15,804",
"Fri, Nov 12, 1982",/boxscores/198211120PHI.html,,Indiana Pacers,117,Philadelphia 76ers,108,Box Score,,"14,189",
"Fri, Nov 12, 1982",/boxscores/198211120PHO.html,,Cleveland Cavaliers,81,Phoenix Suns,94,Box Score,,"9,876",
"Fri, Nov 12, 1982",/boxscores/198211120UTA.html,,Atlanta Hawks,106,Utah Jazz,98,Box Score,,"8,697",
"Fri, Nov 12, 1982",/boxscores/198211120WSB.html,,New York Knicks,88,Washington Bullets,87,Box Score,,"16,048",
"Sat, Nov 13, 1982",/boxscores/198211130DAL.html,,Denver Nuggets,140,Dallas Mavericks,130,Box Score,,"10,283",
"Sat, Nov 13, 1982",/boxscores/198211130GSW.html,,Atlanta Hawks,101,Golden State Warriors,114,Box Score,,"12,010",
"Sat, Nov 13, 1982",/boxscores/198211130IND.html,,Chicago Bulls,115,Indiana Pacers,119,Box Score,,"3,420",
"Sat, Nov 13, 1982",/boxscores/198211130NYK.html,,Detroit Pistons,100,New York Knicks,112,Box Score,,"10,433",
"Sat, Nov 13, 1982",/boxscores/198211130SAS.html,,Seattle SuperSonics,107,San Antonio Spurs,98,Box Score,,"14,814",
"Sat, Nov 13, 1982",/boxscores/198211130SDC.html,,Kansas City Kings,112,San Diego Clippers,111,Box Score,,"6,437",
"Sat, Nov 13, 1982",/boxscores/198211130NJN.html,7:43p,Philadelphia 76ers,110,New Jersey Nets,100,Box Score,,"18,805",
"Sun, Nov 14, 1982",/boxscores/198211140HOU.html,,Seattle SuperSonics,102,Houston Rockets,99,Box Score,,"6,576",
"Sun, Nov 14, 1982",/boxscores/198211140LAL.html,,Cleveland Cavaliers,98,Los Angeles Lakers,111,Box Score,,"12,806",
"Sun, Nov 14, 1982",/boxscores/198211140MIL.html,,Boston Celtics,100,Milwaukee Bucks,98,Box Score,,"11,052",
