,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
143,Armond Hill,PG,28.0,TOT,40.0,18.0,723.0,2.6,6.3,0.421,0.0,0.1,0.0,2.6,6.2,0.427,1.9,2.7,0.709,0.6,2.0,2.6,5.3,1.0,0.2,3.3,4.4,7.2
144,Armond Hill,PG,28.0,SEA,21.0,4.0,243.0,2.8,5.5,0.514,0.0,0.0,0.0,2.8,5.5,0.514,2.5,3.4,0.739,0.9,2.8,3.7,3.7,0.7,0.3,2.1,5.5,8.1
145,Armond Hill,PG,28.0,SDC,19.0,14.0,480.0,2.5,6.7,0.382,0.0,0.1,0.0,2.5,6.5,0.391,1.6,2.4,0.688,0.5,1.6,2.0,6.1,1.2,0.2,3.9,3.8,6.8
146,Brad Holland,SG,25.0,TOT,14.0,3.0,194.0,5.0,14.5,0.346,0.0,0.6,0.0,5.0,13.9,0.36,0.6,1.1,0.5,1.1,1.3,2.4,3.3,2.0,0.2,1.5,2.4,10.6
147,Brad Holland,SG,25.0,WSB,13.0,3.0,185.0,5.3,14.2,0.37,0.0,0.6,0.0,5.3,13.6,0.386,0.6,0.8,0.75,1.2,1.4,2.5,3.1,2.1,0.2,1.4,2.3,11.1
148,Brad Holland,SG,25.0,MIL,1.0,0.0,9.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,4.0,4.0,0.0
149,Lionel Hollins,PG,28.0,PHI,81.0,81.0,2257.0,6.1,12.7,0.477,0.0,0.3,0.125,6.0,12.5,0.484,2.1,3.0,0.702,0.6,2.4,3.0,5.0,1.6,0.3,2.3,3.2,14.3
150,Cedrick Hordges,PF,25.0,DEN,77.0,1.0,1372.0,5.4,10.9,0.493,0.1,0.3,0.231,5.3,10.5,0.501,3.0,5.2,0.583,3.1,7.2,10.4,1.7,0.7,0.5,2.9,6.0,13.8
151,Phil Hubbard,SF,25.0,TOT,83.0,40.0,1839.0,6.4,13.0,0.49,0.0,0.1,0.0,6.4,12.9,0.493,3.7,5.5,0.682,3.7,5.6,9.3,1.8,1.3,0.4,3.2,5.7,16.5
152,Phil Hubbard,SF,25.0,DET,52.0,38.0,1104.0,6.8,13.4,0.505,0.0,0.1,0.0,6.8,13.3,0.509,3.5,5.3,0.65,3.3,5.6,8.9,2.2,1.2,0.5,3.2,5.7,17.0
