,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1.0,POR,Mychal Thompson,Minnesota,12.0,935.0,27764.0,12810.0,6951.0,2141.0,0.504,0.083,0.655,29.7,13.7,7.4,2.3,59.1,0.102,0.6,18.2
2,2.0,KCK,Phil Ford,UNC,7.0,482.0,13503.0,5594.0,854.0,3083.0,0.467,0.21,0.82,28.0,11.6,1.8,6.4,23.3,0.083,-2.1,-0.4
3,3.0,IND,Rick Robey,Kentucky,8.0,493.0,8824.0,3723.0,2301.0,611.0,0.501,0.125,0.65,17.9,7.6,4.7,1.2,15.8,0.086,-1.5,1.1
4,4.0,NYK,Micheal Ray Richardson,University of Montana,8.0,556.0,18589.0,8253.0,3056.0,3899.0,0.457,0.22,0.69,33.4,14.8,5.5,7.0,35.2,0.091,3.5,25.9
5,5.0,GSW,Purvis Short,Jackson State University,12.0,842.0,24549.0,14607.0,3625.0,2123.0,0.474,0.282,0.824,29.2,17.3,4.3,2.5,51.1,0.1,-0.1,11.6
6,6.0,BOS,Larry Bird,Indiana State University,13.0,897.0,34443.0,21791.0,8974.0,5695.0,0.496,0.376,0.886,38.4,24.3,10.0,6.3,145.8,0.203,7.2,79.7
7,7.0,POR,Ron Brewer,Arkansas,8.0,501.0,12892.0,5971.0,971.0,920.0,0.459,0.248,0.824,25.7,11.9,1.9,1.8,17.3,0.065,-2.3,-0.8
8,8.0,BOS,Freeman Williams,Portland State,6.0,323.0,6606.0,4738.0,510.0,516.0,0.467,0.331,0.824,20.5,14.7,1.6,1.6,10.0,0.072,-3.2,-2.1
9,9.0,CHI,Reggie Theus,UNLV,13.0,1026.0,34603.0,19015.0,3349.0,6453.0,0.471,0.252,0.826,33.7,18.5,3.3,6.3,66.9,0.093,0.1,18.4
10,10.0,ATL,Butch Lee,Marquette,2.0,96.0,1834.0,773.0,137.0,307.0,0.45,0.0,0.761,19.1,8.1,1.4,3.2,2.4,0.062,-2.7,-0.3
