,Tm,W,L,W/L%,GB,PS/G,PA/G,SRS
0,New Jersey Nets,49.0,33.0,0.598,—,95.4,90.1,4.42
1,Philadelphia 76ers,48.0,34.0,0.585,1.0,96.8,94.5,1.76
2,Boston Celtics,44.0,38.0,0.537,5.0,92.7,93.1,-0.75
3,Orlando Magic,42.0,40.0,0.512,7.0,98.5,98.4,-0.39
4,Washington Wizards,37.0,45.0,0.451,12.0,91.5,92.5,-1.47
5,New York Knicks,37.0,45.0,0.451,12.0,95.9,97.2,-1.61
6,Miami Heat,25.0,57.0,0.305,24.0,85.6,90.6,-5.13
7,Detroit Pistons,50.0,32.0,0.61,—,91.4,87.7,2.97
8,Indiana Pacers,48.0,34.0,0.585,2.0,96.8,93.3,2.79
9,New Orleans Hornets,47.0,35.0,0.573,3.0,93.9,91.8,1.52
10,Milwaukee Bucks,42.0,40.0,0.512,8.0,99.5,99.3,-0.24
11,Atlanta Hawks,35.0,47.0,0.427,15.0,94.1,97.6,-3.87
12,Chicago Bulls,30.0,52.0,0.366,20.0,95.0,100.1,-5.31
13,Toronto Raptors,24.0,58.0,0.293,26.0,90.9,96.8,-6.1
14,Cleveland Cavaliers,17.0,65.0,0.207,33.0,91.4,101.0,-9.59
15,San Antonio Spurs,60.0,22.0,0.732,—,95.8,90.4,5.65
16,Dallas Mavericks,60.0,22.0,0.732,—,103.0,95.2,7.9
17,Minnesota Timberwolves,51.0,31.0,0.622,9.0,98.1,96.0,2.46
18,Utah Jazz,47.0,35.0,0.573,13.0,94.7,92.3,2.76
19,Houston Rockets,43.0,39.0,0.524,17.0,93.8,92.3,1.89
20,Memphis Grizzlies,28.0,54.0,0.341,32.0,97.5,100.7,-2.6
21,Denver Nuggets,17.0,65.0,0.207,43.0,84.2,92.4,-7.41
22,Sacramento Kings,59.0,23.0,0.72,—,101.7,95.2,6.68
23,Los Angeles Lakers,50.0,32.0,0.61,9.0,100.4,98.0,2.71
24,Portland Trail Blazers,50.0,32.0,0.61,9.0,95.2,92.5,2.97
25,Phoenix Suns,44.0,38.0,0.537,15.0,95.5,94.4,1.57
26,Seattle SuperSonics,40.0,42.0,0.488,19.0,92.1,92.3,0.37
27,Golden State Warriors,38.0,44.0,0.463,21.0,102.4,103.6,-0.6
28,Los Angeles Clippers,27.0,55.0,0.329,32.0,93.8,97.9,-3.45
