,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
28,Ed Fleming,SG,25.0,MNL,71.0,1132.0,13.7,0.459,0.0,0.453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.9,2.0,0.084,0.0,0.0,0.0,0.0
29,Larry Foust,C,30.0,MNL,72.0,1933.0,16.1,0.473,0.0,0.475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,1.5,4.2,0.105,0.0,0.0,0.0,0.0
30,Dave Gambee,SF,21.0,STL,2.0,7.0,11.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.261,0.0,0.0,0.0,0.0
31,Dick Garmaker,SG,26.0,MNL,72.0,2493.0,12.5,0.47,0.0,0.416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,1.5,4.6,0.088,0.0,0.0,0.0,0.0
32,Jack George,PG,30.0,TOT,71.0,1881.0,11.0,0.405,0.0,0.301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,1.9,1.5,0.038,0.0,0.0,0.0,0.0
33,Jack George,PG,30.0,PHW,46.0,1387.0,11.0,0.399,0.0,0.303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6,1.6,1.1,0.038,0.0,0.0,0.0,0.0
34,Jack George,PG,30.0,NYK,25.0,494.0,10.9,0.425,0.0,0.295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.3,0.4,0.037,0.0,0.0,0.0,0.0
35,Tom Gola*,SG,26.0,PHW,64.0,2333.0,17.4,0.484,0.0,0.462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,3.6,7.4,0.153,0.0,0.0,0.0,0.0
36,Joe Graboski,PF,29.0,PHW,72.0,2482.0,13.9,0.415,0.0,0.323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,3.3,2.8,0.053,0.0,0.0,0.0,0.0
37,Si Green,PG,25.0,TOT,46.0,1109.0,11.5,0.408,0.0,0.386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3,0.7,0.4,0.017,0.0,0.0,0.0,0.0
38,Si Green,G-F,25.0,CIN,20.0,666.0,13.1,0.417,0.0,0.272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.02,0.0,0.0,0.0,0.0
39,Si Green,PG,25.0,STL,26.0,443.0,9.1,0.394,0.0,0.592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3,0.4,0.1,0.011,0.0,0.0,0.0,0.0
40,Hal Greer*,SG,22.0,SYR,68.0,1625.0,13.3,0.498,0.0,0.259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,1.3,4.5,0.132,0.0,0.0,0.0,0.0
41,Richie Guerin*,SG,26.0,NYK,71.0,2558.0,19.0,0.509,0.0,0.483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,1.7,8.4,0.158,0.0,0.0,0.0,0.0
42,Cliff Hagan*,SF,27.0,STL,72.0,2702.0,22.7,0.516,0.0,0.378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.8,11.7,0.209,0.0,0.0,0.0,0.0
43,Steve Hamilton,SF,24.0,MNL,67.0,847.0,9.6,0.427,0.0,0.371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.6,0.7,0.037,0.0,0.0,0.0,0.0
44,Vern Hatton,PG,23.0,TOT,64.0,1109.0,9.0,0.404,0.0,0.251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.7,0.3,0.011,0.0,0.0,0.0,0.0
45,Vern Hatton,G,23.0,CIN,22.0,657.0,5.2,0.362,0.0,0.246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8,0.2,-0.6,-0.046,0.0,0.0,0.0,0.0
46,Vern Hatton,PG,23.0,PHW,42.0,452.0,14.5,0.445,0.0,0.256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.6,0.9,0.095,0.0,0.0,0.0,0.0
47,Tom Heinsohn*,PF,24.0,BOS,66.0,2089.0,17.9,0.455,0.0,0.328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,4.1,6.5,0.15,0.0,0.0,0.0,0.0
48,Joe Holup,SF,24.0,DET,68.0,1502.0,10.4,0.427,0.0,0.345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.6,1.8,0.056,0.0,0.0,0.0,0.0
49,Bob Hopkins,PF,24.0,SYR,67.0,1518.0,14.4,0.468,0.0,0.383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,1.7,3.5,0.109,0.0,0.0,0.0,0.0
50,Hot Rod Hundley,PG,24.0,MNL,71.0,1664.0,12.8,0.418,0.0,0.303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.2,1.3,0.036,0.0,0.0,0.0,0.0
52,Andy Johnson,SF,26.0,PHW,67.0,1158.0,10.5,0.421,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,1.3,0.053,0.0,0.0,0.0,0.0
53,Neil Johnston*,C,29.0,PHW,28.0,393.0,15.6,0.437,0.0,0.537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.6,0.7,0.091,0.0,0.0,0.0,0.0
54,K.C. Jones*,PG,26.0,BOS,49.0,609.0,9.5,0.385,0.0,0.354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,1.1,0.8,0.06,0.0,0.0,0.0,0.0
55,Sam Jones*,SF,25.0,BOS,71.0,1466.0,18.0,0.482,0.0,0.279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,2.7,5.3,0.173,0.0,0.0,0.0,0.0
56,Phil Jordon,PF,25.0,DET,72.0,2058.0,16.8,0.468,0.0,0.313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,2.4,5.2,0.121,0.0,0.0,0.0,0.0
57,Tommy Kearns,G,22.0,SYR,1.0,7.0,8.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0
58,Red Kerr,C,26.0,SYR,72.0,2671.0,19.4,0.494,0.0,0.322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,3.6,8.7,0.157,0.0,0.0,0.0,0.0
59,Jim Krebs,C,23.0,MNL,72.0,1578.0,12.4,0.432,0.0,0.181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.2,1.5,0.044,0.0,0.0,0.0,0.0
60,Slick Leonard*,PG,26.0,MNL,58.0,1598.0,10.9,0.427,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,1.5,0.044,0.0,0.0,0.0,0.0
61,Earl Lloyd*,SF,30.0,DET,72.0,1796.0,9.7,0.403,0.0,0.272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8,2.1,1.3,0.034,0.0,0.0,0.0,0.0
62,Jim Loscutoff,SF,28.0,BOS,66.0,1680.0,7.2,0.378,0.0,0.122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9,2.7,0.9,0.025,0.0,0.0,0.0,0.0
63,Clyde Lovellette*,C,29.0,STL,70.0,1599.0,22.3,0.507,0.0,0.282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7,1.8,6.5,0.194,0.0,0.0,0.0,0.0
64,Ed Macauley*,C,30.0,STL,14.0,196.0,7.6,0.36,0.0,0.467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3,0.2,-0.2,-0.041,0.0,0.0,0.0,0.0
65,Tom Marshall,SF,28.0,CIN,18.0,272.0,7.7,0.349,0.0,0.367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3,0.1,-0.3,-0.044,0.0,0.0,0.0,0.0
66,Slater Martin*,PG,33.0,STL,71.0,2504.0,9.3,0.42,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,2.0,2.4,0.046,0.0,0.0,0.0,0.0
67,Brendan McCann,PG,23.0,NYK,1.0,7.0,-9.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,-0.1,-0.447,0.0,0.0,0.0,0.0
68,Johnny McCarthy,PG,24.0,CIN,47.0,1827.0,10.5,0.413,0.0,0.265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.6,0.5,0.014,0.0,0.0,0.0,0.0
69,Dick McGuire*,PG,33.0,DET,71.0,2063.0,16.5,0.499,0.0,0.475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,3.1,6.9,0.16,0.0,0.0,0.0,0.0
70,Jack McMahon,SG,30.0,STL,72.0,2235.0,7.5,0.389,0.0,0.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.6,0.6,0.013,0.0,0.0,0.0,0.0
71,Shellie McMillon,PF,22.0,DET,48.0,700.0,16.1,0.462,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,1.0,1.7,0.119,0.0,0.0,0.0,0.0
73,Vern Mikkelsen*,PF,30.0,MNL,72.0,2139.0,15.9,0.468,0.0,0.393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,1.6,4.5,0.102,0.0,0.0,0.0,0.0
74,Willie Naulls,SF,24.0,NYK,68.0,2061.0,16.5,0.442,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1.4,2.6,0.061,0.0,0.0,0.0,0.0
75,Chuck Noble,SG,27.0,DET,65.0,939.0,10.6,0.378,0.0,0.202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5,1.0,-0.5,-0.024,0.0,0.0,0.0,0.0
