,Tm,W,L,W/L%,GB,PS/G,PA/G,SRS
0,Orlando Magic,60.0,22.0,0.732,—,104.5,99.0,5.4
1,New York Knicks,47.0,35.0,0.573,13.0,97.2,94.9,2.24
2,Miami Heat,42.0,40.0,0.512,18.0,96.5,95.0,1.46
3,Washington Bullets,39.0,43.0,0.476,21.0,102.5,101.5,0.99
4,Boston Celtics,33.0,49.0,0.402,27.0,103.6,107.0,-3.37
5,New Jersey Nets,30.0,52.0,0.366,30.0,93.7,97.9,-4.14
6,Philadelphia 76ers,18.0,64.0,0.22,42.0,94.5,104.5,-9.45
7,Chicago Bulls,72.0,10.0,0.878,—,105.2,92.9,11.8
8,Indiana Pacers,52.0,30.0,0.634,20.0,99.3,96.1,3.11
9,Cleveland Cavaliers,47.0,35.0,0.573,25.0,91.1,88.5,2.49
10,Atlanta Hawks,46.0,36.0,0.561,26.0,98.3,97.1,1.29
11,Detroit Pistons,46.0,36.0,0.561,26.0,95.4,92.9,2.45
12,Charlotte Hornets,41.0,41.0,0.5,31.0,102.8,103.4,-0.48
13,Milwaukee Bucks,25.0,57.0,0.305,47.0,95.6,100.9,-4.92
14,Toronto Raptors,21.0,61.0,0.256,51.0,97.5,105.0,-7.2
15,San Antonio Spurs,59.0,23.0,0.72,—,103.4,97.1,5.98
16,Utah Jazz,55.0,27.0,0.671,4.0,102.5,95.9,6.25
17,Houston Rockets,48.0,34.0,0.585,11.0,102.5,100.7,1.63
18,Denver Nuggets,35.0,47.0,0.427,24.0,97.7,100.4,-2.62
19,Minnesota Timberwolves,26.0,56.0,0.317,33.0,97.9,103.2,-5.14
20,Dallas Mavericks,26.0,56.0,0.317,33.0,102.5,107.5,-4.71
21,Vancouver Grizzlies,15.0,67.0,0.183,44.0,89.8,99.8,-9.55
22,Seattle SuperSonics,64.0,18.0,0.78,—,104.5,96.7,7.4
23,Los Angeles Lakers,53.0,29.0,0.646,11.0,102.9,98.5,4.21
24,Portland Trail Blazers,44.0,38.0,0.537,20.0,99.3,97.0,2.21
25,Phoenix Suns,41.0,41.0,0.5,23.0,104.3,104.0,0.28
26,Sacramento Kings,39.0,43.0,0.476,25.0,99.5,102.3,-2.62
27,Golden State Warriors,36.0,46.0,0.439,28.0,101.6,103.1,-1.42
28,Los Angeles Clippers,29.0,53.0,0.354,35.0,99.4,103.0,-3.46
