,2P,2P%,2PA,3P,3P%,3PA,AST,Age,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,G,GS,MP,ORB,PF,PTS,Player,Pos,STL,TOV,TRB,Tm,Unnamed: 0,Yr,eFG%,Seasons
2232,4176.0,6.241,8742.0,31.0,1.685,100.0,955.0,375.0,1327.0,3747.0,4207.0,6.219000000000001,8842.0,2531.0,9.889000000000001,3243.0,843.0,724.0,22965.0,2444.0,2776.0,10976.0,Zydrunas Ilgauskas,N/A,421.0,1509.0,6191.0,N/A,3235.0,26063.0,6.245,13
2233,2189.0,6.226999999999999,4934.0,770.0,4.829,2173.0,2084.0,422.0,73.0,1872.0,2959.0,5.8069999999999995,7107.0,1209.0,11.085,1525.0,827.0,148.0,18179.0,656.0,1468.0,7897.0,Bobby Jackson,N/A,749.0,1073.0,2528.0,N/A,3478.0,28058.0,6.573999999999999,12
2234,1719.0,8.83,4030.0,402.0,6.733,1115.0,2887.0,609.0,114.0,1323.0,2121.0,8.537,5145.0,814.0,15.661,1092.0,1038.0,324.0,19532.0,368.0,1643.0,5458.0,Anthony Johnson,N/A,692.0,1092.0,1691.0,N/A,5505.0,42084.0,9.229999999999999,13
2235,13.0,0.382,34.0,6.0,0.261,23.0,5.0,22.0,3.0,6.0,19.0,0.33299999999999996,57.0,0.0,0.0,0.0,15.0,0.0,91.0,3.0,12.0,44.0,Dontae' Jones,N/A,2.0,11.0,9.0,N/A,246.0,1998.0,0.386,1
2236,2244.0,6.739999999999999,5377.0,19.0,2.1199999999999997,137.0,4996.0,464.0,92.0,1746.0,2263.0,6.629,5514.0,1391.0,12.403,1763.0,838.0,479.0,20670.0,319.0,2118.0,5936.0,Brevin Knight,N/A,1414.0,1530.0,2065.0,N/A,4823.0,34056.0,6.66,12
2237,133.0,1.7229999999999999,327.0,54.0,2.0700000000000003,170.0,152.0,133.0,11.0,104.0,187.0,1.8439999999999999,497.0,58.0,3.6959999999999997,69.0,98.0,7.0,1565.0,22.0,147.0,486.0,Rusty LaRue,N/A,62.0,94.0,126.0,N/A,1395.0,10003.0,2.191,5
2238,9.0,0.6,15.0,0.0,0.0,0.0,5.0,23.0,4.0,19.0,9.0,0.6,15.0,8.0,0.8,10.0,17.0,0.0,80.0,8.0,14.0,26.0,Jason Lawson,N/A,4.0,2.0,27.0,N/A,271.0,1998.0,0.6,1
2239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,1.0,0.0,Michael McDonald,N/A,0.0,2.0,1.0,N/A,304.0,1998.0,0.0,1
2240,5703.0,7.608,12386.0,1097.0,5.715999999999999,3262.0,4260.0,435.0,821.0,4048.0,6800.0,7.2170000000000005,15648.0,3929.0,12.468000000000002,5265.0,968.0,727.0,31331.0,1322.0,1701.0,18626.0,Tracy McGrady*,N/A,1151.0,2073.0,5370.0,N/A,5825.0,34095.0,7.763999999999999,15
2241,3168.0,5.108999999999999,7317.0,93.0,2.5380000000000003,350.0,1207.0,292.0,149.0,1273.0,3261.0,5.015000000000001,7667.0,1160.0,9.664,1443.0,553.0,387.0,17511.0,497.0,1140.0,7775.0,Ron Mercer,N/A,563.0,922.0,1770.0,N/A,3856.0,24016.0,5.083,8
2242,44.0,1.042,77.0,3.0,0.5,7.0,14.0,41.0,1.0,17.0,47.0,1.009,84.0,11.0,0.647,17.0,44.0,0.0,216.0,13.0,24.0,108.0,Marko Milic,N/A,13.0,27.0,30.0,N/A,626.0,3997.0,1.033,2
2243,5.0,0.278,18.0,0.0,0.0,0.0,3.0,24.0,0.0,10.0,5.0,0.278,18.0,8.0,0.889,9.0,13.0,0.0,48.0,4.0,7.0,18.0,Jeff Nordgaard,N/A,2.0,3.0,14.0,N/A,340.0,1998.0,0.278,1
2244,50.0,0.83,121.0,0.0,0.0,4.0,29.0,45.0,4.0,35.0,50.0,0.806,125.0,20.0,1.8,23.0,48.0,1.0,399.0,32.0,37.0,120.0,Charles O'Bannon,N/A,11.0,17.0,67.0,N/A,683.0,3997.0,0.806,2
2245,1285.0,8.55,3117.0,13.0,3.976,41.0,2297.0,679.0,34.0,1304.0,1298.0,8.514000000000001,3158.0,1235.0,17.468,1577.0,938.0,126.0,15344.0,221.0,1150.0,3844.0,Kevin Ollie,N/A,512.0,766.0,1525.0,N/A,8519.0,46058.0,8.541000000000002,13
2246,1065.0,4.787,2270.0,596.0,2.8160000000000003,1474.0,1129.0,270.0,85.0,1333.0,1661.0,4.463,3744.0,560.0,6.055,705.0,494.0,423.0,13752.0,241.0,792.0,4478.0,Anthony Parker,N/A,439.0,495.0,1574.0,N/A,3613.0,18054.0,5.0360000000000005,9
2247,858.0,5.3340000000000005,1736.0,0.0,0.0,2.0,220.0,297.0,352.0,1450.0,858.0,5.331,1738.0,506.0,7.475,714.0,506.0,99.0,8372.0,901.0,1178.0,2222.0,Scot Pollard,N/A,299.0,304.0,2351.0,N/A,4422.0,22033.0,5.331,11
2248,106.0,2.476,233.0,10.0,0.701,56.0,63.0,171.0,45.0,169.0,116.0,2.1500000000000004,289.0,43.0,1.741,75.0,153.0,57.0,1634.0,92.0,242.0,285.0,Mark Pope,N/A,32.0,47.0,261.0,N/A,2433.0,12009.0,2.202,6
2249,134.0,1.157,390.0,4.0,0.536,22.0,132.0,125.0,14.0,58.0,138.0,1.117,412.0,143.0,2.6689999999999996,230.0,85.0,15.0,1390.0,47.0,167.0,423.0,Rodrick Rhodes,N/A,74.0,139.0,105.0,N/A,1980.0,9995.0,1.141,3
2250,1.0,0.2,5.0,0.0,0.0,3.0,0.0,22.0,0.0,1.0,1.0,0.125,8.0,2.0,0.5,4.0,4.0,0.0,9.0,3.0,1.0,4.0,Shea Seals,N/A,1.0,0.0,4.0,N/A,431.0,1998.0,0.125,1
2251,19.0,0.33899999999999997,56.0,0.0,0.0,2.0,36.0,21.0,1.0,5.0,19.0,0.32799999999999996,58.0,23.0,0.767,30.0,20.0,0.0,146.0,2.0,27.0,61.0,God Shammgod,N/A,7.0,21.0,7.0,N/A,436.0,1998.0,0.32799999999999996,1
2252,12.0,0.462,26.0,0.0,0.0,0.0,2.0,24.0,2.0,22.0,12.0,0.462,26.0,16.0,0.64,25.0,15.0,0.0,110.0,9.0,13.0,40.0,Kebu Stewart,N/A,5.0,8.0,31.0,N/A,467.0,1998.0,0.462,1
2253,251.0,4.092,568.0,0.0,0.0,0.0,88.0,260.0,288.0,579.0,251.0,4.092,568.0,134.0,6.203,255.0,311.0,45.0,3450.0,357.0,591.0,636.0,Michael Stewart,N/A,58.0,145.0,936.0,N/A,4721.0,20020.0,4.092,8
2254,1.0,0.33299999999999996,3.0,0.0,0.0,0.0,1.0,26.0,2.0,3.0,1.0,0.33299999999999996,3.0,1.0,0.5,2.0,4.0,0.0,17.0,1.0,4.0,3.0,Ed Stokes,N/A,1.0,2.0,4.0,N/A,471.0,1998.0,0.33299999999999996,1
2255,76.0,1.4460000000000002,191.0,29.0,2.882,72.0,27.0,122.0,21.0,88.0,105.0,1.5390000000000001,263.0,28.0,1.427,39.0,60.0,9.0,900.0,38.0,129.0,267.0,Johnny Taylor,N/A,33.0,46.0,126.0,N/A,2315.0,9997.0,1.696,3
2256,2666.0,4.958,5702.0,8.0,1.0,42.0,690.0,286.0,279.0,1851.0,2674.0,4.9399999999999995,5744.0,1005.0,7.478000000000001,1427.0,599.0,243.0,14660.0,858.0,1783.0,6361.0,Maurice Taylor,N/A,273.0,1067.0,2709.0,N/A,5382.0,22033.0,4.949,9
2257,284.0,4.952,570.0,0.0,0.0,2.0,79.0,262.0,64.0,301.0,284.0,4.943,572.0,158.0,5.301,251.0,278.0,29.0,2915.0,257.0,498.0,726.0,John Thomas,N/A,94.0,161.0,558.0,N/A,4958.0,20022.0,4.943,5
2258,3075.0,10.288,6543.0,1180.0,7.9110000000000005,3171.0,1530.0,581.0,350.0,3173.0,4255.0,9.552999999999999,9714.0,1937.0,15.59,2572.0,1033.0,515.0,26150.0,984.0,2786.0,11627.0,Tim Thomas,N/A,746.0,1482.0,4157.0,N/A,11134.0,44097.0,10.903,13
2259,3319.0,6.099999999999999,7096.0,744.0,4.812,2030.0,1095.0,348.0,349.0,3344.0,4063.0,5.811,9126.0,2194.0,10.877,2624.0,709.0,541.0,21992.0,1360.0,2121.0,11064.0,Keith Van Horn,N/A,576.0,1512.0,4704.0,N/A,6690.0,26036.0,6.379999999999999,9
2260,1205.0,5.042000000000001,2758.0,95.0,4.550999999999999,270.0,1919.0,330.0,15.0,880.0,1300.0,4.94,3028.0,768.0,9.418,986.0,776.0,123.0,12658.0,148.0,1267.0,3463.0,Jacque Vaughn,N/A,403.0,792.0,1028.0,N/A,6128.0,24042.0,5.117999999999999,12
2261,193.0,0.849,448.0,81.0,0.702,234.0,108.0,47.0,43.0,134.0,274.0,0.8009999999999999,682.0,87.0,1.4709999999999999,115.0,104.0,42.0,2300.0,82.0,230.0,716.0,Eric Washington,N/A,78.0,106.0,216.0,N/A,1010.0,3997.0,0.9450000000000001,2
2262,47.0,0.42700000000000005,110.0,1.0,0.16699999999999998,6.0,34.0,23.0,4.0,46.0,48.0,0.414,116.0,31.0,0.721,43.0,39.0,2.0,395.0,22.0,40.0,128.0,Bubba Wells,N/A,15.0,31.0,68.0,N/A,529.0,1998.0,0.418,1
2263,63.0,0.7469999999999999,166.0,30.0,0.8380000000000001,77.0,127.0,49.0,3.0,42.0,93.0,0.778,243.0,49.0,1.327,70.0,80.0,0.0,740.0,14.0,71.0,265.0,DeJuan Wheat,N/A,32.0,57.0,56.0,N/A,1030.0,3997.0,0.915,2
2264,1572.0,3.898,3540.0,217.0,2.9850000000000003,692.0,1980.0,291.0,112.0,945.0,1789.0,3.7510000000000003,4232.0,690.0,7.7219999999999995,912.0,514.0,347.0,13681.0,276.0,976.0,4485.0,Alvin Williams,N/A,587.0,681.0,1221.0,N/A,5808.0,22016.0,3.967,9
2265,14.0,0.484,47.0,3.0,0.33299999999999996,10.0,3.0,72.0,3.0,11.0,17.0,0.463,57.0,4.0,1.0,8.0,18.0,2.0,163.0,7.0,22.0,41.0,Brandon Williams,N/A,8.0,12.0,18.0,N/A,1528.0,6000.0,0.493,3
2266,62.0,0.937,131.0,0.0,0.0,1.0,22.0,57.0,6.0,52.0,62.0,0.933,132.0,27.0,1.272,50.0,47.0,0.0,427.0,59.0,65.0,151.0,Travis Williams,N/A,20.0,36.0,111.0,N/A,1072.0,3997.0,0.933,2
2267,1.0,0.5,2.0,0.0,0.0,0.0,0.0,25.0,1.0,1.0,1.0,0.5,2.0,0.0,0.0,0.0,2.0,0.0,5.0,1.0,4.0,2.0,Peter Aluma,N/A,1.0,2.0,2.0,N/A,4.0,1999.0,0.5,1
2268,89.0,0.8380000000000001,211.0,3.0,0.4,15.0,43.0,47.0,6.0,76.0,92.0,0.8089999999999999,226.0,54.0,1.3840000000000001,78.0,73.0,12.0,698.0,50.0,79.0,241.0,Toby Bailey,N/A,22.0,35.0,126.0,N/A,41.0,3999.0,0.8220000000000001,2
2269,0.0,0.0,1.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,LaMark Baker,N/A,0.0,1.0,0.0,N/A,21.0,1999.0,0.0,1
2270,260.0,1.627,615.0,57.0,0.975,197.0,143.0,87.0,48.0,175.0,317.0,1.473,812.0,144.0,2.6980000000000004,221.0,153.0,16.0,2191.0,84.0,316.0,835.0,Corey Benjamin,N/A,71.0,164.0,259.0,N/A,133.0,8003.0,1.59,4
2271,4143.0,8.061,8996.0,1763.0,6.792,4595.0,6072.0,525.0,162.0,2896.0,5906.0,7.758999999999999,13591.0,2478.0,13.828000000000001,3105.0,1129.0,1062.0,37820.0,562.0,2203.0,16053.0,Mike Bibby,N/A,1276.0,2354.0,3458.0,N/A,949.0,38126.0,9.112000000000002,14
2272,1995.0,8.681,4563.0,490.0,5.564,1381.0,2464.0,517.0,37.0,716.0,2485.0,8.193,5944.0,1495.0,14.126999999999999,1704.0,766.0,57.0,15477.0,343.0,794.0,6955.0,Earl Boykins,N/A,464.0,913.0,1059.0,N/A,1125.0,38080.0,8.818000000000001,13
2273,30.0,0.38,79.0,3.0,0.3,10.0,31.0,23.0,1.0,17.0,33.0,0.371,89.0,11.0,0.7859999999999999,14.0,33.0,0.0,236.0,5.0,21.0,80.0,Gerald Brown,N/A,5.0,22.0,22.0,N/A,57.0,1999.0,0.38799999999999996,1
2274,66.0,0.355,186.0,5.0,0.16699999999999998,30.0,66.0,23.0,7.0,41.0,71.0,0.32899999999999996,216.0,24.0,0.75,32.0,42.0,7.0,624.0,8.0,66.0,171.0,Cory Carr,N/A,21.0,46.0,49.0,N/A,78.0,1999.0,0.34,1
2275,7840.0,11.93,16953.0,2523.0,9.459999999999997,6774.0,5183.0,839.0,955.0,5451.0,10363.0,11.090000000000002,23727.0,5347.0,20.444000000000003,6715.0,1680.0,1122.0,51119.0,1814.0,4419.0,28596.0,Vince Carter,N/A,1702.0,2845.0,7265.0,N/A,2520.0,50221.0,12.701,22
2276,1427.0,3.7540000000000004,2858.0,1.0,0.125,20.0,394.0,203.0,725.0,1739.0,1428.0,3.7299999999999995,2878.0,665.0,4.3629999999999995,1051.0,434.0,68.0,9691.0,791.0,1257.0,3522.0,Keon Clark,N/A,216.0,560.0,2530.0,N/A,762.0,16011.0,3.731,6
