,Tm,W,L,W/L%,GB,PS/G,PA/G,SRS
0,Milwaukee Bucks,46.0,8.0,0.852,—,119.6,107.5,10.85
1,Toronto Raptors,40.0,15.0,0.727,6.5,112.9,106.6,5.65
2,Boston Celtics,37.0,16.0,0.698,8.5,112.6,105.7,5.9
3,Miami Heat,35.0,19.0,0.648,11.0,111.7,108.4,2.97
4,Philadelphia 76ers,34.0,21.0,0.618,12.5,108.6,106.2,2.65
5,Indiana Pacers,32.0,23.0,0.582,14.5,109.7,107.6,1.76
6,Brooklyn Nets,25.0,28.0,0.472,20.5,110.5,111.0,-0.92
7,Orlando Magic,24.0,31.0,0.436,22.5,103.9,105.4,-1.22
8,Washington Wizards,20.0,33.0,0.377,25.5,115.6,119.8,-4.82
9,Chicago Bulls,19.0,36.0,0.345,27.5,106.4,109.5,-3.62
10,Detroit Pistons,19.0,38.0,0.333,28.5,108.0,110.6,-3.66
11,Charlotte Hornets,18.0,36.0,0.333,28.0,102.9,110.2,-7.53
12,New York Knicks,17.0,38.0,0.309,29.5,104.8,111.7,-6.9
13,Atlanta Hawks,15.0,41.0,0.268,32.0,110.2,118.9,-7.94
14,Cleveland Cavaliers,14.0,40.0,0.259,32.0,106.1,115.0,-8.66
15,Los Angeles Lakers,41.0,12.0,0.774,—,114.7,107.3,7.56
16,Denver Nuggets,38.0,17.0,0.691,4.0,110.4,106.7,3.79
17,Los Angeles Clippers,37.0,17.0,0.685,4.5,115.6,109.7,5.91
18,Utah Jazz,36.0,18.0,0.667,5.5,111.3,107.2,4.15
19,Houston Rockets,34.0,20.0,0.63,7.5,118.2,114.5,4.08
20,Dallas Mavericks,33.0,22.0,0.6,9.0,116.4,110.5,5.96
21,Oklahoma City Thunder,32.0,22.0,0.593,9.5,110.4,107.9,2.76
22,Memphis Grizzlies,28.0,26.0,0.519,13.5,113.0,114.4,-1.56
23,Portland Trail Blazers,25.0,31.0,0.446,17.5,113.4,115.3,-1.01
24,New Orleans Pelicans,23.0,31.0,0.426,18.5,115.7,117.2,-0.11
25,San Antonio Spurs,23.0,31.0,0.426,18.5,113.2,114.5,-0.77
26,Phoenix Suns,22.0,33.0,0.4,20.0,112.4,113.6,-1.09
27,Sacramento Kings,21.0,33.0,0.389,20.5,107.9,110.8,-2.16
28,Minnesota Timberwolves,16.0,37.0,0.302,25.0,112.4,115.9,-3.36
29,Golden State Warriors,12.0,43.0,0.218,30.0,106.3,114.7,-7.9
