,Tm,W,L,W/L%,GB,PS/G,PA/G,SRS
0,Boston Celtics,61.0,21.0,0.744,—,113.5,105.7,7.37
1,Philadelphia 76ers,59.0,23.0,0.72,2.0,109.1,104.9,4.04
2,Washington Bullets,39.0,43.0,0.476,22.0,107.0,109.5,-2.27
3,New York Knicks,39.0,43.0,0.476,22.0,114.0,115.1,-0.96
4,New Jersey Nets,34.0,48.0,0.415,27.0,108.3,109.5,-0.98
5,Atlanta Hawks,50.0,32.0,0.61,—,104.5,101.6,2.83
6,Houston Rockets,41.0,41.0,0.5,9.0,110.8,110.6,0.27
7,San Antonio Spurs,41.0,41.0,0.5,9.0,119.4,119.7,-0.24
8,Indiana Pacers,37.0,45.0,0.451,13.0,111.2,111.9,-0.54
9,Cleveland Cavaliers,37.0,45.0,0.451,13.0,114.1,113.8,0.43
10,Detroit Pistons,16.0,66.0,0.195,34.0,108.9,117.2,-7.57
11,Milwaukee Bucks,49.0,33.0,0.598,—,110.1,106.1,3.57
12,Kansas City Kings,47.0,35.0,0.573,2.0,108.0,104.9,2.82
13,Denver Nuggets,30.0,52.0,0.366,19.0,108.3,112.7,-4.22
14,Chicago Bulls,30.0,52.0,0.366,19.0,107.5,110.2,-2.63
15,Utah Jazz,24.0,58.0,0.293,25.0,102.4,108.4,-5.71
16,Los Angeles Lakers,60.0,22.0,0.732,—,115.1,109.2,5.4
17,Seattle SuperSonics,56.0,26.0,0.683,4.0,108.5,103.8,4.24
18,Phoenix Suns,55.0,27.0,0.671,5.0,111.1,107.5,3.25
19,Portland Trail Blazers,38.0,44.0,0.463,22.0,102.5,103.3,-0.87
20,San Diego Clippers,35.0,47.0,0.427,25.0,107.6,111.7,-3.97
21,Golden State Warriors,24.0,58.0,0.293,36.0,103.6,108.0,-4.2
