,Tm,W,L,W/L%,GB,PS/G,PA/G,SRS
0,Toronto Raptors,47.0,35.0,0.573,—,99.5,98.5,0.61
1,New Jersey Nets,41.0,41.0,0.5,6.0,97.6,98.3,-1.0
2,Philadelphia 76ers,35.0,47.0,0.427,12.0,94.9,98.0,-3.26
3,New York Knicks,33.0,49.0,0.402,14.0,97.5,100.3,-3.06
4,Boston Celtics,24.0,58.0,0.293,23.0,95.8,99.2,-3.7
5,Detroit Pistons,53.0,29.0,0.646,—,96.0,91.8,3.69
6,Cleveland Cavaliers,50.0,32.0,0.61,3.0,96.8,92.9,3.33
7,Chicago Bulls,49.0,33.0,0.598,4.0,98.8,93.8,4.52
8,Indiana Pacers,35.0,47.0,0.427,18.0,95.6,98.0,-2.62
9,Milwaukee Bucks,28.0,54.0,0.341,25.0,99.7,104.0,-4.43
10,Miami Heat,44.0,38.0,0.537,—,94.6,95.5,-1.21
11,Washington Wizards,41.0,41.0,0.5,3.0,104.3,104.9,-0.8
12,Orlando Magic,40.0,42.0,0.488,4.0,94.8,94.0,0.35
13,Charlotte Bobcats,33.0,49.0,0.402,11.0,96.9,100.6,-3.97
14,Atlanta Hawks,30.0,52.0,0.366,14.0,93.7,98.4,-4.86
15,Utah Jazz,51.0,31.0,0.622,—,101.5,98.6,3.06
16,Denver Nuggets,45.0,37.0,0.549,6.0,105.4,103.7,1.69
17,Portland Trail Blazers,32.0,50.0,0.39,19.0,94.1,98.4,-3.78
18,Minnesota Timberwolves,32.0,50.0,0.39,19.0,96.1,99.7,-3.16
19,Seattle SuperSonics,31.0,51.0,0.378,20.0,99.1,102.0,-2.45
20,Phoenix Suns,61.0,21.0,0.744,—,110.2,102.9,7.28
21,Los Angeles Lakers,42.0,40.0,0.512,19.0,103.3,103.4,0.24
22,Golden State Warriors,42.0,40.0,0.512,19.0,106.5,106.9,0.0
23,Los Angeles Clippers,40.0,42.0,0.488,21.0,95.6,96.1,-0.07
24,Sacramento Kings,33.0,49.0,0.402,28.0,101.3,103.1,-1.35
25,Dallas Mavericks,67.0,15.0,0.817,—,100.0,92.8,7.28
26,San Antonio Spurs,58.0,24.0,0.707,9.0,98.5,90.1,8.35
27,Houston Rockets,52.0,30.0,0.634,15.0,97.0,92.1,5.04
28,New Orleans,39.0,43.0,0.476,28.0,95.5,97.1,-1.19
29,Memphis Grizzlies,22.0,60.0,0.268,45.0,101.6,106.7,-4.44
