,Tm,W,L,W/L%,GB,PS/G,PA/G,SRS
0,Boston Celtics,68.0,14.0,0.829,—,112.7,104.5,7.35
1,New York Knicks,57.0,25.0,0.695,11.0,105.0,98.2,6.07
2,Buffalo Braves,21.0,61.0,0.256,47.0,103.3,112.5,-8.85
3,Philadelphia 76ers,9.0,73.0,0.11,59.0,104.1,116.2,-11.5
4,Baltimore Bullets,52.0,30.0,0.634,—,105.0,101.6,2.85
5,Atlanta Hawks,46.0,36.0,0.561,6.0,112.4,112.3,-0.15
6,Houston Rockets,33.0,49.0,0.402,19.0,112.8,114.5,-1.81
7,Cleveland Cavaliers,32.0,50.0,0.39,20.0,102.7,105.3,-2.64
8,Milwaukee Bucks,60.0,22.0,0.732,—,107.2,99.0,7.84
9,Chicago Bulls,51.0,31.0,0.622,9.0,104.1,100.6,3.43
10,Detroit Pistons,40.0,42.0,0.488,20.0,110.3,110.0,0.54
11,Kansas City,36.0,46.0,0.439,24.0,107.6,110.5,-2.36
12,Los Angeles Lakers,60.0,22.0,0.732,—,111.7,103.2,8.16
13,Golden State Warriors,47.0,35.0,0.573,13.0,108.8,105.7,3.12
14,Phoenix Suns,38.0,44.0,0.463,22.0,111.6,112.9,-0.96
15,Seattle SuperSonics,26.0,56.0,0.317,34.0,103.7,109.6,-5.33
16,Portland Trail Blazers,21.0,61.0,0.256,39.0,106.2,112.4,-5.67
