,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Jeff Adrien,PF,25.0,HOU,8.0,0.0,63.0,4.0,9.1,0.438,0.0,0.0,0.0,4.0,9.1,0.438,4.0,6.9,0.583,2.9,9.7,12.6,0.6,0.0,1.1,1.1,7.4,12.0
1,Arron Afflalo,SG,26.0,DEN,62.0,62.0,2086.0,5.7,12.1,0.471,1.5,3.8,0.398,4.2,8.2,0.504,3.4,4.3,0.798,0.7,2.7,3.4,2.6,0.6,0.2,1.5,2.3,16.3
2,Blake Ahearn,PG,27.0,UTA,4.0,0.0,30.0,4.8,16.8,0.286,2.4,10.8,0.222,2.4,6.0,0.4,0.0,0.0,0.0,0.0,2.4,2.4,1.2,0.0,0.0,6.0,4.8,12.0
3,Solomon Alabi,C,23.0,TOR,14.0,0.0,122.0,3.8,10.6,0.361,0.0,0.0,0.0,3.8,10.6,0.361,2.1,2.4,0.875,4.4,9.4,13.9,0.9,0.6,2.7,1.5,3.2,9.7
4,Cole Aldrich,C,23.0,OKC,26.0,0.0,173.0,4.6,8.7,0.524,0.0,0.0,0.0,4.6,8.7,0.524,2.7,2.9,0.929,2.7,7.3,10.0,0.6,1.7,3.3,1.9,4.6,11.9
5,LaMarcus Aldridge,PF,26.0,POR,55.0,55.0,1994.0,8.7,17.0,0.512,0.0,0.2,0.182,8.7,16.8,0.516,4.0,4.9,0.814,2.7,5.3,8.0,2.4,0.9,0.8,2.0,2.8,21.5
6,Lavoy Allen,PF,22.0,PHI,41.0,15.0,624.0,4.6,9.6,0.473,0.0,0.0,0.0,4.6,9.6,0.473,0.6,0.8,0.786,2.7,7.2,9.9,2.0,0.7,1.0,1.2,4.2,9.7
7,Ray Allen*,SG,36.0,BOS,46.0,42.0,1565.0,5.2,11.3,0.458,2.4,5.4,0.453,2.8,6.0,0.463,2.2,2.4,0.915,0.3,2.9,3.3,2.5,1.1,0.2,1.6,1.9,15.1
8,Tony Allen,SG,30.0,MEM,58.0,57.0,1525.0,5.0,10.6,0.469,0.2,0.6,0.308,4.8,10.0,0.479,3.3,4.1,0.8,2.3,3.2,5.5,1.9,2.5,0.8,2.2,3.4,13.4
9,Morris Almond,SG,26.0,WAS,4.0,0.0,67.0,3.2,9.1,0.353,0.5,1.6,0.333,2.7,7.5,0.357,0.5,1.6,0.333,0.5,3.8,4.3,1.1,3.8,0.0,0.5,3.2,7.5
10,Al-Farouq Aminu,SF,21.0,NOH,66.0,21.0,1477.0,3.7,8.9,0.411,0.3,1.1,0.277,3.3,7.8,0.431,2.1,2.8,0.754,2.3,5.2,7.5,1.6,1.4,0.8,2.2,3.3,9.7
11,Lou Amundson,PF,29.0,IND,60.0,0.0,753.0,4.3,9.9,0.43,0.0,0.0,0.0,4.3,9.9,0.43,1.7,3.9,0.427,4.5,6.1,10.6,0.7,1.3,2.1,2.2,6.0,10.2
12,Chris Andersen,C,33.0,DEN,32.0,1.0,486.0,4.4,8.0,0.546,0.0,0.0,0.0,4.4,8.0,0.546,3.7,6.1,0.61,3.6,7.4,11.0,0.4,1.4,3.4,1.3,3.9,12.4
13,Alan Anderson,SF,29.0,TOR,17.0,12.0,461.0,4.3,11.1,0.387,1.9,4.8,0.393,2.4,6.3,0.383,2.3,2.7,0.853,0.6,2.0,2.7,2.0,0.4,0.2,2.0,2.7,12.7
14,James Anderson,SG,22.0,SAS,51.0,2.0,603.0,3.9,10.4,0.379,1.1,4.1,0.279,2.8,6.3,0.443,2.3,3.1,0.75,1.0,3.8,4.7,2.4,0.5,0.1,1.8,2.1,11.3
15,Ryan Anderson,PF,23.0,ORL,61.0,61.0,1964.0,6.1,13.9,0.439,3.0,7.7,0.393,3.0,6.1,0.496,2.7,3.1,0.877,4.1,4.5,8.6,1.0,0.9,0.5,1.0,2.7,18.0
16,Carmelo Anthony,SF,27.0,NYK,55.0,55.0,1876.0,8.5,19.7,0.43,1.3,3.9,0.335,7.2,15.8,0.454,5.7,7.0,0.804,1.7,4.9,6.6,3.8,1.2,0.5,2.8,3.0,23.9
17,Joel Anthony,C,29.0,MIA,64.0,51.0,1349.0,2.3,4.1,0.559,0.0,0.0,0.0,2.3,4.1,0.559,1.3,1.9,0.69,2.7,4.0,6.7,0.2,1.0,2.2,1.2,3.4,5.8
18,Gilbert Arenas,PG,30.0,MEM,17.0,0.0,211.0,4.4,10.9,0.406,2.2,6.7,0.333,2.2,4.3,0.52,1.2,1.7,0.7,0.3,2.7,3.1,3.1,1.9,0.2,2.0,6.0,12.3
19,Trevor Ariza,SF,26.0,NOH,41.0,41.0,1350.0,4.5,10.7,0.417,0.8,2.3,0.333,3.7,8.4,0.44,2.1,2.7,0.775,1.1,4.6,5.7,3.6,1.8,0.7,2.0,1.9,11.8
21,Omer Asik,C,25.0,CHI,66.0,2.0,971.0,2.9,5.8,0.506,0.0,0.0,0.0,2.9,5.8,0.506,1.7,3.8,0.456,4.7,8.3,13.0,1.2,1.1,2.5,2.5,4.5,7.6
22,D.J. Augustin,PG,24.0,CHA,48.0,46.0,1408.0,4.7,12.5,0.376,1.6,4.6,0.341,3.1,7.9,0.396,2.7,3.1,0.875,0.6,2.2,2.8,7.8,0.9,0.0,2.8,1.7,13.6
23,Gustavo Ayon,PF,26.0,NOH,54.0,24.0,1088.0,4.6,8.6,0.536,0.0,0.0,0.0,4.6,8.6,0.538,1.3,2.1,0.619,2.8,5.9,8.8,2.4,1.8,1.5,1.5,3.9,10.6
24,Jeff Ayres,C,24.0,IND,20.0,1.0,106.0,5.1,12.2,0.417,0.0,0.0,0.0,5.1,12.2,0.417,1.4,2.4,0.571,4.1,7.1,11.2,1.4,1.0,0.7,0.7,5.4,11.5
25,Kelenna Azubuike,SG,28.0,DAL,3.0,0.0,18.0,6.0,16.0,0.375,2.0,6.0,0.333,4.0,10.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,8.0,2.0,14.0
26,Luke Babbitt,SF,22.0,POR,40.0,4.0,537.0,4.8,11.6,0.41,2.9,6.7,0.43,1.9,4.9,0.384,1.1,1.3,0.85,1.1,5.3,6.4,1.1,0.7,0.3,1.8,3.1,13.5
27,Renaldo Balkman,SF,27.0,NYK,14.0,0.0,115.0,5.0,10.0,0.5,0.6,2.8,0.222,4.4,7.2,0.609,2.5,3.4,0.727,1.9,6.3,8.1,1.6,1.3,0.9,1.9,4.4,13.1
28,Leandro Barbosa,SG,29.0,TOT,64.0,0.0,1382.0,7.1,16.6,0.425,1.7,4.4,0.382,5.4,12.2,0.441,2.6,3.2,0.815,0.9,2.5,3.3,2.5,1.5,0.2,2.4,3.5,18.4
29,Leandro Barbosa,SG,29.0,TOR,42.0,0.0,946.0,7.5,17.3,0.436,1.5,4.2,0.36,6.0,13.1,0.461,2.9,3.5,0.835,0.8,2.2,3.0,2.4,1.4,0.3,2.6,3.8,19.5
30,Leandro Barbosa,SG,29.0,IND,22.0,0.0,436.0,6.0,15.1,0.399,2.1,4.9,0.424,4.0,10.2,0.387,2.1,2.7,0.758,1.0,3.1,4.0,2.7,1.7,0.0,2.1,2.8,16.2
31,J.J. Barea,PG,27.0,MIN,41.0,11.0,1032.0,5.8,14.6,0.4,1.8,5.0,0.371,4.0,9.6,0.415,2.7,3.4,0.776,0.5,3.5,4.0,8.1,0.7,0.0,3.6,2.1,16.2
32,Andrea Bargnani,C,26.0,TOR,31.0,31.0,1032.0,7.3,16.9,0.432,1.2,4.0,0.296,6.1,12.9,0.474,5.3,6.0,0.873,0.8,5.2,6.0,2.1,0.6,0.5,2.4,1.8,21.0
