b'Date',b'href',b'Start (ET)',b'Visitor/Neutral',b'PTS',b'Home/Neutral',b'PTS',b'\xc2\xa0',b'\xc2\xa0',b'Attend.',b'Notes'
"Tue, Oct 30, 2012",/boxscores/201210300CLE.html,7:00p,Washington Wizards,84,Cleveland Cavaliers,94,Box Score,,"20,562",
"Tue, Oct 30, 2012",/boxscores/201210300MIA.html,8:00p,Boston Celtics,107,Miami Heat,120,Box Score,,"20,296",
"Tue, Oct 30, 2012",/boxscores/201210300LAL.html,10:30p,Dallas Mavericks,99,Los Angeles Lakers,91,Box Score,,"18,997",
"Wed, Oct 31, 2012",/boxscores/201210310TOR.html,7:00p,Indiana Pacers,90,Toronto Raptors,88,Box Score,,"19,800",
"Wed, Oct 31, 2012",/boxscores/201210310PHI.html,7:00p,Denver Nuggets,75,Philadelphia 76ers,84,Box Score,,"19,101",
"Wed, Oct 31, 2012",/boxscores/201210310DET.html,7:30p,Houston Rockets,105,Detroit Pistons,96,Box Score,,"16,646",
"Wed, Oct 31, 2012",/boxscores/201210310NOH.html,8:00p,San Antonio Spurs,99,New Orleans Hornets,95,Box Score,,"15,358",
"Wed, Oct 31, 2012",/boxscores/201210310CHI.html,8:00p,Sacramento Kings,87,Chicago Bulls,93,Box Score,,"21,313",
"Wed, Oct 31, 2012",/boxscores/201210310UTA.html,9:00p,Dallas Mavericks,94,Utah Jazz,113,Box Score,,"17,634",
"Wed, Oct 31, 2012",/boxscores/201210310PHO.html,10:00p,Golden State Warriors,87,Phoenix Suns,85,Box Score,,"15,678",
"Wed, Oct 31, 2012",/boxscores/201210310LAC.html,10:30p,Memphis Grizzlies,92,Los Angeles Clippers,101,Box Score,,"19,060",
"Wed, Oct 31, 2012",/boxscores/201210310POR.html,10:30p,Los Angeles Lakers,106,Portland Trail Blazers,116,Box Score,,"20,401",
"Thu, Nov 1, 2012",/boxscores/201211010SAS.html,9:30p,Oklahoma City Thunder,84,San Antonio Spurs,86,Box Score,,"18,581",
"Fri, Nov 2, 2012",/boxscores/201211020CHA.html,7:00p,Indiana Pacers,89,Charlotte Bobcats,90,Box Score,,"19,124",
"Fri, Nov 2, 2012",/boxscores/201211020ORL.html,7:00p,Denver Nuggets,89,Orlando Magic,102,Box Score,,"18,846",
"Fri, Nov 2, 2012",/boxscores/201211020ATL.html,7:30p,Houston Rockets,109,Atlanta Hawks,102,Box Score,,"18,238",
"Fri, Nov 2, 2012",/boxscores/201211020BOS.html,7:30p,Milwaukee Bucks,99,Boston Celtics,88,Box Score,,"18,624",
"Fri, Nov 2, 2012",/boxscores/201211020CLE.html,7:30p,Chicago Bulls,115,Cleveland Cavaliers,86,Box Score,,"20,562",
"Fri, Nov 2, 2012",/boxscores/201211020MIN.html,8:00p,Sacramento Kings,80,Minnesota Timberwolves,92,Box Score,,"19,356",
"Fri, Nov 2, 2012",/boxscores/201211020NOH.html,8:00p,Utah Jazz,86,New Orleans Hornets,88,Box Score,,"14,147",
"Fri, Nov 2, 2012",/boxscores/201211020NYK.html,8:00p,Miami Heat,84,New York Knicks,104,Box Score,,"19,033",
"Fri, Nov 2, 2012",/boxscores/201211020OKC.html,8:00p,Portland Trail Blazers,92,Oklahoma City Thunder,106,Box Score,,"18,203",
"Fri, Nov 2, 2012",/boxscores/201211020PHO.html,10:00p,Detroit Pistons,89,Phoenix Suns,92,Box Score,,"15,107",
"Fri, Nov 2, 2012",/boxscores/201211020GSW.html,10:30p,Memphis Grizzlies,104,Golden State Warriors,94,Box Score,,"19,596",
"Fri, Nov 2, 2012",/boxscores/201211020LAL.html,10:30p,Los Angeles Clippers,105,Los Angeles Lakers,95,Box Score,,"18,997",
"Sat, Nov 3, 2012",/boxscores/201211030IND.html,7:00p,Sacramento Kings,98,Indiana Pacers,106,Box Score,2OT,"18,165",
"Sat, Nov 3, 2012",/boxscores/201211030WAS.html,7:00p,Boston Celtics,89,Washington Wizards,86,Box Score,,"20,308",
"Sat, Nov 3, 2012",/boxscores/201211030BRK.html,7:30p,Toronto Raptors,100,Brooklyn Nets,107,Box Score,,"17,732",
"Sat, Nov 3, 2012",/boxscores/201211030MIA.html,7:30p,Denver Nuggets,116,Miami Heat,119,Box Score,,"20,104",
"Sat, Nov 3, 2012",/boxscores/201211030CHI.html,8:00p,New Orleans Hornets,89,Chicago Bulls,82,Box Score,,"21,758",
"Sat, Nov 3, 2012",/boxscores/201211030HOU.html,8:00p,Portland Trail Blazers,95,Houston Rockets,85,Box Score,OT,"18,140",
"Sat, Nov 3, 2012",/boxscores/201211030DAL.html,8:30p,Charlotte Bobcats,99,Dallas Mavericks,126,Box Score,,"19,490",
"Sat, Nov 3, 2012",/boxscores/201211030MIL.html,8:30p,Cleveland Cavaliers,102,Milwaukee Bucks,105,Box Score,,"17,086",
"Sat, Nov 3, 2012",/boxscores/201211030SAS.html,8:30p,Utah Jazz,100,San Antonio Spurs,110,Box Score,,"18,581",
"Sat, Nov 3, 2012",/boxscores/201211030LAC.html,10:30p,Golden State Warriors,114,Los Angeles Clippers,110,Box Score,,"19,060",
"Sun, Nov 4, 2012",/boxscores/201211040NYK.html,12:00p,Philadelphia 76ers,84,New York Knicks,100,Box Score,,"19,033",
"Sun, Nov 4, 2012",/boxscores/201211040ORL.html,6:00p,Phoenix Suns,94,Orlando Magic,115,Box Score,,"17,022",
"Sun, Nov 4, 2012",/boxscores/201211040TOR.html,6:00p,Minnesota Timberwolves,86,Toronto Raptors,105,Box Score,,"16,754",
"Sun, Nov 4, 2012",/boxscores/201211040OKC.html,7:00p,Atlanta Hawks,104,Oklahoma City Thunder,95,Box Score,,"18,203",
"Sun, Nov 4, 2012",/boxscores/201211040LAL.html,9:30p,Detroit Pistons,79,Los Angeles Lakers,108,Box Score,,"18,997",
"Mon, Nov 5, 2012",/boxscores/201211050PHI.html,7:00p,New York Knicks,110,Philadelphia 76ers,88,Box Score,,"15,783",
"Mon, Nov 5, 2012",/boxscores/201211050BRK.html,7:30p,Minnesota Timberwolves,107,Brooklyn Nets,96,Box Score,,"14,017",
"Mon, Nov 5, 2012",/boxscores/201211050MIA.html,7:30p,Phoenix Suns,99,Miami Heat,124,Box Score,,"19,600",
"Mon, Nov 5, 2012",/boxscores/201211050MEM.html,8:00p,Utah Jazz,94,Memphis Grizzlies,103,Box Score,,"17,401",
