,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
24,Larry Bird*,SF,30.0,BOS,74.0,73.0,3005.0,12.7,24.2,0.525,1.5,3.6,0.4,11.3,20.6,0.547,6.7,7.4,0.91,2.0,9.0,11.0,9.2,2.2,1.1,3.9,3.0,33.6,0.0,121.0,104.0
25,Otis Birdsong,SG,31.0,NJN,7.0,6.0,127.0,7.1,15.6,0.452,0.0,0.4,0.0,7.1,15.2,0.463,2.2,3.3,0.667,1.1,1.5,2.6,6.3,1.1,0.0,3.3,5.9,16.3,0.0,97.0,115.0
26,Uwe Blab,C,24.0,DAL,30.0,0.0,160.0,6.0,15.2,0.392,0.0,0.0,0.0,6.0,15.2,0.392,3.9,8.4,0.464,3.3,7.5,10.7,3.9,1.2,2.7,4.5,9.9,15.8,0.0,85.0,107.0
27,Rolando Blackman,SG,27.0,DAL,80.0,80.0,2758.0,10.8,21.9,0.495,0.1,0.3,0.333,10.8,21.6,0.497,7.3,8.2,0.884,1.7,3.2,4.8,4.6,1.1,0.4,3.0,2.5,29.0,0.0,117.0,113.0
28,Manute Bol,C,24.0,WSB,82.0,12.0,1552.0,3.2,7.1,0.446,0.0,0.0,0.0,3.2,7.1,0.448,1.4,2.1,0.672,2.6,8.6,11.2,0.3,0.6,9.3,1.9,5.8,7.7,0.0,94.0,101.0
29,Sam Bowie,C,25.0,POR,5.0,5.0,163.0,8.4,18.5,0.455,0.0,0.0,0.0,8.4,18.5,0.455,5.6,8.4,0.667,3.9,5.3,9.3,2.5,0.3,2.8,4.2,5.3,22.4,0.0,99.0,110.0
30,Dudley Bradley,SG,29.0,MIL,68.0,2.0,900.0,4.0,11.3,0.357,0.7,2.7,0.26,3.3,8.7,0.387,2.5,3.1,0.81,1.6,3.8,5.4,3.5,5.6,0.4,1.8,6.3,11.3,0.0,98.0,100.0
31,Adrian Branch,SF,23.0,LAL,32.0,0.0,219.0,10.4,20.7,0.5,0.0,0.4,0.0,10.4,20.3,0.511,9.1,11.7,0.778,5.0,6.5,11.4,3.5,3.5,0.6,5.2,8.4,29.8,0.0,110.0,103.0
32,Randy Breuer,C,26.0,MIL,76.0,10.0,1467.0,7.9,16.2,0.485,0.0,0.0,0.0,7.9,16.2,0.485,3.8,6.6,0.584,4.2,7.2,11.4,1.5,1.8,2.0,3.3,7.5,19.6,0.0,100.0,104.0
33,Frank Brickowski,PF-C,27.0,TOT,44.0,0.0,487.0,6.1,12.0,0.508,0.0,0.4,0.0,6.1,11.6,0.525,4.9,6.8,0.714,4.7,6.6,11.3,1.6,1.9,0.6,3.1,11.4,17.1,0.0,110.0,106.0
