,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Jay Arnette,PG,25.0,CIN,48.0,0.0,10.4,1.5,4.1,0.362,0.0,0.0,0.0,1.5,4.1,0.362,0.362,0.9,1.1,0.778,0.0,0.0,1.1,1.5,0.0,0.0,0.0,2.2,3.8
1,Al Attles*,PG,27.0,SFW,70.0,0.0,26.9,4.1,9.1,0.452,0.0,0.0,0.0,4.1,9.1,0.452,0.452,2.6,3.9,0.673,0.0,0.0,3.4,2.8,0.0,0.0,0.0,3.6,10.9
2,Dick Barnett,SG,27.0,LAL,78.0,0.0,33.6,6.9,15.3,0.452,0.0,0.0,0.0,6.9,15.3,0.452,0.452,4.5,5.8,0.773,0.0,0.0,3.2,3.1,0.0,0.0,0.0,3.0,18.4
3,John Barnhill,SG,25.0,STL,74.0,0.0,18.5,2.8,6.8,0.412,0.0,0.0,0.0,2.8,6.8,0.412,0.412,0.9,1.6,0.609,0.0,0.0,2.1,2.0,0.0,0.0,0.0,1.4,6.6
4,Elgin Baylor*,SF,29.0,LAL,78.0,0.0,40.6,9.7,22.8,0.425,0.0,0.0,0.0,9.7,22.8,0.425,0.425,6.0,7.5,0.804,0.0,0.0,12.0,4.4,0.0,0.0,0.0,3.0,25.4
5,Zelmo Beaty*,C,24.0,STL,59.0,0.0,32.6,4.9,11.0,0.444,0.0,0.0,0.0,4.9,11.0,0.444,0.444,3.4,4.6,0.741,0.0,0.0,10.7,1.3,0.0,0.0,0.0,4.4,13.1
6,Walt Bellamy*,C,24.0,BAL,80.0,0.0,42.4,10.1,19.8,0.513,0.0,0.0,0.0,10.1,19.8,0.513,0.513,6.7,10.3,0.651,0.0,0.0,17.0,1.6,0.0,0.0,0.0,3.8,27.0
7,Al Bianchi,PG,31.0,PHI,78.0,0.0,18.4,3.3,8.8,0.376,0.0,0.0,0.0,3.3,8.8,0.376,0.376,1.4,1.8,0.773,0.0,0.0,1.9,1.9,0.0,0.0,0.0,3.2,8.0
8,Bucky Bockhorn,SG,30.0,CIN,70.0,0.0,23.9,3.5,8.4,0.412,0.0,0.0,0.0,3.5,8.4,0.412,0.412,1.4,1.8,0.762,0.0,0.0,2.9,2.5,0.0,0.0,0.0,3.2,8.3
9,Bob Boozer,SF,26.0,TOT,81.0,0.0,29.4,5.8,13.5,0.427,0.0,0.0,0.0,5.8,13.5,0.427,0.427,3.4,4.6,0.723,0.0,0.0,7.4,1.2,0.0,0.0,0.0,2.9,14.9
10,Bob Boozer,SF,26.0,CIN,32.0,0.0,22.7,4.3,10.4,0.416,0.0,0.0,0.0,4.3,10.4,0.416,0.416,2.3,3.7,0.622,0.0,0.0,5.6,1.0,0.0,0.0,0.0,2.6,11.0
11,Bob Boozer,SF,26.0,NYK,49.0,0.0,33.7,6.7,15.6,0.432,0.0,0.0,0.0,6.7,15.6,0.432,0.432,4.0,5.2,0.77,0.0,0.0,8.5,1.3,0.0,0.0,0.0,3.0,17.5
12,Bill Bridges,PF,24.0,STL,80.0,0.0,24.4,3.4,8.4,0.397,0.0,0.0,0.0,3.4,8.4,0.397,0.397,1.8,2.8,0.652,0.0,0.0,8.5,2.3,0.0,0.0,0.0,3.4,8.5
13,Dave Budd,SF,25.0,NYK,73.0,0.0,14.1,1.8,4.1,0.431,0.0,0.0,0.0,1.8,4.1,0.431,0.431,1.2,1.6,0.73,0.0,0.0,3.8,0.8,0.0,0.0,0.0,1.8,4.7
14,Donnie Butcher,PG,27.0,TOT,78.0,0.0,25.3,2.6,6.5,0.398,0.0,0.0,0.0,2.6,6.5,0.398,0.398,2.0,3.3,0.621,0.0,0.0,4.2,3.1,0.0,0.0,0.0,3.2,7.2
15,Donnie Butcher,G,27.0,NYK,26.0,0.0,16.1,1.4,4.4,0.322,0.0,0.0,0.0,1.4,4.4,0.322,0.322,1.6,2.5,0.636,0.0,0.0,2.6,2.5,0.0,0.0,0.0,2.0,4.5
16,Donnie Butcher,PG,27.0,DET,52.0,0.0,29.9,3.2,7.5,0.421,0.0,0.0,0.0,3.2,7.5,0.421,0.421,2.3,3.7,0.616,0.0,0.0,5.0,3.4,0.0,0.0,0.0,3.8,8.6
17,Al Butler,PG,25.0,NYK,76.0,0.0,18.1,3.4,8.1,0.422,0.0,0.0,0.0,3.4,8.1,0.422,0.422,1.8,2.5,0.738,0.0,0.0,2.2,2.1,0.0,0.0,0.0,2.2,8.7
18,Barney Cable,SF,28.0,BAL,71.0,0.0,15.8,1.6,4.1,0.4,0.0,0.0,0.0,1.6,4.1,0.4,0.4,0.4,0.6,0.667,0.0,0.0,4.2,0.7,0.0,0.0,0.0,2.3,3.7
19,Wilt Chamberlain*,C,27.0,SFW,80.0,0.0,46.1,15.1,28.7,0.524,0.0,0.0,0.0,15.1,28.7,0.524,0.524,6.8,12.7,0.531,0.0,0.0,22.3,5.0,0.0,0.0,0.0,2.3,36.9
20,Len Chappell,PF,23.0,TOT,79.0,0.0,31.7,6.7,15.0,0.448,0.0,0.0,0.0,6.7,15.0,0.448,0.448,3.6,5.1,0.715,0.0,0.0,9.8,1.1,0.0,0.0,0.0,2.7,17.1
21,Len Chappell,F-C,23.0,PHI,1.0,0.0,16.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,1.0
22,Len Chappell,PF,23.0,NYK,78.0,0.0,31.9,6.8,15.2,0.449,0.0,0.0,0.0,6.8,15.2,0.449,0.449,3.7,5.1,0.716,0.0,0.0,9.8,1.1,0.0,0.0,0.0,2.7,17.3
23,Larry Comley,G,24.0,BAL,12.0,0.0,7.4,0.7,3.1,0.216,0.0,0.0,0.0,0.7,3.1,0.216,0.216,0.8,1.3,0.563,0.0,0.0,1.6,1.0,0.0,0.0,0.0,0.9,2.1
24,Gene Conley,PF,33.0,NYK,46.0,0.0,12.0,1.6,4.1,0.392,0.0,0.0,0.0,1.6,4.1,0.392,0.392,1.0,1.4,0.677,0.0,0.0,3.4,0.5,0.0,0.0,0.0,2.7,4.2
25,Larry Costello,PG,32.0,PHI,45.0,0.0,25.3,4.2,9.1,0.468,0.0,0.0,0.0,4.2,9.1,0.468,0.468,3.3,3.8,0.865,0.0,0.0,2.3,3.7,0.0,0.0,0.0,3.3,11.8
27,Dave DeBusschere*,SF,23.0,DET,15.0,0.0,20.3,3.5,8.9,0.391,0.0,0.0,0.0,3.5,8.9,0.391,0.391,1.7,2.9,0.581,0.0,0.0,7.0,1.5,0.0,0.0,0.0,2.1,8.6
28,Connie Dierking,C,27.0,PHI,76.0,0.0,16.9,2.5,6.8,0.372,0.0,0.0,0.0,2.5,6.8,0.372,0.372,1.5,2.2,0.675,0.0,0.0,5.6,0.7,0.0,0.0,0.0,2.9,6.5
29,Terry Dischinger,SF,23.0,BAL,80.0,0.0,35.2,7.6,15.2,0.496,0.0,0.0,0.0,7.6,15.2,0.496,0.496,5.7,7.3,0.776,0.0,0.0,8.3,2.0,0.0,0.0,0.0,4.0,20.8
30,Bob Duffy,PG,23.0,TOT,48.0,0.0,13.8,2.0,4.8,0.41,0.0,0.0,0.0,2.0,4.8,0.41,0.41,0.9,1.4,0.677,0.0,0.0,1.3,1.6,0.0,0.0,0.0,1.0,4.8
31,Bob Duffy,PG,23.0,STL,2.0,0.0,3.0,0.5,1.5,0.333,0.0,0.0,0.0,0.5,1.5,0.333,0.333,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0
32,Bob Duffy,PG,23.0,NYK,4.0,0.0,12.5,1.3,4.8,0.263,0.0,0.0,0.0,1.3,4.8,0.263,0.263,1.5,2.0,0.75,0.0,0.0,1.5,1.3,0.0,0.0,0.0,0.0,4.0
33,Bob Duffy,PG,23.0,DET,42.0,0.0,14.4,2.1,4.9,0.425,0.0,0.0,0.0,2.1,4.9,0.425,0.425,0.9,1.3,0.679,0.0,0.0,1.3,1.8,0.0,0.0,0.0,1.1,5.1
34,Johnny Egan,PG,25.0,TOT,66.0,0.0,35.2,5.1,11.5,0.441,0.0,0.0,0.0,5.1,11.5,0.441,0.441,2.9,3.7,0.794,0.0,0.0,2.9,5.4,0.0,0.0,0.0,2.7,13.0
35,Johnny Egan,PG,25.0,DET,24.0,0.0,34.9,4.4,10.7,0.41,0.0,0.0,0.0,4.4,10.7,0.41,0.41,2.4,2.8,0.838,0.0,0.0,2.6,4.8,0.0,0.0,0.0,3.2,11.1
36,Johnny Egan,PG,25.0,NYK,42.0,0.0,35.4,5.5,12.0,0.456,0.0,0.0,0.0,5.5,12.0,0.456,0.456,3.2,4.2,0.777,0.0,0.0,3.1,5.8,0.0,0.0,0.0,2.5,14.1
37,Leroy Ellis,C,23.0,LAL,78.0,0.0,18.7,2.6,6.1,0.423,0.0,0.0,0.0,2.6,6.1,0.423,0.423,1.4,2.2,0.659,0.0,0.0,6.4,0.5,0.0,0.0,0.0,2.5,6.6
