,Tm,W,L,W/L%,GB,PS/G,PA/G,SRS
0,Boston Celtics,59.0,23.0,0.72,—,112.6,106.0,6.57
1,Philadelphia 76ers,45.0,37.0,0.549,14.0,106.5,106.6,0.11
2,Washington Bullets,42.0,40.0,0.512,17.0,106.0,107.3,-1.02
3,New Jersey Nets,24.0,58.0,0.293,35.0,108.5,113.5,-4.42
4,New York Knicks,24.0,58.0,0.293,35.0,103.8,110.0,-5.42
5,Atlanta Hawks,57.0,25.0,0.695,—,110.0,102.8,7.18
6,Detroit Pistons,52.0,30.0,0.634,5.0,111.2,107.8,3.51
7,Milwaukee Bucks,50.0,32.0,0.61,7.0,110.4,106.5,4.04
8,Indiana Pacers,41.0,41.0,0.5,16.0,106.1,106.7,-0.17
9,Chicago Bulls,40.0,42.0,0.488,17.0,104.8,103.9,1.26
10,Cleveland Cavaliers,31.0,51.0,0.378,26.0,104.4,108.2,-3.19
11,Dallas Mavericks,55.0,27.0,0.671,—,116.7,110.4,5.54
12,Utah Jazz,44.0,38.0,0.537,11.0,107.9,107.5,0.04
13,Houston Rockets,42.0,40.0,0.512,13.0,106.9,105.9,0.6
14,Denver Nuggets,37.0,45.0,0.451,18.0,116.7,117.6,-1.14
15,Sacramento Kings,29.0,53.0,0.354,26.0,110.9,114.1,-3.34
16,San Antonio Spurs,28.0,54.0,0.341,27.0,108.3,113.4,-5.09
17,Los Angeles Lakers,65.0,17.0,0.793,—,117.8,108.5,8.32
18,Portland Trail Blazers,49.0,33.0,0.598,16.0,117.9,114.8,2.57
19,Golden State Warriors,42.0,40.0,0.512,23.0,112.0,114.4,-2.54
20,Seattle SuperSonics,39.0,43.0,0.476,26.0,113.7,113.3,0.08
21,Phoenix Suns,36.0,46.0,0.439,29.0,111.1,113.5,-2.63
22,Los Angeles Clippers,12.0,70.0,0.146,53.0,104.5,115.9,-11.0
