,Tm,W,L,W/L%,GB,PS/G,PA/G,SRS
0,Philadelphia 76ers,50.0,32.0,0.61,—,110.2,106.2,3.78
1,Boston Celtics,44.0,38.0,0.537,6.0,104.5,106.5,-1.9
2,New York Knicks,40.0,42.0,0.488,10.0,108.6,108.6,0.01
3,Buffalo Braves,30.0,52.0,0.366,20.0,105.0,109.5,-4.28
4,New York Nets,22.0,60.0,0.268,28.0,95.9,102.7,-6.54
5,Houston Rockets,49.0,33.0,0.598,—,106.4,104.8,1.44
6,Washington Bullets,48.0,34.0,0.585,1.0,105.5,104.5,0.9
7,San Antonio Spurs,44.0,38.0,0.537,5.0,115.0,114.4,0.53
8,Cleveland Cavaliers,43.0,39.0,0.524,6.0,102.1,101.0,1.08
9,New Orleans Jazz,35.0,47.0,0.427,14.0,104.6,107.4,-2.68
10,Atlanta Hawks,31.0,51.0,0.378,18.0,102.4,106.4,-3.87
11,Denver Nuggets,50.0,32.0,0.61,—,112.6,107.4,4.95
12,Detroit Pistons,44.0,38.0,0.537,6.0,109.4,110.4,-1.0
13,Chicago Bulls,44.0,38.0,0.537,6.0,98.9,98.0,0.92
14,Kansas City Kings,40.0,42.0,0.488,10.0,107.7,106.8,0.93
15,Indiana Pacers,36.0,46.0,0.439,14.0,106.8,108.6,-1.68
16,Milwaukee Bucks,30.0,52.0,0.366,20.0,108.4,111.5,-2.99
17,Los Angeles Lakers,53.0,29.0,0.646,—,106.9,104.1,2.64
18,Portland Trail Blazers,49.0,33.0,0.598,4.0,111.7,106.2,5.39
19,Golden State Warriors,46.0,36.0,0.561,7.0,110.9,107.7,3.1
20,Seattle SuperSonics,40.0,42.0,0.488,13.0,104.0,105.5,-1.43
21,Phoenix Suns,34.0,48.0,0.415,19.0,104.9,104.2,0.64
