,Tm,W,L,W/L%,GB,PS/G,PA/G,SRS
0,Miami Heat,55.0,27.0,0.671,—,95.0,90.0,5.09
1,New York Knicks,43.0,39.0,0.524,12.0,91.6,89.1,2.74
2,New Jersey Nets,43.0,39.0,0.524,12.0,99.6,98.1,1.88
3,Washington Wizards,42.0,40.0,0.512,13.0,97.2,96.6,1.11
4,Orlando Magic,41.0,41.0,0.5,14.0,90.1,91.2,-0.53
5,Boston Celtics,36.0,46.0,0.439,19.0,95.9,98.5,-1.96
6,Philadelphia 76ers,31.0,51.0,0.378,24.0,93.3,95.7,-1.89
7,Chicago Bulls,62.0,20.0,0.756,—,96.7,89.6,7.24
8,Indiana Pacers,58.0,24.0,0.707,4.0,96.0,89.9,6.25
9,Charlotte Hornets,51.0,31.0,0.622,11.0,96.6,94.6,2.45
10,Atlanta Hawks,50.0,32.0,0.61,12.0,95.9,92.3,3.85
11,Cleveland Cavaliers,47.0,35.0,0.573,15.0,92.5,89.8,3.06
12,Detroit Pistons,37.0,45.0,0.451,25.0,94.2,92.6,1.95
13,Milwaukee Bucks,36.0,46.0,0.439,26.0,94.5,96.4,-1.33
14,Toronto Raptors,16.0,66.0,0.195,46.0,94.9,104.2,-8.33
15,Utah Jazz,62.0,20.0,0.756,—,101.0,94.4,5.73
16,San Antonio Spurs,56.0,26.0,0.683,6.0,92.5,88.5,3.3
17,Minnesota Timberwolves,45.0,37.0,0.549,17.0,101.1,100.4,0.17
18,Houston Rockets,41.0,41.0,0.5,21.0,98.8,99.5,-1.23
19,Dallas Mavericks,20.0,62.0,0.244,42.0,91.4,97.5,-6.33
20,Vancouver Grizzlies,19.0,63.0,0.232,43.0,96.6,103.9,-7.47
21,Denver Nuggets,11.0,71.0,0.134,51.0,89.0,100.8,-11.74
22,Seattle SuperSonics,61.0,21.0,0.744,—,100.6,93.4,6.33
23,Los Angeles Lakers,61.0,21.0,0.744,—,105.5,97.8,6.88
24,Phoenix Suns,56.0,26.0,0.683,5.0,99.6,94.4,4.44
25,Portland Trail Blazers,46.0,36.0,0.561,15.0,94.3,92.9,0.83
26,Sacramento Kings,27.0,55.0,0.329,34.0,93.1,98.7,-5.83
27,Golden State Warriors,19.0,63.0,0.232,42.0,88.3,97.4,-9.2
28,Los Angeles Clippers,17.0,65.0,0.207,44.0,95.9,103.3,-7.53
