,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Zaid Abdul-Aziz,C,25.0,SEA,58.0,0.0,1780.0,322.0,751.0,0.429,0.0,0.0,0.0,322.0,751.0,0.429,0.429,154.0,214.0,0.72,0.0,0.0,654.0,124.0,0.0,0.0,0.0,178.0,798.0
1,Kareem Abdul-Jabbar*,C,24.0,MIL,81.0,0.0,3583.0,1159.0,2019.0,0.574,0.0,0.0,0.0,1159.0,2019.0,0.574,0.574,504.0,732.0,0.689,0.0,0.0,1346.0,370.0,0.0,0.0,0.0,235.0,2822.0
2,Don Adams,SF,24.0,TOT,73.0,0.0,2071.0,313.0,798.0,0.392,0.0,0.0,0.0,313.0,798.0,0.392,0.392,205.0,275.0,0.745,0.0,0.0,502.0,140.0,0.0,0.0,0.0,266.0,831.0
3,Don Adams,SF,24.0,HOU,3.0,0.0,41.0,6.0,19.0,0.316,0.0,0.0,0.0,6.0,19.0,0.316,0.316,1.0,2.0,0.5,0.0,0.0,8.0,3.0,0.0,0.0,0.0,7.0,13.0
4,Don Adams,SF,24.0,ATL,70.0,0.0,2030.0,307.0,779.0,0.394,0.0,0.0,0.0,307.0,779.0,0.394,0.394,204.0,273.0,0.747,0.0,0.0,494.0,137.0,0.0,0.0,0.0,259.0,818.0
5,Rick Adelman,PG,25.0,POR,80.0,0.0,2445.0,329.0,753.0,0.437,0.0,0.0,0.0,329.0,753.0,0.437,0.437,151.0,201.0,0.751,0.0,0.0,229.0,413.0,0.0,0.0,0.0,209.0,809.0
6,Lucius Allen,PG,24.0,MIL,80.0,0.0,2316.0,441.0,874.0,0.505,0.0,0.0,0.0,441.0,874.0,0.505,0.505,198.0,259.0,0.764,0.0,0.0,254.0,333.0,0.0,0.0,0.0,214.0,1080.0
7,Odis Allison,SF,22.0,GSW,36.0,0.0,166.0,17.0,78.0,0.218,0.0,0.0,0.0,17.0,78.0,0.218,0.218,33.0,61.0,0.541,0.0,0.0,45.0,10.0,0.0,0.0,0.0,34.0,67.0
8,Tiny Archibald*,PG,23.0,CIN,76.0,0.0,3272.0,734.0,1511.0,0.486,0.0,0.0,0.0,734.0,1511.0,0.486,0.486,677.0,824.0,0.822,0.0,0.0,222.0,701.0,0.0,0.0,0.0,198.0,2145.0
9,Dennis Awtrey,C,23.0,PHI,58.0,0.0,794.0,98.0,222.0,0.441,0.0,0.0,0.0,98.0,222.0,0.441,0.441,49.0,76.0,0.645,0.0,0.0,248.0,51.0,0.0,0.0,0.0,141.0,245.0
10,Dick Barnett,SG,35.0,NYK,79.0,0.0,2256.0,401.0,918.0,0.437,0.0,0.0,0.0,401.0,918.0,0.437,0.437,162.0,215.0,0.753,0.0,0.0,153.0,198.0,0.0,0.0,0.0,229.0,964.0
11,Jim Barnett,PG,27.0,GSW,80.0,0.0,2200.0,374.0,915.0,0.409,0.0,0.0,0.0,374.0,915.0,0.409,0.409,244.0,292.0,0.836,0.0,0.0,250.0,309.0,0.0,0.0,0.0,189.0,992.0
12,Vic Bartolome,C,23.0,GSW,38.0,0.0,165.0,15.0,59.0,0.254,0.0,0.0,0.0,15.0,59.0,0.254,0.254,4.0,5.0,0.8,0.0,0.0,60.0,3.0,0.0,0.0,0.0,22.0,34.0
13,Elgin Baylor*,SF,37.0,LAL,9.0,0.0,239.0,42.0,97.0,0.433,0.0,0.0,0.0,42.0,97.0,0.433,0.433,22.0,27.0,0.815,0.0,0.0,57.0,18.0,0.0,0.0,0.0,20.0,106.0
14,Butch Beard,PG,24.0,CLE,68.0,0.0,2434.0,394.0,849.0,0.464,0.0,0.0,0.0,394.0,849.0,0.464,0.464,260.0,342.0,0.76,0.0,0.0,276.0,456.0,0.0,0.0,0.0,213.0,1048.0
15,Walt Bellamy*,C,32.0,ATL,82.0,0.0,3187.0,593.0,1089.0,0.545,0.0,0.0,0.0,593.0,1089.0,0.545,0.545,340.0,581.0,0.585,0.0,0.0,1049.0,262.0,0.0,0.0,0.0,255.0,1526.0
16,Dave Bing*,PG,28.0,DET,45.0,0.0,1936.0,369.0,891.0,0.414,0.0,0.0,0.0,369.0,891.0,0.414,0.414,278.0,354.0,0.785,0.0,0.0,186.0,317.0,0.0,0.0,0.0,138.0,1016.0
