,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
0,Forest Able,G,24.0,SYR,1.0,1.0,-41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.062,0.0,0.0,0.0,0.0
1,Paul Arizin*,SF,28.0,PHW,71.0,2767.0,22.2,0.515,0.0,0.491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.7,1.6,12.3,0.213,0.0,0.0,0.0,0.0
2,Bob Armstrong,C-F,23.0,PHW,19.0,110.0,7.8,0.331,0.0,0.324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.1,-0.1,-0.063,0.0,0.0,0.0,0.0
3,Jim Baechtold,SF,29.0,NYK,45.0,462.0,15.3,0.458,0.0,0.447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.3,0.9,0.096,0.0,0.0,0.0,0.0
4,John Barber,F,29.0,STL,5.0,19.0,4.2,0.329,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,0.0,-0.108,0.0,0.0,0.0,0.0
5,Ernie Beck,SG,25.0,PHW,72.0,1743.0,11.7,0.434,0.0,0.309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.1,2.1,0.057,0.0,0.0,0.0,0.0
6,Irv Bemoras,SF,26.0,STL,62.0,983.0,6.9,0.369,0.0,0.268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3,0.6,-0.6,-0.031,0.0,0.0,0.0,0.0
7,Gary Bergen,C,24.0,NYK,6.0,40.0,4.7,0.337,0.0,0.182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,0.0,-0.044,0.0,0.0,0.0,0.0
8,Al Bianchi,PG,24.0,SYR,68.0,1577.0,9.6,0.419,0.0,0.422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.3,1.5,0.046,0.0,0.0,0.0,0.0
9,Carl Braun*,PG,29.0,NYK,72.0,2345.0,13.8,0.444,0.0,0.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,1.4,3.7,0.077,0.0,0.0,0.0,0.0
