,Tm,W,L,W/L%,GB,PS/G,PA/G,SRS
0,New York Knicks,52.0,30.0,0.634,—,116.7,112.9,3.62
1,Philadelphia 76ers,46.0,36.0,0.561,6.0,111.9,110.4,1.68
2,Boston Celtics,42.0,40.0,0.512,10.0,109.2,108.1,1.26
3,Washington Bullets,40.0,42.0,0.488,12.0,108.3,110.4,-1.77
4,New Jersey Nets,26.0,56.0,0.317,26.0,103.7,110.1,-5.69
5,Charlotte Hornets,20.0,62.0,0.244,32.0,104.5,113.0,-7.74
6,Detroit Pistons,63.0,19.0,0.768,—,106.6,100.8,6.24
7,Cleveland Cavaliers,57.0,25.0,0.695,6.0,108.8,101.2,7.95
8,Atlanta Hawks,52.0,30.0,0.634,11.0,111.0,106.1,5.26
9,Milwaukee Bucks,49.0,33.0,0.598,14.0,108.9,105.3,4.11
10,Chicago Bulls,47.0,35.0,0.573,16.0,106.4,105.0,2.13
11,Indiana Pacers,28.0,54.0,0.341,35.0,106.9,111.1,-3.0
12,Utah Jazz,51.0,31.0,0.622,—,104.7,99.7,4.01
13,Houston Rockets,45.0,37.0,0.549,6.0,108.5,107.5,0.22
14,Denver Nuggets,44.0,38.0,0.537,7.0,118.0,116.3,0.91
15,Dallas Mavericks,38.0,44.0,0.463,13.0,103.5,104.7,-1.79
16,San Antonio Spurs,21.0,61.0,0.256,30.0,105.5,112.8,-7.45
17,Miami Heat,15.0,67.0,0.183,36.0,97.8,109.0,-11.13
18,Los Angeles Lakers,57.0,25.0,0.695,—,114.7,107.5,6.38
19,Phoenix Suns,55.0,27.0,0.671,2.0,118.6,110.9,6.84
20,Seattle SuperSonics,47.0,35.0,0.573,10.0,112.1,109.2,2.44
21,Golden State Warriors,43.0,39.0,0.524,14.0,116.6,116.9,-0.59
22,Portland Trail Blazers,39.0,43.0,0.476,18.0,114.6,113.1,0.92
23,Sacramento Kings,27.0,55.0,0.329,30.0,105.5,111.0,-5.35
24,Los Angeles Clippers,21.0,61.0,0.256,36.0,106.2,116.2,-9.5
