,Tm,W,L,W/L%,GB,PS/G,PA/G,SRS
0,Boston Celtics,51.0,31.0,0.622,—,106.6,103.0,3.41
1,New York Knicks,51.0,31.0,0.622,—,101.6,97.7,3.67
2,New Jersey Nets,40.0,42.0,0.488,11.0,105.4,107.1,-1.54
3,Miami Heat,38.0,44.0,0.463,13.0,105.0,109.2,-3.94
4,Philadelphia 76ers,35.0,47.0,0.427,16.0,101.9,103.2,-1.34
5,Washington Bullets,25.0,57.0,0.305,26.0,102.4,106.8,-4.35
6,Orlando Magic,21.0,61.0,0.256,30.0,101.6,108.5,-6.52
7,Chicago Bulls,67.0,15.0,0.817,—,109.9,99.5,10.07
8,Cleveland Cavaliers,57.0,25.0,0.695,10.0,108.9,103.4,5.34
9,Detroit Pistons,48.0,34.0,0.585,19.0,98.9,96.9,2.06
10,Indiana Pacers,40.0,42.0,0.488,27.0,112.2,110.3,1.85
11,Atlanta Hawks,38.0,44.0,0.463,29.0,106.2,107.7,-1.15
12,Milwaukee Bucks,31.0,51.0,0.378,36.0,105.0,106.7,-1.46
13,Charlotte Hornets,31.0,51.0,0.378,36.0,109.5,113.4,-3.57
14,Utah Jazz,55.0,27.0,0.671,—,108.3,101.9,5.7
15,San Antonio Spurs,47.0,35.0,0.573,8.0,104.0,100.6,2.81
16,Houston Rockets,42.0,40.0,0.512,13.0,102.0,103.7,-1.94
17,Denver Nuggets,24.0,58.0,0.293,31.0,99.7,107.6,-7.59
18,Dallas Mavericks,22.0,60.0,0.268,33.0,97.6,105.3,-7.47
19,Minnesota Timberwolves,15.0,67.0,0.183,40.0,100.5,107.5,-6.85
20,Portland Trail Blazers,57.0,25.0,0.695,—,111.4,104.1,6.94
21,Golden State Warriors,55.0,27.0,0.671,2.0,118.7,114.8,3.77
22,Phoenix Suns,53.0,29.0,0.646,4.0,112.1,106.2,5.68
23,Seattle SuperSonics,47.0,35.0,0.573,10.0,106.5,104.7,1.86
24,Los Angeles Clippers,45.0,37.0,0.549,12.0,102.9,101.9,1.1
25,Los Angeles Lakers,43.0,39.0,0.524,14.0,100.4,101.5,-0.95
26,Sacramento Kings,29.0,53.0,0.354,28.0,104.3,110.3,-5.63
