,Tm,W,L,W/L%,GB,PS/G,PA/G,SRS
0,New York Knicks,60.0,22.0,0.732,—,101.6,95.4,5.87
1,Boston Celtics,48.0,34.0,0.585,12.0,103.7,102.8,0.93
2,New Jersey Nets,43.0,39.0,0.524,17.0,102.8,101.6,1.2
3,Orlando Magic,41.0,41.0,0.5,19.0,105.5,104.2,1.35
4,Miami Heat,36.0,46.0,0.439,24.0,103.6,104.7,-0.93
5,Philadelphia 76ers,26.0,56.0,0.317,34.0,104.3,110.1,-5.25
6,Washington Bullets,22.0,60.0,0.268,38.0,101.9,108.9,-6.49
7,Chicago Bulls,57.0,25.0,0.695,—,105.2,98.9,6.19
8,Cleveland Cavaliers,54.0,28.0,0.659,3.0,107.7,101.3,6.3
9,Charlotte Hornets,44.0,38.0,0.537,13.0,110.1,110.4,-0.02
10,Atlanta Hawks,43.0,39.0,0.524,14.0,107.5,108.4,-0.67
11,Indiana Pacers,41.0,41.0,0.5,16.0,107.8,106.1,1.77
12,Detroit Pistons,40.0,42.0,0.488,17.0,100.6,102.0,-1.1
13,Milwaukee Bucks,28.0,54.0,0.341,29.0,102.3,106.1,-3.26
14,Houston Rockets,55.0,27.0,0.671,—,104.0,99.8,3.57
15,San Antonio Spurs,49.0,33.0,0.598,6.0,105.5,102.8,2.21
16,Utah Jazz,47.0,35.0,0.573,8.0,106.2,104.0,1.74
17,Denver Nuggets,36.0,46.0,0.439,19.0,105.2,106.9,-2.14
18,Minnesota Timberwolves,19.0,63.0,0.232,36.0,98.1,105.9,-7.62
19,Dallas Mavericks,11.0,71.0,0.134,44.0,99.3,114.5,-14.68
20,Phoenix Suns,62.0,20.0,0.756,—,113.4,106.7,6.27
21,Seattle SuperSonics,55.0,27.0,0.671,7.0,108.3,101.3,6.66
22,Portland Trail Blazers,51.0,31.0,0.622,11.0,108.5,105.4,2.92
23,Los Angeles Clippers,41.0,41.0,0.5,21.0,107.1,106.8,0.33
24,Los Angeles Lakers,39.0,43.0,0.476,23.0,104.2,105.5,-1.2
25,Golden State Warriors,34.0,48.0,0.415,28.0,109.9,110.9,-0.94
26,Sacramento Kings,25.0,57.0,0.305,37.0,107.9,111.1,-3.0
