,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
26,Mo Bamba,C,21.0,ORL,50.0,0.0,747.0,111.0,237.0,0.468,29.0,86.0,0.337,82.0,151.0,0.543,0.53,22.0,32.0,0.688,75.0,174.0,249.0,33.0,20.0,72.0,39.0,93.0,273.0
27,J.J. Barea,PG,35.0,DAL,17.0,4.0,263.0,58.0,128.0,0.453,23.0,50.0,0.46,35.0,78.0,0.449,0.543,14.0,14.0,1.0,8.0,26.0,34.0,63.0,3.0,1.0,21.0,12.0,153.0
28,Harrison Barnes,PF,27.0,SAC,54.0,54.0,1870.0,271.0,600.0,0.452,71.0,196.0,0.362,200.0,404.0,0.495,0.511,170.0,212.0,0.802,52.0,212.0,264.0,120.0,30.0,8.0,65.0,67.0,783.0
29,RJ Barrett,SG,19.0,NYK,45.0,44.0,1372.0,221.0,570.0,0.388,48.0,151.0,0.318,173.0,419.0,0.413,0.43,124.0,203.0,0.611,45.0,184.0,229.0,109.0,44.0,16.0,94.0,102.0,614.0
30,Will Barton,SF,29.0,DEN,48.0,48.0,1598.0,276.0,618.0,0.447,87.0,228.0,0.382,189.0,390.0,0.485,0.517,86.0,113.0,0.761,71.0,240.0,311.0,179.0,52.0,24.0,67.0,98.0,725.0
31,Keita Bates-Diop,SF,24.0,TOT,39.0,0.0,665.0,89.0,208.0,0.428,31.0,94.0,0.33,58.0,114.0,0.509,0.502,49.0,69.0,0.71,21.0,91.0,112.0,30.0,17.0,21.0,14.0,38.0,258.0
32,Keita Bates-Diop,SF,24.0,MIN,37.0,0.0,646.0,87.0,206.0,0.422,31.0,94.0,0.33,56.0,112.0,0.5,0.498,46.0,65.0,0.708,21.0,89.0,110.0,30.0,17.0,20.0,14.0,36.0,251.0
33,Keita Bates-Diop,SF,24.0,DEN,2.0,0.0,19.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,3.0,4.0,0.75,0.0,2.0,2.0,0.0,0.0,1.0,0.0,2.0,7.0
34,Nicolas Batum,SF,31.0,CHO,22.0,3.0,505.0,28.0,81.0,0.346,14.0,49.0,0.286,14.0,32.0,0.438,0.432,9.0,10.0,0.9,25.0,75.0,100.0,66.0,17.0,8.0,22.0,41.0,79.0
35,Aron Baynes,C,33.0,PHO,33.0,25.0,756.0,146.0,298.0,0.49,42.0,126.0,0.333,104.0,172.0,0.605,0.56,44.0,61.0,0.721,54.0,136.0,190.0,62.0,7.0,19.0,39.0,116.0,378.0
36,Kent Bazemore,SF-SG,30.0,TOT,54.0,21.0,1333.0,144.0,408.0,0.353,66.0,201.0,0.328,78.0,207.0,0.377,0.434,80.0,103.0,0.777,21.0,196.0,217.0,72.0,56.0,35.0,72.0,149.0,434.0
