,Tm,W,L,W/L%,GB,PS/G,PA/G,SRS
0,Philadelphia 76ers,53.0,29.0,0.646,—,110.2,105.2,4.23
1,Boston Celtics,52.0,30.0,0.634,1.0,110.0,106.0,3.23
2,New York Knicks,45.0,37.0,0.549,8.0,108.3,106.9,0.78
3,Washington Bullets,31.0,51.0,0.378,22.0,107.7,109.9,-2.43
4,Miami Heat,18.0,64.0,0.22,35.0,100.6,110.3,-9.59
5,New Jersey Nets,17.0,65.0,0.207,36.0,100.1,108.0,-7.82
6,Detroit Pistons,59.0,23.0,0.72,—,104.3,98.3,5.41
7,Chicago Bulls,55.0,27.0,0.671,4.0,109.5,106.2,2.74
8,Milwaukee Bucks,44.0,38.0,0.537,15.0,106.0,106.8,-1.06
9,Cleveland Cavaliers,42.0,40.0,0.512,17.0,102.6,102.9,-0.62
10,Indiana Pacers,42.0,40.0,0.512,17.0,109.3,109.1,-0.18
11,Atlanta Hawks,41.0,41.0,0.5,18.0,108.5,107.5,0.64
12,Orlando Magic,18.0,64.0,0.22,41.0,110.9,119.8,-8.73
13,San Antonio Spurs,56.0,26.0,0.683,—,106.3,102.8,3.58
14,Utah Jazz,55.0,27.0,0.671,1.0,106.8,102.0,4.82
15,Dallas Mavericks,47.0,35.0,0.573,9.0,102.2,102.2,0.42
16,Denver Nuggets,43.0,39.0,0.524,13.0,114.6,113.2,1.56
17,Houston Rockets,41.0,41.0,0.5,15.0,106.7,105.3,1.71
18,Minnesota Timberwolves,22.0,60.0,0.268,34.0,95.2,99.4,-3.6
19,Charlotte Hornets,19.0,63.0,0.232,37.0,100.4,108.2,-7.0
20,Los Angeles Lakers,63.0,19.0,0.768,—,110.7,103.9,6.74
21,Portland Trail Blazers,59.0,23.0,0.72,4.0,114.2,107.9,6.48
22,Phoenix Suns,54.0,28.0,0.659,9.0,114.9,107.8,7.09
23,Seattle SuperSonics,41.0,41.0,0.5,22.0,106.9,105.9,1.4
24,Golden State Warriors,37.0,45.0,0.451,26.0,116.3,119.4,-2.55
25,Los Angeles Clippers,30.0,52.0,0.366,33.0,103.8,107.2,-2.8
26,Sacramento Kings,23.0,59.0,0.28,40.0,101.7,106.8,-4.41
