b'Date',b'href',b'Visitor/Neutral',b'PTS',b'Home/Neutral',b'PTS',b'\xc2\xa0',b'\xc2\xa0',b'Attend.',b'Notes'
"Fri, Nov 2, 1990",/boxscores/199011020ATL.html,Orlando Magic,111,Atlanta Hawks,115,Box Score,,"13,593",
"Fri, Nov 2, 1990",/boxscores/199011020BOS.html,Cleveland Cavaliers,101,Boston Celtics,125,Box Score,,"14,890",
"Fri, Nov 2, 1990",/boxscores/199011020CHH.html,New York Knicks,134,Charlotte Hornets,130,Box Score,OT,"24,101",
"Fri, Nov 2, 1990",/boxscores/199011020CHI.html,Philadelphia 76ers,124,Chicago Bulls,116,Box Score,,"18,676",
"Fri, Nov 2, 1990",/boxscores/199011020DEN.html,Golden State Warriors,162,Denver Nuggets,158,Box Score,,"9,838",
"Fri, Nov 2, 1990",/boxscores/199011020DET.html,Milwaukee Bucks,104,Detroit Pistons,115,Box Score,,"21,454",
"Fri, Nov 2, 1990",/boxscores/199011020IND.html,New Jersey Nets,81,Indiana Pacers,100,Box Score,,"13,004",
"Fri, Nov 2, 1990",/boxscores/199011020LAC.html,Sacramento Kings,80,Los Angeles Clippers,90,Box Score,,"12,845",
"Fri, Nov 2, 1990",/boxscores/199011020MIA.html,Washington Bullets,95,Miami Heat,119,Box Score,,"15,008",
"Fri, Nov 2, 1990",/boxscores/199011020MIN.html,Dallas Mavericks,85,Minnesota Timberwolves,98,Box Score,,"19,006",
"Fri, Nov 2, 1990",/boxscores/199011020POR.html,Houston Rockets,89,Portland Trail Blazers,90,Box Score,,"12,884",
"Fri, Nov 2, 1990",/boxscores/199011020UTA.html,Phoenix Suns,119,Utah Jazz,96,Box Score,,"10,111","at Tokyo, Japan (Tokyo Metropolitan Gymnasium)"
"Sat, Nov 3, 1990",/boxscores/199011030ATL.html,Indiana Pacers,120,Atlanta Hawks,121,Box Score,,"10,330",
"Sat, Nov 3, 1990",/boxscores/199011030DAL.html,Denver Nuggets,110,Dallas Mavericks,140,Box Score,,"17,007",
"Sat, Nov 3, 1990",/boxscores/199011030DET.html,Cleveland Cavaliers,97,Detroit Pistons,106,Box Score,,"21,454",
"Sat, Nov 3, 1990",/boxscores/199011030MIL.html,Minnesota Timberwolves,93,Milwaukee Bucks,111,Box Score,,"15,102",
"Sat, Nov 3, 1990",/boxscores/199011030NYK.html,Boston Celtics,106,New York Knicks,103,Box Score,,"19,081",
"Sat, Nov 3, 1990",/boxscores/199011030ORL.html,Charlotte Hornets,104,Orlando Magic,97,Box Score,,"15,077",
"Sat, Nov 3, 1990",/boxscores/199011030PHI.html,New Jersey Nets,110,Philadelphia 76ers,112,Box Score,OT,"15,678",
"Sat, Nov 3, 1990",/boxscores/199011030PHO.html,Utah Jazz,102,Phoenix Suns,101,Box Score,,"10,111","at Tokyo, Japan (Tokyo Metropolitan Gymnasium)"
"Sat, Nov 3, 1990",/boxscores/199011030SAC.html,Portland Trail Blazers,95,Sacramento Kings,93,Box Score,OT,"17,014",
"Sat, Nov 3, 1990",/boxscores/199011030SAS.html,Los Angeles Lakers,99,San Antonio Spurs,110,Box Score,,"15,908",
"Sat, Nov 3, 1990",/boxscores/199011030SEA.html,Houston Rockets,106,Seattle SuperSonics,118,Box Score,,"13,922",
"Sat, Nov 3, 1990",/boxscores/199011030WSB.html,Chicago Bulls,102,Washington Bullets,103,Box Score,,"18,756",
"Sun, Nov 4, 1990",/boxscores/199011040LAC.html,Golden State Warriors,107,Los Angeles Clippers,109,Box Score,,"11,173",
"Tue, Nov 6, 1990",/boxscores/199011060CHH.html,New Jersey Nets,105,Charlotte Hornets,113,Box Score,,"23,901",
