,Tm,W,L,W/L%,GB,PS/G,PA/G,SRS
0,Philadelphia 76ers,55.0,27.0,0.671,—,114.7,109.6,4.87
1,New York Knicks,43.0,39.0,0.524,12.0,113.4,114.0,-0.53
2,Boston Celtics,32.0,50.0,0.39,23.0,105.7,107.7,-1.86
3,Buffalo Braves,27.0,55.0,0.329,28.0,105.3,109.0,-3.55
4,New Jersey Nets,24.0,58.0,0.293,31.0,106.7,112.5,-5.61
5,San Antonio Spurs,52.0,30.0,0.634,—,114.5,111.1,3.2
6,Washington Bullets,44.0,38.0,0.537,8.0,110.3,109.4,0.82
7,Cleveland Cavaliers,43.0,39.0,0.524,9.0,104.4,103.9,0.44
8,Atlanta Hawks,41.0,41.0,0.5,11.0,103.7,103.9,-0.13
9,New Orleans Jazz,39.0,43.0,0.476,13.0,107.6,109.5,-1.8
10,Houston Rockets,28.0,54.0,0.341,24.0,103.8,107.8,-3.83
11,Denver Nuggets,48.0,34.0,0.585,—,111.8,110.9,0.8
12,Milwaukee Bucks,44.0,38.0,0.537,4.0,112.4,113.0,-0.59
13,Chicago Bulls,40.0,42.0,0.488,8.0,103.9,104.8,-0.79
14,Detroit Pistons,38.0,44.0,0.463,10.0,109.0,110.2,-1.22
15,Kansas City Kings,31.0,51.0,0.378,17.0,109.5,111.4,-1.76
16,Indiana Pacers,31.0,51.0,0.378,17.0,108.6,111.1,-2.37
17,Portland Trail Blazers,58.0,24.0,0.707,—,107.7,101.5,5.92
18,Phoenix Suns,49.0,33.0,0.598,9.0,112.3,108.6,3.5
19,Seattle SuperSonics,47.0,35.0,0.573,11.0,104.5,102.9,1.48
20,Los Angeles Lakers,45.0,37.0,0.549,13.0,110.3,107.6,2.59
21,Golden State Warriors,43.0,39.0,0.524,15.0,106.1,105.7,0.41
