,Tm,W,L,W/L%,GB,PS/G,PA/G,SRS
0,Toronto Raptors,49.0,33.0,0.598,—,104.0,100.9,2.45
1,Boston Celtics,40.0,42.0,0.488,9.0,101.4,101.2,-0.4
2,Brooklyn Nets,38.0,44.0,0.463,11.0,98.0,100.9,-3.13
3,Philadelphia 76ers,18.0,64.0,0.22,31.0,92.0,101.0,-9.04
4,New York Knicks,17.0,65.0,0.207,32.0,91.9,101.2,-9.5
5,Cleveland Cavaliers,53.0,29.0,0.646,—,103.1,98.7,4.08
6,Chicago Bulls,50.0,32.0,0.61,3.0,100.8,97.8,2.54
7,Milwaukee Bucks,41.0,41.0,0.5,12.0,97.8,97.4,-0.09
8,Indiana Pacers,38.0,44.0,0.463,15.0,97.3,97.0,-0.23
9,Detroit Pistons,32.0,50.0,0.39,21.0,98.5,99.5,-1.39
10,Atlanta Hawks,60.0,22.0,0.732,—,102.5,97.1,4.75
11,Washington Wizards,46.0,36.0,0.561,14.0,98.5,97.8,0.17
12,Miami Heat,37.0,45.0,0.451,23.0,94.7,97.3,-2.92
13,Charlotte Hornets,33.0,49.0,0.402,27.0,94.2,97.3,-3.44
14,Orlando Magic,25.0,57.0,0.305,35.0,95.7,101.4,-5.87
15,Portland Trail Blazers,51.0,31.0,0.622,—,102.8,98.6,4.41
16,Oklahoma City Thunder,45.0,37.0,0.549,6.0,104.0,101.8,2.47
17,Utah Jazz,38.0,44.0,0.463,13.0,95.1,94.9,0.71
18,Denver Nuggets,30.0,52.0,0.366,21.0,101.5,105.0,-3.07
19,Minnesota Timberwolves,16.0,66.0,0.195,35.0,97.8,106.5,-8.0
20,Golden State Warriors,67.0,15.0,0.817,—,110.0,99.9,10.01
21,Los Angeles Clippers,56.0,26.0,0.683,11.0,106.7,100.1,6.8
22,Phoenix Suns,39.0,43.0,0.476,28.0,102.4,103.3,-0.38
23,Sacramento Kings,29.0,53.0,0.354,38.0,101.3,105.0,-3.07
24,Los Angeles Lakers,21.0,61.0,0.256,46.0,98.5,105.3,-6.17
25,Houston Rockets,56.0,26.0,0.683,—,103.9,100.5,3.82
26,Memphis Grizzlies,55.0,27.0,0.671,1.0,98.3,95.1,3.62
27,San Antonio Spurs,55.0,27.0,0.671,1.0,103.2,97.0,6.34
28,Dallas Mavericks,50.0,32.0,0.61,6.0,105.2,102.3,3.36
29,New Orleans Pelicans,45.0,37.0,0.549,11.0,99.4,98.6,1.13
