,Tm,W,L,W/L%,GB,PS/G,PA/G,SRS
0,Boston Celtics,62.0,20.0,0.756,—,109.9,104.0,6.05
1,Philadelphia 76ers,62.0,20.0,0.756,—,111.7,103.8,7.76
2,New York Knicks,50.0,32.0,0.61,12.0,107.9,106.3,2.0
3,Washington Bullets,39.0,43.0,0.476,23.0,105.6,105.6,0.42
4,New Jersey Nets,24.0,58.0,0.293,38.0,106.9,113.0,-5.15
5,Milwaukee Bucks,60.0,22.0,0.732,—,113.1,105.9,7.14
6,Chicago Bulls,45.0,37.0,0.549,15.0,109.0,107.0,2.34
7,Indiana Pacers,44.0,38.0,0.537,16.0,107.6,106.2,1.72
8,Atlanta Hawks,31.0,51.0,0.378,29.0,104.9,108.0,-2.37
9,Cleveland Cavaliers,28.0,54.0,0.341,32.0,105.7,110.6,-4.15
10,Detroit Pistons,21.0,61.0,0.256,39.0,99.7,106.0,-5.58
11,San Antonio Spurs,52.0,30.0,0.634,—,112.3,109.4,2.18
12,Kansas City Kings,40.0,42.0,0.488,12.0,106.9,106.9,-0.49
13,Houston Rockets,40.0,42.0,0.488,12.0,108.3,107.9,-0.2
14,Denver Nuggets,37.0,45.0,0.451,15.0,121.8,122.3,-0.95
15,Utah Jazz,28.0,54.0,0.341,24.0,101.2,107.1,-5.99
16,Dallas Mavericks,15.0,67.0,0.183,37.0,101.5,109.9,-8.33
17,Phoenix Suns,57.0,25.0,0.695,—,110.0,104.5,4.83
18,Los Angeles Lakers,54.0,28.0,0.659,3.0,111.2,107.3,3.27
19,Portland Trail Blazers,45.0,37.0,0.549,12.0,110.7,109.8,0.52
20,Golden State Warriors,39.0,43.0,0.476,18.0,109.8,111.0,-1.41
21,San Diego Clippers,36.0,46.0,0.439,21.0,106.5,108.1,-1.78
22,Seattle SuperSonics,34.0,48.0,0.415,23.0,104.0,105.7,-1.84
