,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
0,Kareem Abdul-Jabbar*,C,40.0,LAL,80.0,80.0,2308.0,10.1,19.0,0.532,0.0,0.0,0.0,10.1,18.9,0.532,4.3,5.6,0.762,2.5,7.6,10.0,2.8,1.0,1.9,3.3,4.5,24.4,0.0,109.0,107.0
1,Mark Acres,C,25.0,BOS,79.0,5.0,1151.0,4.6,8.6,0.532,0.0,0.0,0.0,4.6,8.6,0.532,3.0,4.7,0.64,4.5,7.0,11.5,1.8,1.2,1.1,2.3,8.4,12.2,0.0,113.0,109.0
2,Alvan Adams,C,33.0,PHO,82.0,25.0,1646.0,7.2,14.6,0.496,0.0,0.1,0.5,7.2,14.5,0.496,3.1,3.7,0.844,3.4,7.1,10.5,5.3,2.4,1.2,4.0,7.1,17.6,0.0,103.0,109.0
3,Michael Adams,PG,25.0,DEN,82.0,75.0,2778.0,6.8,15.2,0.449,2.3,6.2,0.367,4.5,9.0,0.505,2.7,3.3,0.834,0.7,3.0,3.7,8.2,2.8,0.3,2.4,2.3,18.6,0.0,115.0,107.0
4,Mark Aguirre,SF,28.0,DAL,77.0,77.0,2610.0,14.1,29.8,0.475,1.0,3.3,0.302,13.2,26.5,0.496,7.4,9.6,0.77,3.5,4.8,8.2,5.3,1.3,1.1,3.8,4.2,36.6,0.0,113.0,109.0
5,Danny Ainge,SG,28.0,BOS,81.0,81.0,3018.0,7.8,15.9,0.491,2.4,5.8,0.415,5.4,10.1,0.534,2.6,2.9,0.878,1.0,3.1,4.0,8.2,1.9,0.3,2.5,3.3,20.6,0.0,121.0,112.0
6,Mark Alarie,PF,24.0,WSB,63.0,0.0,769.0,9.2,19.1,0.48,0.3,1.1,0.222,8.9,17.9,0.496,2.2,3.1,0.714,4.5,5.7,10.2,2.5,0.6,0.8,3.2,6.8,20.8,0.0,103.0,110.0
7,Steve Alford,PG,23.0,DAL,28.0,0.0,197.0,5.3,13.8,0.382,0.3,2.0,0.125,5.0,11.8,0.426,4.0,4.3,0.941,0.8,5.0,5.8,5.8,4.3,0.8,3.0,5.8,14.8,0.0,101.0,103.0
8,Greg Anderson,PF,23.0,SAS,82.0,45.0,1984.0,8.8,17.5,0.501,0.0,0.1,0.2,8.8,17.4,0.503,4.6,7.6,0.604,3.7,8.2,11.9,1.8,1.3,2.8,3.3,5.3,22.2,0.0,103.0,110.0
9,Richard Anderson,PF,27.0,TOT,74.0,3.0,1350.0,5.9,15.1,0.39,1.6,5.2,0.32,4.2,9.9,0.426,2.0,2.6,0.753,3.1,7.3,10.4,3.8,1.8,0.5,2.1,4.7,15.4,0.0,105.0,107.0
10,Richard Anderson,PF,27.0,HOU,12.0,0.0,53.0,9.8,23.1,0.423,5.3,13.3,0.4,4.4,9.8,0.455,3.6,4.4,0.8,8.0,7.1,15.1,3.6,0.9,0.0,0.9,3.6,28.5,0.0,132.0,108.0
11,Richard Anderson,PF,27.0,POR,62.0,3.0,1297.0,5.7,14.8,0.387,1.5,4.8,0.311,4.2,9.9,0.424,1.9,2.6,0.75,2.9,7.3,10.2,3.9,1.8,0.6,2.1,4.8,14.9,0.0,103.0,107.0
12,Ron Anderson,SF,29.0,IND,74.0,1.0,1097.0,9.7,19.5,0.498,0.0,0.1,0.0,9.7,19.4,0.5,4.8,6.3,0.766,4.0,5.7,9.6,3.5,1.8,0.3,3.3,4.4,24.2,0.0,108.0,108.0
13,Joe Arlauckas,SF,22.0,SAC,9.0,0.0,85.0,7.8,24.1,0.326,0.0,0.0,0.0,7.8,24.1,0.326,3.4,4.5,0.75,3.4,3.9,7.3,4.5,1.7,2.2,2.2,9.0,19.0,0.0,88.0,112.0
14,Vincent Askew,SG,21.0,PHI,14.0,2.0,234.0,4.7,15.8,0.297,0.0,0.0,0.0,4.7,15.8,0.297,1.7,2.3,0.727,1.3,3.4,4.7,7.0,2.1,1.3,2.6,2.6,11.1,0.0,83.0,111.0
15,John Bagley,PG,27.0,NJN,82.0,74.0,2774.0,6.9,15.7,0.439,0.8,2.8,0.292,6.1,12.9,0.471,2.6,3.2,0.822,1.1,3.4,4.5,8.4,1.9,0.2,3.5,2.8,17.2,0.0,102.0,111.0
16,James Bailey,PF,30.0,PHO,65.0,0.0,869.0,5.9,13.2,0.452,0.0,0.2,0.0,5.9,12.9,0.46,3.8,4.9,0.787,4.0,7.5,11.5,2.3,0.9,1.5,3.8,9.8,15.7,0.0,97.0,111.0
17,Thurl Bailey,SF,26.0,UTA,82.0,10.0,2804.0,10.7,21.7,0.492,0.0,0.1,0.333,10.7,21.6,0.493,5.7,6.9,0.826,2.3,6.7,9.0,2.7,0.8,2.1,3.2,3.1,27.0,0.0,106.0,104.0
18,Charles Barkley*,PF,24.0,PHI,80.0,80.0,3170.0,11.9,20.2,0.587,0.7,2.5,0.28,11.2,17.8,0.63,11.3,15.0,0.751,6.1,8.9,15.0,4.0,1.6,1.6,4.8,4.4,35.7,0.0,126.0,108.0
19,John Battle,SG,25.0,ATL,67.0,1.0,1227.0,11.3,24.9,0.454,0.6,1.7,0.39,10.6,23.2,0.458,5.7,7.6,0.75,1.1,3.5,4.6,6.4,1.3,0.2,3.0,3.4,28.9,0.0,108.0,111.0
20,William Bedford,C,24.0,DET,38.0,0.0,298.0,7.2,16.5,0.436,0.0,0.0,0.0,7.2,16.5,0.436,2.1,3.8,0.565,4.4,6.2,10.6,0.7,1.3,2.8,3.1,7.7,16.5,0.0,92.0,104.0
21,Benoit Benjamin,C,23.0,LAC,66.0,59.0,2171.0,7.5,15.2,0.491,0.0,0.2,0.0,7.5,15.0,0.496,3.9,5.6,0.706,2.5,9.2,11.6,3.8,1.1,4.9,4.9,4.5,18.9,0.0,94.0,103.0
23,Kent Benson,C,33.0,CLE,2.0,0.0,12.0,8.2,8.2,1.0,0.0,0.0,0.0,8.2,8.2,1.0,4.1,8.2,0.5,0.0,4.1,4.1,0.0,4.1,4.1,8.2,8.2,20.5,0.0,82.0,100.0
24,Walter Berry,SF,23.0,SAS,73.0,56.0,1922.0,12.9,23.0,0.563,0.0,0.0,0.0,12.9,23.0,0.563,4.6,7.7,0.6,4.2,5.2,9.5,2.6,1.3,1.5,3.9,5.0,30.4,0.0,109.0,113.0
25,Larry Bird*,SF,31.0,BOS,76.0,75.0,2965.0,14.6,27.6,0.527,1.6,3.9,0.414,12.9,23.7,0.546,6.9,7.5,0.916,1.8,9.8,11.6,7.7,2.1,0.9,3.5,2.6,37.6,0.0,121.0,106.0
26,Otis Birdsong,SG,32.0,NJN,67.0,59.0,1882.0,8.7,19.0,0.458,0.2,0.6,0.36,8.5,18.4,0.461,1.2,2.4,0.511,1.9,2.4,4.3,5.7,1.4,0.3,3.3,3.7,18.9,0.0,95.0,113.0
27,Uwe Blab,C,25.0,DAL,73.0,1.0,658.0,4.4,9.9,0.439,0.0,0.0,0.0,4.4,9.9,0.439,3.5,4.9,0.708,3.9,6.2,10.1,2.6,0.6,2.2,3.7,8.1,12.2,0.0,97.0,109.0
28,Rolando Blackman,SG,28.0,DAL,71.0,69.0,2580.0,9.5,20.1,0.473,0.0,0.1,0.0,9.5,20.0,0.476,6.3,7.3,0.873,1.6,3.1,4.7,5.0,1.2,0.3,2.8,2.1,25.4,0.0,115.0,111.0
29,Nate Blackwell,PG,22.0,SAS,10.0,0.0,112.0,6.2,16.8,0.366,0.8,4.5,0.182,5.3,12.3,0.433,2.1,2.5,0.833,0.8,1.6,2.5,7.4,1.2,0.0,3.3,6.6,15.2,0.0,92.0,117.0
30,Muggsy Bogues,PG,23.0,WSB,79.0,14.0,1628.0,5.0,12.8,0.39,0.1,0.5,0.188,4.9,12.3,0.398,1.7,2.2,0.784,1.1,3.0,4.1,12.1,3.8,0.1,3.0,4.1,11.8,0.0,101.0,106.0
