,Tm,W,L,W/L%,GB,PS/G,PA/G,SRS
0,Baltimore Bullets,57.0,25.0,0.695,—,116.4,112.1,4.05
1,Philadelphia 76ers,55.0,27.0,0.671,2.0,118.9,113.8,4.79
2,New York Knicks,54.0,28.0,0.659,3.0,110.8,105.1,5.48
3,Boston Celtics,48.0,34.0,0.585,9.0,111.0,105.4,5.35
4,Cincinnati Royals,41.0,41.0,0.5,16.0,114.5,115.6,-0.83
5,Detroit Pistons,32.0,50.0,0.39,25.0,114.1,117.3,-2.79
6,Milwaukee Bucks,27.0,55.0,0.329,30.0,110.2,115.4,-5.07
7,Los Angeles Lakers,55.0,27.0,0.671,—,112.2,108.1,3.84
8,Atlanta Hawks,48.0,34.0,0.585,7.0,111.3,109.0,2.06
9,San Francisco Warriors,41.0,41.0,0.5,14.0,109.1,110.7,-1.53
10,San Diego Rockets,37.0,45.0,0.451,18.0,115.3,115.5,-0.3
11,Chicago Bulls,33.0,49.0,0.402,22.0,104.7,107.0,-2.11
12,Seattle SuperSonics,30.0,52.0,0.366,25.0,112.1,116.9,-4.68
13,Phoenix Suns,16.0,66.0,0.195,39.0,111.7,120.5,-8.26
