,Tm,W,L,W/L%,GB,PS/G,PA/G,SRS
0,Boston Celtics,62.0,20.0,0.756,—,100.9,93.4,7.44
1,Philadelphia 76ers,41.0,41.0,0.5,21.0,97.4,97.3,0.16
2,New Jersey Nets,34.0,48.0,0.415,28.0,98.1,100.5,-2.31
3,Toronto Raptors,33.0,49.0,0.402,29.0,99.0,101.9,-2.54
4,New York Knicks,32.0,50.0,0.39,30.0,105.2,107.8,-2.33
5,Cleveland Cavaliers,66.0,16.0,0.805,—,100.3,91.4,8.68
6,Chicago Bulls,41.0,41.0,0.5,25.0,102.2,102.5,-0.16
7,Detroit Pistons,39.0,43.0,0.476,27.0,94.2,94.7,-0.36
8,Indiana Pacers,36.0,46.0,0.439,30.0,105.1,106.2,-0.76
9,Milwaukee Bucks,34.0,48.0,0.415,32.0,99.3,100.4,-0.88
10,Orlando Magic,59.0,23.0,0.72,—,101.0,94.4,6.48
11,Atlanta Hawks,47.0,35.0,0.573,12.0,98.1,96.5,1.7
12,Miami Heat,43.0,39.0,0.524,16.0,98.3,98.0,0.49
13,Charlotte Bobcats,35.0,47.0,0.427,24.0,93.6,94.9,-1.2
14,Washington Wizards,19.0,63.0,0.232,40.0,96.1,103.5,-6.98
15,Denver Nuggets,54.0,28.0,0.659,—,104.3,100.9,3.13
16,Portland Trail Blazers,54.0,28.0,0.659,—,99.4,94.1,5.0
17,Utah Jazz,48.0,34.0,0.585,6.0,103.6,100.9,2.31
18,Minnesota Timberwolves,24.0,58.0,0.293,30.0,97.8,102.7,-4.74
19,Oklahoma City Thunder,23.0,59.0,0.28,31.0,97.0,103.1,-6.04
20,Los Angeles Lakers,65.0,17.0,0.793,—,106.9,99.3,7.11
21,Phoenix Suns,46.0,36.0,0.561,19.0,109.4,107.5,1.62
22,Golden State Warriors,29.0,53.0,0.354,36.0,108.6,112.3,-3.8
23,Los Angeles Clippers,19.0,63.0,0.232,46.0,95.1,103.9,-8.47
24,Sacramento Kings,17.0,65.0,0.207,48.0,100.6,109.3,-8.6
25,San Antonio Spurs,54.0,28.0,0.659,—,97.0,93.3,3.36
26,Houston Rockets,53.0,29.0,0.646,1.0,98.4,94.4,3.73
27,Dallas Mavericks,50.0,32.0,0.61,4.0,101.7,99.8,1.68
28,New Orleans Hornets,49.0,33.0,0.598,5.0,95.8,94.3,1.41
29,Memphis Grizzlies,24.0,58.0,0.293,30.0,93.9,99.3,-5.23
