,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Kareem Abdul-Jabbar*,C,34.0,LAL,76.0,76.0,35.2,9.9,17.1,0.579,0.0,0.0,0.0,9.9,17.1,0.58,0.579,4.1,5.8,0.706,2.3,6.4,8.7,3.0,0.8,2.7,3.0,2.9,23.9
1,Alvan Adams,C,27.0,PHO,79.0,75.0,30.3,6.4,13.0,0.494,0.0,0.0,0.0,6.4,13.0,0.494,0.494,2.3,2.9,0.781,1.7,5.7,7.4,4.5,1.4,1.0,2.5,3.4,15.1
2,Mark Aguirre,SF,22.0,DAL,51.0,20.0,28.8,7.5,16.1,0.465,0.5,1.4,0.352,7.0,14.7,0.475,0.48,3.3,4.8,0.68,1.7,3.1,4.9,3.2,0.7,0.4,2.6,3.0,18.7
3,Danny Ainge,SG,22.0,BOS,53.0,1.0,10.6,1.5,4.2,0.357,0.1,0.3,0.294,1.4,3.8,0.363,0.369,1.1,1.2,0.862,0.5,0.6,1.1,1.6,0.7,0.1,1.0,1.6,4.1
4,Tiny Archibald*,PG,33.0,BOS,68.0,51.0,31.9,4.5,9.6,0.472,0.1,0.2,0.375,4.4,9.4,0.475,0.477,3.5,4.6,0.747,0.4,1.3,1.7,8.0,0.8,0.0,2.6,1.9,12.6
5,Dennis Awtrey,C,33.0,POR,10.0,3.0,12.1,0.5,1.5,0.333,0.0,0.0,0.0,0.5,1.5,0.333,0.333,0.5,0.9,0.556,0.7,0.7,1.4,0.8,0.1,0.2,0.6,2.8,1.5
6,Carl Bailey,C,23.0,POR,1.0,0.0,7.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0
7,James Bailey,PF,24.0,TOT,77.0,0.0,19.1,3.4,6.6,0.517,0.0,0.0,0.0,3.4,6.6,0.517,0.517,1.8,2.9,0.612,1.6,3.4,5.1,0.8,0.5,1.1,1.8,3.5,8.6
8,James Bailey,PF,24.0,SEA,10.0,0.0,18.0,3.1,6.5,0.477,0.0,0.0,0.0,3.1,6.5,0.477,0.477,0.4,1.1,0.364,1.7,3.1,4.8,1.3,0.3,0.7,1.9,4.2,6.6
9,James Bailey,PF,24.0,NJN,67.0,0.0,19.2,3.4,6.6,0.523,0.0,0.0,0.0,3.4,6.6,0.523,0.523,2.0,3.2,0.624,1.6,3.5,5.1,0.8,0.6,1.1,1.8,3.4,8.9
10,Greg Ballard,SF,27.0,WSB,79.0,79.0,37.3,7.9,16.5,0.475,0.1,0.3,0.409,7.7,16.3,0.476,0.479,3.0,3.6,0.83,1.7,6.3,8.0,3.2,1.7,0.3,1.5,2.6,18.8
11,Gene Banks,SF,22.0,SAS,80.0,4.0,21.3,3.9,8.2,0.477,0.0,0.1,0.0,3.9,8.1,0.483,0.477,1.8,2.7,0.684,2.0,3.2,5.1,1.8,0.7,0.2,1.3,2.5,9.6
12,Mike Bantom,SF,30.0,TOT,82.0,38.0,24.6,4.1,8.7,0.469,0.0,0.1,0.333,4.0,8.6,0.47,0.471,2.0,3.3,0.629,2.1,3.2,5.4,1.4,0.8,0.7,1.8,3.3,10.2
13,Mike Bantom,SF,30.0,IND,39.0,37.0,26.6,4.6,10.4,0.438,0.0,0.1,0.333,4.5,10.3,0.439,0.44,2.6,3.9,0.66,2.2,3.3,5.5,1.7,1.0,0.6,2.2,3.6,11.7
14,Mike Bantom,SF,30.0,PHI,43.0,1.0,22.8,3.6,7.1,0.51,0.0,0.1,0.333,3.6,7.0,0.512,0.511,1.6,2.7,0.588,2.0,3.2,5.3,1.1,0.6,0.9,1.5,3.1,8.8
15,Billy Ray Bates,SG,25.0,POR,75.0,0.0,16.4,4.4,9.2,0.473,0.2,0.5,0.293,4.2,8.7,0.484,0.481,2.2,2.8,0.787,0.7,0.7,1.4,1.5,0.5,0.1,1.2,1.3,11.1
16,Mel Bennett,PF,27.0,CLE,3.0,0.0,7.7,0.7,1.3,0.5,0.0,0.0,0.0,0.7,1.3,0.5,0.5,0.3,2.0,0.167,0.3,0.7,1.0,0.0,0.3,0.0,1.3,0.7,1.7
17,Kent Benson,C,27.0,DET,75.0,72.0,32.9,5.4,10.7,0.505,0.0,0.1,0.273,5.4,10.5,0.508,0.507,1.7,2.1,0.804,2.9,5.8,8.7,2.1,0.9,1.3,2.1,2.9,12.5
18,Larry Bird*,PF,25.0,BOS,77.0,58.0,38.0,9.2,18.4,0.503,0.1,0.7,0.212,9.1,17.7,0.514,0.507,4.3,4.9,0.863,2.6,8.3,10.9,5.8,1.9,0.9,3.3,3.2,22.9
19,Otis Birdsong,SG,26.0,NJN,37.0,22.0,27.7,6.1,13.0,0.469,0.0,0.3,0.0,6.1,12.7,0.479,0.469,2.0,3.4,0.583,0.8,1.8,2.6,3.4,0.8,0.1,1.7,2.0,14.2
20,Rolando Blackman,SG,22.0,DAL,82.0,16.0,24.1,5.4,10.4,0.513,0.0,0.0,0.25,5.3,10.4,0.515,0.514,2.6,3.4,0.768,1.2,1.9,3.1,1.3,0.6,0.4,1.4,1.5,13.3
21,Ray Blume,SG,23.0,CHI,49.0,2.0,11.1,2.1,4.5,0.459,0.1,0.4,0.222,2.0,4.2,0.48,0.468,0.4,0.6,0.643,0.3,0.6,0.8,1.4,0.5,0.0,1.1,1.2,4.6
22,Alex Bradley,SF,22.0,NYK,39.0,0.0,8.5,1.4,2.6,0.524,0.0,0.0,0.0,1.4,2.6,0.529,0.524,0.7,1.2,0.604,0.8,0.9,1.7,0.3,0.3,0.1,0.7,0.9,3.5
23,Charles Bradley,SG,22.0,BOS,51.0,1.0,6.6,1.1,2.4,0.451,0.0,0.0,0.0,1.1,2.4,0.455,0.451,0.8,1.2,0.677,0.2,0.5,0.7,0.4,0.3,0.1,0.7,1.2,3.0
25,Dudley Bradley,SG,24.0,PHO,64.0,3.0,14.6,2.0,4.4,0.445,0.0,0.1,0.25,1.9,4.3,0.448,0.447,1.2,1.6,0.74,0.5,0.9,1.4,1.3,1.2,0.2,1.1,1.8,5.1
26,Brad Branson,PF,23.0,CLE,10.0,3.0,17.6,2.1,5.2,0.404,0.0,0.0,0.0,2.1,5.2,0.404,0.404,1.1,1.2,0.917,1.4,1.9,3.3,0.6,0.5,0.4,1.3,1.7,5.3
27,Mike Bratz,PG,26.0,SAS,81.0,3.0,20.0,2.8,7.0,0.407,0.6,1.7,0.333,2.3,5.3,0.431,0.448,1.5,1.9,0.783,0.5,1.6,2.0,5.4,0.8,0.1,1.7,2.3,7.7
28,Jim Brewer,PF,30.0,LAL,71.0,9.0,13.6,1.1,2.5,0.463,0.0,0.1,0.167,1.1,2.4,0.473,0.466,0.1,0.3,0.368,1.5,2.2,3.7,0.6,0.5,0.6,0.5,1.8,2.4
29,Ron Brewer,SG,26.0,TOT,72.0,45.0,32.2,7.9,16.6,0.477,0.1,0.4,0.258,7.8,16.2,0.482,0.48,2.9,3.6,0.812,0.8,1.5,2.2,2.6,1.1,0.4,1.7,2.1,18.8
30,Ron Brewer,SG,26.0,SAS,25.0,4.0,23.8,7.3,14.4,0.504,0.1,0.4,0.3,7.2,14.0,0.51,0.508,3.1,3.5,0.875,0.5,1.5,2.0,2.7,0.9,0.3,1.4,1.5,17.8
31,Ron Brewer,SG,26.0,CLE,47.0,41.0,36.7,8.2,17.7,0.465,0.1,0.4,0.238,8.1,17.3,0.47,0.468,2.9,3.7,0.779,0.9,1.5,2.4,2.6,1.3,0.5,1.9,2.4,19.4
32,Junior Bridgeman,SF,28.0,MIL,41.0,4.0,22.5,5.1,10.6,0.483,0.1,0.2,0.444,5.0,10.3,0.483,0.487,2.2,2.5,0.864,0.9,2.1,3.0,2.7,0.7,0.1,1.6,2.2,12.5
33,Allan Bristow,SF,30.0,DAL,82.0,54.0,24.8,2.7,6.1,0.437,0.0,0.2,0.167,2.6,5.9,0.447,0.44,1.6,2.0,0.817,1.5,2.7,4.1,5.5,0.8,0.1,2.0,2.7,7.0
34,Jim Brogan,SG,23.0,SDC,63.0,19.0,16.3,2.6,5.8,0.453,0.1,0.5,0.281,2.5,5.3,0.47,0.466,1.0,1.3,0.726,1.0,0.9,1.9,2.5,0.8,0.2,1.3,2.0,6.3
35,Michael Brooks,SF,23.0,SDC,82.0,73.0,33.5,6.5,13.0,0.504,0.0,0.1,0.0,6.5,12.9,0.507,0.504,2.5,3.3,0.757,2.5,5.1,7.6,2.9,1.4,0.5,2.4,3.5,15.6
36,Fred Brown,SG,33.0,SEA,82.0,2.0,21.8,4.8,10.5,0.455,0.3,0.9,0.325,4.5,9.6,0.468,0.47,1.4,1.6,0.86,0.5,1.2,1.7,2.9,0.8,0.0,1.2,1.4,11.2
37,Rickey Brown,C,23.0,GSW,82.0,11.0,15.4,2.3,5.1,0.459,0.0,0.0,0.0,2.3,5.1,0.459,0.459,1.0,1.5,0.705,1.7,2.8,4.4,0.2,0.4,0.4,1.0,3.0,5.7
