,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1.0,POR,Greg Oden,Ohio State,3.0,105.0,2028.0,840.0,656.0,51.0,0.574,0.0,0.658,19.3,8.0,6.2,0.5,7.3,0.174,1.1,1.6
2,2.0,SEA,Kevin Durant,Texas,12.0,849.0,31305.0,22940.0,5992.0,3486.0,0.493,0.381,0.883,36.9,27.0,7.1,4.1,141.7,0.217,5.1,55.7
3,3.0,ATL,Al Horford,Florida,13.0,836.0,27328.0,11693.0,6932.0,2741.0,0.52,0.361,0.753,32.7,14.0,8.3,3.3,89.8,0.158,3.2,35.7
4,4.0,MEM,Mike Conley,Ohio State,13.0,820.0,26593.0,12166.0,2430.0,4642.0,0.439,0.375,0.818,32.4,14.8,3.0,5.7,72.8,0.131,1.9,25.9
5,5.0,BOS,Jeff Green,Georgetown,12.0,890.0,26372.0,11553.0,3956.0,1391.0,0.44,0.333,0.805,29.6,13.0,4.4,1.6,40.9,0.074,-1.4,4.3
6,6.0,MIL,Yi Jianlian,,5.0,272.0,6038.0,2148.0,1339.0,192.0,0.404,0.333,0.78,22.2,7.9,4.9,0.7,3.1,0.025,-4.7,-4.1
7,7.0,MIN,Corey Brewer,Florida,12.0,814.0,18738.0,7092.0,2279.0,1248.0,0.425,0.284,0.713,23.0,8.7,2.8,1.5,22.5,0.058,-1.0,4.8
8,8.0,CHA,Brandan Wright,UNC,10.0,428.0,6949.0,2976.0,1560.0,199.0,0.607,0.0,0.674,16.2,7.0,3.6,0.5,26.2,0.181,1.6,6.4
9,9.0,CHI,Joakim Noah,Florida,12.0,667.0,18596.0,5867.0,6042.0,1900.0,0.491,0.0,0.7,27.9,8.8,9.1,2.8,61.8,0.16,4.1,28.4
10,10.0,SAC,Spencer Hawes,Washington,10.0,684.0,15541.0,5932.0,3893.0,1271.0,0.457,0.35,0.716,22.7,8.7,5.7,1.9,22.6,0.07,-0.7,5.0
11,11.0,ATL,Acie Law,Texas A&M,4.0,188.0,2385.0,725.0,195.0,309.0,0.413,0.235,0.778,12.7,3.9,1.0,1.6,1.6,0.032,-5.4,-2.0
