,Tm,W,L,W/L%,GB,PS/G,PA/G,SRS
0,Philadelphia 76ers,65.0,17.0,0.793,—,112.1,104.4,7.53
1,Boston Celtics,56.0,26.0,0.683,9.0,112.1,106.7,5.34
2,New Jersey Nets,49.0,33.0,0.598,16.0,105.8,103.0,2.77
3,New York Knicks,44.0,38.0,0.537,21.0,100.0,97.5,2.58
4,Washington Bullets,42.0,40.0,0.512,23.0,99.2,99.3,0.2
5,Milwaukee Bucks,51.0,31.0,0.622,—,106.6,102.2,4.32
6,Atlanta Hawks,43.0,39.0,0.524,8.0,101.6,102.6,-0.72
7,Detroit Pistons,37.0,45.0,0.451,14.0,112.7,113.1,-0.17
8,Chicago Bulls,28.0,54.0,0.341,23.0,111.0,115.9,-4.41
9,Cleveland Cavaliers,23.0,59.0,0.28,28.0,97.1,104.6,-6.78
10,Indiana Pacers,20.0,62.0,0.244,31.0,108.7,114.5,-5.36
11,San Antonio Spurs,53.0,29.0,0.646,—,114.3,110.7,3.1
12,Denver Nuggets,45.0,37.0,0.549,8.0,123.2,122.6,0.27
13,Kansas City Kings,45.0,37.0,0.549,8.0,113.8,112.3,1.04
14,Dallas Mavericks,38.0,44.0,0.463,15.0,112.7,113.1,-0.7
15,Utah Jazz,30.0,52.0,0.366,23.0,109.0,113.2,-4.22
16,Houston Rockets,14.0,68.0,0.171,39.0,99.3,110.9,-11.12
17,Los Angeles Lakers,58.0,24.0,0.707,—,115.0,109.5,5.06
18,Phoenix Suns,53.0,29.0,0.646,5.0,107.0,102.0,4.61
19,Seattle SuperSonics,48.0,34.0,0.585,10.0,110.0,106.8,2.88
20,Portland Trail Blazers,46.0,36.0,0.561,12.0,107.4,105.3,1.88
21,Golden State Warriors,30.0,52.0,0.366,28.0,108.6,112.3,-3.48
22,San Diego Clippers,25.0,57.0,0.305,33.0,108.6,113.4,-4.61
