,Tm,W,L,W/L%,GB,PS/G,PA/G,SRS
0,Boston Celtics,63.0,19.0,0.768,—,114.8,108.1,6.47
1,Philadelphia 76ers,58.0,24.0,0.707,5.0,112.9,108.8,4.17
2,New Jersey Nets,42.0,40.0,0.512,21.0,109.5,109.2,0.64
3,Washington Bullets,40.0,42.0,0.488,23.0,105.5,105.8,0.15
4,New York Knicks,24.0,58.0,0.293,39.0,105.2,109.8,-4.09
5,Milwaukee Bucks,59.0,23.0,0.72,—,110.9,104.0,6.69
6,Detroit Pistons,46.0,36.0,0.561,13.0,116.0,113.5,2.73
7,Chicago Bulls,38.0,44.0,0.463,21.0,108.7,109.6,-0.5
8,Cleveland Cavaliers,36.0,46.0,0.439,23.0,108.6,111.3,-2.27
9,Atlanta Hawks,34.0,48.0,0.415,25.0,106.6,108.1,-1.14
10,Indiana Pacers,22.0,60.0,0.268,37.0,108.3,114.5,-5.46
11,Denver Nuggets,52.0,30.0,0.634,—,120.0,117.6,2.05
12,Houston Rockets,48.0,34.0,0.585,4.0,111.2,109.5,1.38
13,Dallas Mavericks,44.0,38.0,0.537,8.0,111.2,109.0,1.8
14,Utah Jazz,41.0,41.0,0.5,11.0,109.0,109.1,-0.33
15,San Antonio Spurs,41.0,41.0,0.5,11.0,114.8,113.9,0.63
16,Kansas City Kings,31.0,51.0,0.378,21.0,114.8,117.5,-2.71
17,Los Angeles Lakers,62.0,20.0,0.756,—,118.2,110.9,6.48
18,Portland Trail Blazers,42.0,40.0,0.512,20.0,115.5,112.1,2.8
19,Phoenix Suns,36.0,46.0,0.439,26.0,108.0,110.1,-2.34
20,Seattle SuperSonics,31.0,51.0,0.378,31.0,102.1,107.6,-5.44
21,Los Angeles Clippers,31.0,51.0,0.378,31.0,107.1,111.6,-4.55
22,Golden State Warriors,22.0,60.0,0.268,40.0,110.4,117.7,-7.21
