,Tm,W,L,W/L%,GB,PS/G,PA/G,SRS
0,Miami Heat,33.0,17.0,0.66,—,89.0,84.0,5.11
1,Orlando Magic,33.0,17.0,0.66,—,89.5,86.9,3.11
2,Philadelphia 76ers,28.0,22.0,0.56,5.0,89.7,87.6,2.56
3,New York Knicks,27.0,23.0,0.54,6.0,86.4,85.4,1.45
4,Boston Celtics,19.0,31.0,0.38,14.0,93.0,94.9,-1.75
5,Washington Wizards,18.0,32.0,0.36,15.0,91.2,93.4,-1.75
6,New Jersey Nets,16.0,34.0,0.32,17.0,91.4,95.2,-3.2
7,Indiana Pacers,33.0,17.0,0.66,—,94.7,90.9,3.86
8,Atlanta Hawks,31.0,19.0,0.62,2.0,86.3,83.4,2.82
9,Detroit Pistons,29.0,21.0,0.58,4.0,90.4,86.9,3.97
10,Milwaukee Bucks,28.0,22.0,0.56,5.0,91.7,90.0,1.66
11,Charlotte Hornets,26.0,24.0,0.52,7.0,92.9,93.0,0.63
12,Toronto Raptors,23.0,27.0,0.46,10.0,91.1,92.8,-1.32
13,Cleveland Cavaliers,22.0,28.0,0.44,11.0,86.4,88.2,-0.94
14,Chicago Bulls,13.0,37.0,0.26,20.0,81.9,91.4,-8.58
15,San Antonio Spurs,37.0,13.0,0.74,—,92.8,84.7,7.12
16,Utah Jazz,37.0,13.0,0.74,—,93.3,86.8,5.54
17,Houston Rockets,31.0,19.0,0.62,6.0,94.2,91.9,1.39
18,Minnesota Timberwolves,25.0,25.0,0.5,12.0,92.9,92.6,-0.17
19,Dallas Mavericks,19.0,31.0,0.38,18.0,91.6,94.0,-2.5
20,Denver Nuggets,14.0,36.0,0.28,23.0,93.5,100.1,-6.67
21,Vancouver Grizzlies,8.0,42.0,0.16,29.0,88.9,97.5,-8.94
22,Portland Trail Blazers,35.0,15.0,0.7,—,94.8,88.5,5.67
23,Los Angeles Lakers,31.0,19.0,0.62,4.0,99.0,96.0,2.68
24,Phoenix Suns,27.0,23.0,0.54,8.0,95.6,93.3,2.15
25,Sacramento Kings,27.0,23.0,0.54,8.0,100.2,100.6,-0.89
26,Seattle SuperSonics,25.0,25.0,0.5,10.0,94.9,95.9,-1.43
27,Golden State Warriors,21.0,29.0,0.42,14.0,88.3,90.8,-2.63
28,Los Angeles Clippers,9.0,41.0,0.18,26.0,90.4,99.2,-8.94
