,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Kareem Abdul-Jabbar*,C,41.0,LAL,74.0,74.0,1695.0,6.6,14.0,0.475,0.0,0.1,0.0,6.6,13.9,0.477,2.6,3.5,0.739,2.2,4.9,7.1,1.6,0.8,1.8,2.0,4.2,15.9
1,Mark Acres,C,26.0,BOS,62.0,0.0,632.0,3.1,6.5,0.482,0.1,0.1,1.0,3.1,6.4,0.478,1.5,2.7,0.542,3.4,5.0,8.3,1.1,1.1,0.3,1.3,5.4,7.8
2,Michael Adams,PG,26.0,DEN,77.0,77.0,2787.0,6.0,14.0,0.433,2.1,6.0,0.356,3.9,8.0,0.49,4.2,5.1,0.819,0.9,2.7,3.7,6.3,2.1,0.1,2.3,1.9,18.4
3,Mark Aguirre,SF,29.0,TOT,80.0,76.0,2597.0,8.1,17.6,0.461,0.7,2.4,0.293,7.4,15.2,0.488,4.0,5.4,0.733,2.0,3.3,5.4,3.9,0.6,0.5,2.9,3.2,20.9
4,Mark Aguirre,SF,29.0,DAL,44.0,44.0,1529.0,8.8,19.5,0.45,0.7,2.3,0.293,8.1,17.2,0.471,4.2,5.7,0.73,2.1,3.4,5.5,4.4,0.7,0.7,3.3,3.0,22.4
5,Mark Aguirre,SF,29.0,DET,36.0,32.0,1068.0,7.2,14.9,0.483,0.7,2.5,0.293,6.4,12.3,0.522,3.7,5.0,0.738,1.9,3.2,5.1,3.0,0.5,0.2,2.3,3.4,18.8
6,Danny Ainge,PG,29.0,TOT,73.0,54.0,2377.0,7.3,15.9,0.457,1.8,4.6,0.38,5.5,11.3,0.488,3.1,3.6,0.854,1.1,2.8,3.9,6.1,1.4,0.1,2.2,2.8,19.4
7,Danny Ainge,PG,29.0,BOS,45.0,28.0,1349.0,7.2,15.7,0.46,1.5,4.1,0.374,5.7,11.6,0.491,3.0,3.4,0.891,1.0,3.1,4.1,5.7,1.4,0.0,2.2,2.9,19.1
8,Danny Ainge,PG,29.0,SAC,28.0,26.0,1028.0,7.3,16.2,0.452,2.0,5.3,0.387,5.3,10.9,0.484,3.2,3.9,0.813,1.2,2.3,3.5,6.5,1.4,0.2,2.2,2.7,19.9
9,Mark Alarie,PF,25.0,WSB,74.0,5.0,1141.0,6.5,13.6,0.478,0.4,1.2,0.342,6.1,12.4,0.491,2.3,2.7,0.839,3.2,4.8,8.0,2.0,0.8,0.7,2.0,5.0,15.7
10,Steve Alford,PG,24.0,TOT,66.0,3.0,906.0,5.9,12.9,0.457,0.8,2.2,0.364,5.1,10.7,0.476,2.0,2.4,0.82,0.4,2.5,2.9,3.7,1.8,0.1,1.8,2.3,14.5
11,Steve Alford,PG,24.0,DAL,9.0,0.0,38.0,2.8,10.4,0.273,0.0,1.9,0.0,2.8,8.5,0.333,0.9,1.9,0.5,0.0,2.8,2.8,8.5,0.9,0.0,0.9,2.8,6.6
12,Steve Alford,PG,24.0,GSW,57.0,3.0,868.0,6.0,13.0,0.463,0.8,2.2,0.377,5.2,10.8,0.481,2.0,2.4,0.831,0.4,2.4,2.9,3.4,1.8,0.1,1.8,2.2,14.9
13,Randy Allen,SG,24.0,SAC,7.0,0.0,43.0,6.7,15.9,0.421,0.0,0.8,0.0,6.7,15.1,0.444,0.8,1.7,0.5,2.5,3.3,5.9,0.0,0.8,0.8,1.7,5.9,14.2
14,Greg Anderson,PF,24.0,SAS,82.0,56.0,2401.0,6.9,13.7,0.503,0.0,0.0,0.0,6.9,13.7,0.505,3.1,6.0,0.514,3.8,6.3,10.1,0.9,1.5,1.5,2.7,3.3,16.9
15,Michael Anderson,PG,22.0,SAS,36.0,12.0,730.0,3.6,8.6,0.417,0.0,0.3,0.143,3.6,8.3,0.429,2.8,4.0,0.695,2.2,2.2,4.4,7.5,2.2,0.1,4.1,3.2,10.1
16,Richard Anderson,PF,28.0,POR,72.0,3.0,1082.0,4.8,11.6,0.417,1.6,4.7,0.348,3.2,6.9,0.464,1.1,1.3,0.842,2.1,5.6,7.7,3.3,1.5,0.4,1.8,3.3,12.3
17,Ron Anderson,SF,30.0,PHI,82.0,12.0,2618.0,7.8,15.8,0.491,0.0,0.2,0.182,7.8,15.7,0.494,2.7,3.1,0.856,2.3,3.3,5.6,1.9,1.0,0.3,1.7,2.3,18.3
18,Willie Anderson,SF,22.0,SAS,81.0,79.0,2738.0,8.4,16.9,0.498,0.1,0.3,0.19,8.4,16.6,0.503,2.9,3.8,0.775,2.0,3.5,5.5,4.9,2.0,0.8,3.4,3.9,19.8
19,John Bagley,PG,28.0,NJN,68.0,20.0,1642.0,4.4,10.5,0.416,0.2,1.2,0.204,4.1,9.4,0.443,2.0,2.7,0.724,0.8,2.4,3.2,8.6,1.6,0.1,3.5,2.6,11.0
20,Thurl Bailey,SF,27.0,UTA,82.0,3.0,2777.0,8.0,16.5,0.483,0.0,0.1,0.4,7.9,16.4,0.484,4.7,5.7,0.825,1.5,4.3,5.8,1.8,0.6,1.2,2.7,2.4,20.7
21,Greg Ballard,SF,34.0,SEA,2.0,0.0,15.0,2.4,19.2,0.125,0.0,2.4,0.0,2.4,16.8,0.143,9.6,9.6,1.0,4.8,12.0,16.8,0.0,0.0,0.0,0.0,7.2,14.4
22,Ken Bannister,PF,28.0,LAC,9.0,2.0,130.0,6.1,10.0,0.611,0.0,0.3,0.0,6.1,9.7,0.629,8.3,14.7,0.566,1.7,7.5,9.1,0.8,1.9,0.6,2.2,4.7,20.5
23,Charles Barkley*,PF,25.0,PHI,79.0,79.0,3088.0,8.2,14.1,0.579,0.4,1.9,0.216,7.8,12.2,0.636,7.0,9.3,0.753,4.7,6.8,11.5,3.8,1.5,0.8,3.0,3.1,23.7
24,John Battle,SG,26.0,ATL,82.0,0.0,1672.0,6.2,13.5,0.457,0.2,0.7,0.324,5.9,12.8,0.465,4.2,5.1,0.815,0.6,2.4,3.0,4.2,0.9,0.2,2.2,2.7,16.8
25,Benoit Benjamin,C,24.0,LAC,79.0,62.0,2585.0,6.8,12.6,0.541,0.0,0.0,0.0,6.8,12.6,0.543,4.4,5.9,0.744,2.3,7.4,9.7,2.2,0.8,3.1,3.3,3.1,18.1
27,Ricky Berry,SG,24.0,SAC,64.0,21.0,1406.0,6.5,14.5,0.45,1.7,4.1,0.406,4.9,10.4,0.467,3.4,4.3,0.789,1.5,3.6,5.0,2.0,0.9,0.6,2.1,5.0,18.1
28,Walter Berry,PF,24.0,TOT,69.0,31.0,1355.0,6.7,13.3,0.507,0.0,0.1,0.5,6.7,13.3,0.507,2.7,3.8,0.699,2.3,4.8,7.1,2.0,0.8,1.3,2.4,4.9,16.2
29,Walter Berry,PF,24.0,NJN,29.0,17.0,556.0,7.0,15.0,0.468,0.0,0.0,0.0,7.0,15.0,0.468,2.8,4.1,0.683,2.1,5.4,7.4,1.3,0.6,0.8,2.6,4.5,16.8
30,Walter Berry,PF,24.0,HOU,40.0,14.0,799.0,6.6,12.2,0.541,0.0,0.1,0.5,6.5,12.1,0.541,2.6,3.6,0.713,2.4,4.4,6.8,2.6,0.9,1.6,2.2,5.1,15.8
