,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
63,Maurice King,PG,24.0,BOS,1.0,0.0,19.0,5.0,8.0,0.625,0.0,0.0,0.0,5.0,8.0,0.625,0.625,0.0,1.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,3.0,10.0
64,Jim Krebs,C,24.0,MNL,75.0,0.0,16.9,3.2,8.1,0.392,0.0,0.0,0.0,3.2,8.1,0.392,0.392,1.3,1.8,0.721,0.0,0.0,4.4,0.5,0.0,0.0,0.0,2.8,7.6
65,Rudy LaRusso,PF,22.0,MNL,71.0,0.0,29.5,5.0,12.9,0.389,0.0,0.0,0.0,5.0,12.9,0.389,0.389,3.7,5.0,0.742,0.0,0.0,9.6,1.2,0.0,0.0,0.0,3.1,13.7
66,Slick Leonard*,PG,27.0,MNL,73.0,0.0,28.4,3.2,9.8,0.322,0.0,0.0,0.0,3.2,9.8,0.322,0.322,1.9,2.6,0.705,0.0,0.0,3.4,3.5,0.0,0.0,0.0,2.3,8.2
67,Earl Lloyd*,SF,31.0,DET,68.0,0.0,23.7,3.5,9.8,0.356,0.0,0.0,0.0,3.5,9.8,0.356,0.356,1.9,2.4,0.8,0.0,0.0,4.7,1.3,0.0,0.0,0.0,3.3,8.9
68,Jim Loscutoff,SF,29.0,BOS,28.0,0.0,19.1,2.4,7.3,0.322,0.0,0.0,0.0,2.4,7.3,0.322,0.322,0.8,1.3,0.611,0.0,0.0,3.9,0.4,0.0,0.0,0.0,3.9,5.5
69,Clyde Lovellette*,C,30.0,STL,68.0,0.0,28.7,8.1,17.3,0.468,0.0,0.0,0.0,8.1,17.3,0.468,0.468,4.6,5.7,0.821,0.0,0.0,10.6,1.9,0.0,0.0,0.0,3.6,20.8
70,Nick Mantis,SG,24.0,MNL,10.0,0.0,7.1,1.0,3.9,0.256,0.0,0.0,0.0,1.0,3.9,0.256,0.256,0.1,0.2,0.5,0.0,0.0,0.6,0.9,0.0,0.0,0.0,0.8,2.1
71,Slater Martin*,PG,34.0,STL,64.0,0.0,27.4,2.2,6.0,0.371,0.0,0.0,0.0,2.2,6.0,0.371,0.371,1.8,2.4,0.729,0.0,0.0,2.9,5.2,0.0,0.0,0.0,2.7,6.2
73,Brendan McCann,PG,24.0,NYK,4.0,0.0,7.3,0.3,2.5,0.1,0.0,0.0,0.0,0.3,2.5,0.1,0.1,0.8,0.8,1.0,0.0,0.0,1.0,2.5,0.0,0.0,0.0,0.5,1.3
