,Tm,W,L,W/L%,GB,PS/G,PA/G,SRS
0,Orlando Magic,57.0,25.0,0.695,—,110.9,103.8,6.44
1,New York Knicks,55.0,27.0,0.671,2.0,98.2,95.1,2.78
2,Boston Celtics,35.0,47.0,0.427,22.0,102.8,104.7,-1.92
3,Miami Heat,32.0,50.0,0.39,25.0,101.1,102.8,-1.85
4,New Jersey Nets,30.0,52.0,0.366,27.0,98.1,101.2,-3.28
5,Philadelphia 76ers,24.0,58.0,0.293,33.0,95.4,100.4,-5.06
6,Washington Bullets,21.0,61.0,0.256,36.0,100.5,106.1,-5.56
7,Indiana Pacers,52.0,30.0,0.634,—,99.2,95.5,3.35
8,Charlotte Hornets,50.0,32.0,0.61,2.0,100.6,97.3,2.87
9,Chicago Bulls,47.0,35.0,0.573,5.0,101.5,96.7,4.32
10,Cleveland Cavaliers,43.0,39.0,0.524,9.0,90.5,89.8,0.55
11,Atlanta Hawks,42.0,40.0,0.512,10.0,96.6,95.3,1.06
12,Milwaukee Bucks,34.0,48.0,0.415,18.0,99.3,103.7,-4.3
13,Detroit Pistons,28.0,54.0,0.341,24.0,98.2,105.5,-7.08
14,San Antonio Spurs,62.0,20.0,0.756,—,106.6,100.6,5.9
15,Utah Jazz,60.0,22.0,0.732,2.0,106.4,98.4,7.76
16,Houston Rockets,47.0,35.0,0.573,15.0,103.5,101.4,2.32
17,Denver Nuggets,41.0,41.0,0.5,21.0,101.3,100.5,0.96
18,Dallas Mavericks,36.0,46.0,0.439,26.0,103.2,106.1,-2.39
19,Minnesota Timberwolves,21.0,61.0,0.256,41.0,94.2,103.2,-8.22
20,Phoenix Suns,59.0,23.0,0.72,—,110.6,106.8,3.86
21,Seattle SuperSonics,57.0,25.0,0.695,2.0,110.4,102.2,7.91
22,Los Angeles Lakers,48.0,34.0,0.585,11.0,105.1,105.3,-0.01
23,Portland Trail Blazers,44.0,38.0,0.537,15.0,103.1,99.2,3.8
24,Sacramento Kings,39.0,43.0,0.476,20.0,98.2,99.2,-0.74
25,Golden State Warriors,26.0,56.0,0.317,33.0,105.7,111.1,-4.9
26,Los Angeles Clippers,17.0,65.0,0.207,42.0,96.7,105.8,-8.43
