,Tm,W,L,W/L%,GB,PS/G,PA/G,SRS
0,Toronto Raptors,59.0,23.0,0.72,—,111.7,103.9,7.29
1,Boston Celtics,55.0,27.0,0.671,4.0,104.0,100.4,3.23
2,Philadelphia 76ers,52.0,30.0,0.634,7.0,109.8,105.3,4.3
3,Cleveland Cavaliers,50.0,32.0,0.61,9.0,110.9,109.9,0.59
4,Indiana Pacers,48.0,34.0,0.585,11.0,105.6,104.2,1.18
5,Miami Heat,44.0,38.0,0.537,15.0,103.4,102.9,0.15
6,Milwaukee Bucks,44.0,38.0,0.537,15.0,106.5,106.8,-0.45
7,Washington Wizards,43.0,39.0,0.524,16.0,106.6,106.0,0.53
8,Detroit Pistons,39.0,43.0,0.476,20.0,103.8,103.9,-0.26
9,Charlotte Hornets,36.0,46.0,0.439,23.0,108.2,108.0,0.07
10,New York Knicks,29.0,53.0,0.354,30.0,104.5,108.0,-3.53
11,Brooklyn Nets,28.0,54.0,0.341,31.0,106.6,110.3,-3.67
12,Chicago Bulls,27.0,55.0,0.329,32.0,102.9,110.0,-6.84
13,Orlando Magic,25.0,57.0,0.305,34.0,103.4,108.2,-4.92
14,Atlanta Hawks,24.0,58.0,0.293,35.0,103.4,108.8,-5.3
15,Houston Rockets,65.0,17.0,0.793,—,112.4,103.9,8.21
16,Golden State Warriors,58.0,24.0,0.707,7.0,113.5,107.5,5.79
17,Portland Trail Blazers,49.0,33.0,0.598,16.0,105.6,103.0,2.6
18,Oklahoma City Thunder,48.0,34.0,0.585,17.0,107.9,104.4,3.42
19,Utah Jazz,48.0,34.0,0.585,17.0,104.1,99.8,4.47
20,New Orleans Pelicans,48.0,34.0,0.585,17.0,111.7,110.4,1.48
21,San Antonio Spurs,47.0,35.0,0.573,18.0,102.7,99.8,2.89
22,Minnesota Timberwolves,47.0,35.0,0.573,18.0,109.5,107.3,2.35
23,Denver Nuggets,46.0,36.0,0.561,19.0,110.0,108.5,1.57
24,Los Angeles Clippers,42.0,40.0,0.512,23.0,109.0,109.0,0.15
25,Los Angeles Lakers,35.0,47.0,0.427,30.0,108.1,109.6,-1.44
26,Sacramento Kings,27.0,55.0,0.329,38.0,98.8,105.8,-6.6
27,Dallas Mavericks,24.0,58.0,0.293,41.0,102.3,105.4,-2.7
28,Memphis Grizzlies,22.0,60.0,0.268,43.0,99.3,105.5,-5.81
29,Phoenix Suns,21.0,61.0,0.256,44.0,103.9,113.3,-8.8
